,taz,mu,sigma,time_since_last_event
0,519,4800.0,5778.362965023533,"[6147, 292, 5020, 25697, 6400, 11061, 3467, 496, 3753, 809, 194, 1881, 6555, 1584, 764, 4029, 3100, 5151]"
1,64,21600.0,16139.337331501563,"[42617, 31852, 7729, 4202]"
2,1201,4547.368421052632,5929.490927030719,"[5567, 27201, 2728, 4577, 122, 7941, 5481, 5158, 1497, 894, 146, 7309, 7376, 4189, 594, 179, 1466, 3221, 754]"
3,328,12342.857142857143,14290.346706066715,"[38429, 30230, 6845, 7235, 186, 1673, 1802]"
4,884,14400.0,10037.034588628921,"[12167, 32548, 17709, 17491, 2680, 3805]"
5,1350,7200.0,6536.946726109981,"[7978, 5574, 25359, 2874, 5294, 9346, 4968, 3443, 13750, 534, 6884, 396]"
6,1424,4547.368421052632,7075.975366730845,"[31670, 568, 13650, 1394, 4047, 6607, 1188, 1277, 877, 2340, 1553, 597, 3807, 971, 1065, 5031, 3741, 1196, 4821]"
7,1430,6646.153846153846,7517.6309366321175,"[30634, 4859, 9870, 7000, 6953, 5749, 614, 6164, 7518, 203, 2777, 4051, 8]"
8,290,4114.285714285715,5995.762615959605,"[4922, 729, 990, 28815, 4894, 5822, 2468, 9566, 1725, 1234, 1983, 5629, 491, 817, 1514, 2135, 1672, 545, 932, 5706, 3811]"
9,1060,7854.545454545455,7980.492914414796,"[29568, 3460, 2307, 7988, 1452, 3011, 79, 9703, 4390, 12735, 11707]"
10,270,14400.0,9428.389045855076,"[33204, 17455, 5377, 14886, 7905, 7573]"
11,533,7200.0,10480.553014989238,"[29872, 1604, 30673, 4804, 4209, 4327, 138, 6095, 2105, 468, 385, 1720]"
12,458,4114.285714285715,9374.262282811313,"[45484, 856, 648, 5444, 3640, 1263, 1303, 2854, 379, 698, 4851, 80, 2178, 2358, 4616, 1460, 1932, 839, 654, 3435, 1428]"
13,1160,7854.545454545455,7805.276261648985,"[30324, 7629, 4823, 3960, 2334, 1284, 3424, 12255, 9647, 2854, 7866]"
14,136,12342.857142857143,12275.286431672046,"[37401, 7424, 956, 2509, 22591, 11585, 3934]"
15,706,43200.0,171.0,"[43371, 43029]"
16,740,6646.153846153846,8240.484254311887,"[12184, 24578, 1679, 746, 2664, 176, 20914, 15375, 3409, 463, 2548, 347, 1317]"
17,1326,5400.0,6606.515250114844,"[4951, 2122, 1671, 29280, 5039, 3594, 3179, 4668, 2989, 10344, 7737, 2258, 3706, 3022, 681, 1159]"
18,726,7854.545454545455,7501.887730475654,"[28805, 5915, 5482, 8528, 9738, 12903, 5291, 466, 4908, 4061, 303]"
19,301,21600.0,16523.151878500663,"[49246, 18626, 6566, 11962]"
20,702,12342.857142857143,21420.129941106276,"[17800, 248, 21, 402, 2281, 62833, 2815]"
21,1155,21600.0,15944.687720366304,"[40616, 3365, 8511, 33908]"
22,1386,8640.0,8535.16025625764,"[23626, 1653, 11, 23514, 12021, 3351, 3969, 2054, 13307, 2894]"
23,1357,6171.428571428572,5785.265245361155,"[10982, 2391, 22611, 8128, 9130, 2638, 7692, 572, 2357, 5004, 1580, 2831, 10354, 130]"
24,1251,5760.0,8253.253217166348,"[8502, 3211, 1160, 33532, 9859, 65, 2370, 2928, 506, 12704, 2893, 2243, 4656, 54, 1717]"
25,781,3756.521739130435,4853.663662140135,"[5486, 325, 593, 23659, 1311, 5800, 6611, 7304, 3754, 7617, 1104, 1032, 739, 575, 1762, 1889, 239, 3209, 787, 2107, 5810, 3234, 1453]"
26,488,12342.857142857143,12310.93512090046,"[31640, 30698, 3674, 11550, 279, 4649, 3910]"
27,307,5760.0,8555.981416529608,"[35228, 3995, 3723, 7168, 2842, 294, 7957, 1071, 12467, 6188, 1358, 562, 1370, 466, 1711]"
28,1080,5760.0,8250.031733272303,"[33606, 6090, 5285, 4645, 1130, 6502, 429, 152, 6192, 4145, 14062, 1503, 398, 558, 1703]"
29,719,17280.0,13599.181195939702,"[38489, 314, 12077, 26690, 8830]"
30,1213,3456.0,5994.116989181976,"[31538, 2452, 2600, 1137, 1214, 622, 1064, 1300, 4551, 3161, 4754, 7145, 1472, 3445, 1973, 683, 1758, 660, 6073, 783, 631, 891, 3517, 2405, 571]"
31,203,5082.35294117647,9892.015371537118,"[43282, 811, 4365, 344, 372, 9243, 2859, 372, 2150, 4290, 6442, 4314, 1493, 5482, 305, 87, 189]"
32,761,7200.0,7178.538012715402,"[10503, 26, 1760, 146, 22571, 15838, 10180, 5213, 1103, 14916, 3420, 724]"
33,1008,7200.0,7497.220551644456,"[29224, 1366, 3716, 5069, 4217, 277, 13369, 7141, 3931, 4695, 10329, 3066]"
34,750,10800.0,16123.773542505489,"[13765, 722, 111, 685, 1840, 931, 49707, 18639]"
35,56,12342.857142857143,19178.777098125724,"[14076, 232, 57882, 1022, 199, 4591, 8398]"
36,150,21600.0,17268.695448701386,"[41994, 34753, 9366, 287]"
37,1056,9600.0,17201.313929141834,"[57909, 2396, 7131, 1768, 6063, 5056, 3016, 279, 2782]"
38,992,6646.153846153846,7794.385571542495,"[29859, 3535, 12030, 2942, 2853, 331, 5014, 2274, 344, 2911, 14551, 5105, 4651]"
39,437,5400.0,6281.583060821531,"[5279, 290, 25488, 1301, 2301, 4549, 14516, 2340, 6435, 3650, 2763, 26, 3101, 3552, 1317, 9492]"
40,42,14400.0,14151.683327434937,"[38926, 1278, 2844, 1189, 17173, 24990]"
41,1403,43200.0,12226.0,"[55426, 30974]"
42,745,6646.153846153846,9944.612664817792,"[38532, 2106, 296, 124, 3269, 3708, 4799, 15400, 5508, 5584, 4036, 184, 2854]"
43,669,5400.0,7566.283375938282,"[3511, 490, 767, 270, 1487, 27097, 2750, 162, 131, 11410, 5667, 1851, 302, 18847, 1571, 10087]"
44,401,5760.0,9450.846353634155,"[39740, 764, 3856, 17, 6008, 9116, 4826, 970, 2732, 1934, 1383, 7817, 3627, 162, 3448]"
45,1177,14400.0,13441.921328441109,"[39912, 10690, 13711, 178, 1131, 20778]"
46,276,8640.0,8589.227287713371,"[6347, 30426, 2389, 2005, 16092, 5107, 3209, 5423, 13408, 1994]"
47,85,12342.857142857143,16288.603100928938,"[51356, 2516, 5957, 13262, 3327, 3038, 6944]"
48,90,10800.0,23385.51988945296,"[72457, 6235, 2015, 3580, 6, 692, 25, 1390]"
49,900,5760.0,9759.711812685182,"[34679, 4834, 1386, 1179, 558, 579, 4788, 24773, 2230, 133, 231, 922, 3552, 6429, 127]"
50,92,6646.153846153846,8517.56013138246,"[33503, 8245, 3090, 1218, 2609, 6772, 4821, 6196, 13836, 1940, 1793, 1614, 763]"
51,60,28800.0,28656.944114821454,"[68708, 2735, 14957]"
52,1317,43200.0,17902.0,"[61102, 25298]"
53,1033,12342.857142857143,15541.77453950271,"[47504, 358, 3937, 18462, 2011, 11553, 2575]"
54,918,8640.0,11016.313920726841,"[34006, 3086, 23064, 15313, 247, 949, 3466, 2902, 1111, 2256]"
55,1316,28800.0,17941.373191592666,"[42126, 3438, 40836]"
56,144,21600.0,20503.538133697803,"[56702, 14366, 9762, 5570]"
57,1055,12342.857142857143,12574.003947243937,"[41343, 4968, 13239, 11597, 2808, 1524, 10921]"
58,71,9600.0,18545.69188667696,"[61284, 670, 1398, 713, 11123, 1650, 5639, 2378, 1545]"
59,1087,5760.0,11513.466434281785,"[47939, 459, 6832, 877, 1379, 5123, 1754, 307, 1443, 1077, 5276, 6371, 5951, 1335, 277]"
60,351,6171.428571428572,12067.337797982296,"[48406, 3208, 557, 633, 2372, 739, 2486, 10827, 1932, 8264, 3221, 1864, 1454, 437]"
61,303,6646.153846153846,7020.784931420022,"[12335, 27150, 1796, 626, 1492, 45, 2394, 2842, 9961, 8877, 3843, 7844, 7195]"
62,157,10800.0,14365.18253451727,"[47092, 12608, 24, 9345, 386, 3684, 3598, 9663]"
63,135,9600.0,12598.039309529258,"[32985, 973, 32339, 1172, 7250, 2654, 7829, 403, 795]"
64,87,6646.153846153846,7754.697304474474,"[5161, 29728, 2978, 2458, 7247, 4162, 17430, 4877, 1796, 1879, 3353, 1942, 3389]"
65,1381,8640.0,6010.275800660066,"[15562, 18916, 13682, 504, 10249, 5219, 4772, 5046, 11805, 645]"
66,632,3456.0,4321.473600521007,"[5627, 799, 9, 3137, 3629, 1065, 1212, 21086, 2085, 1643, 2299, 288, 9118, 186, 9450, 2107, 2853, 3698, 2995, 88, 1753, 1949, 1941, 2122, 5261]"
67,1371,9600.0,15538.022832894652,"[14145, 788, 344, 5384, 51573, 10301, 1317, 2179, 369]"
