taz,parkingType,pricingModel,chargingPointType,numStalls,feeInCents,reservedFor,parkingZoneId,locationX,locationY
1008,Workplace,FlatFee,DepotXFC(300.0|DC),6,0,ridehail(GlobalRHM),depot-1008-34,557763.343469272,4200384.6384824
1013,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-1013-128,586536.564654611,4239191.19576573
1033,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-1033-54,576279.733890987,4192506.66969611
1034,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-1034-141,576153.278079276,4166167.63486419
1035,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-1035-94,540607.862798438,4215708.19471538
1039,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-1039-126,560837.965354555,4229157.27019218
104,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-104-150,541891.23988771,4202385.82153149
1042,Workplace,FlatFee,DepotXFC(300.0|DC),6,0,ridehail(GlobalRHM),depot-1042-93,549144.567669265,4182264.98975219
1049,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-1049-91,514155.191867482,4237066.85605534
1055,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-1055-58,500479.853882766,4231279.46385348
1056,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-1056-38,531950.3005641,4232555.99355861
1057,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-1057-113,475746.22915253,4264799.43677251
1060,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-1060-10,562536.585245597,4205396.24690844
1080,Workplace,FlatFee,DepotXFC(300.0|DC),7,0,ridehail(GlobalRHM),depot-1080-29,583890.860947243,4159918.51144743
1083,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-1083-109,593227.763038208,4200183.90800549
1087,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-1087-60,514898.600884457,4250437.89326536
1096,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-1096-132,597681.911588177,4169635.79054136
1100,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-1100-134,623151.030510003,4111484.20366577
1103,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-1103-92,547254.810895251,4149488.82493828
1110,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-1110-78,597883.719310051,4132930.38640749
1127,Workplace,FlatFee,DepotXFC(300.0|DC),6,0,ridehail(GlobalRHM),depot-1127-79,581281.630481902,4172668.34674941
1155,Workplace,FlatFee,DepotXFC(300.0|DC),7,0,ridehail(GlobalRHM),depot-1155-22,583901.991379302,4234656.83652803
1159,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-1159-76,559870.543301774,4241496.12467617
116,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-116-108,598041.6041253,4127817.74913189
1160,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-1160-14,628231.167490716,4094044.5841221
1177,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-1177-46,554553.552069737,4159660.48602701
1184,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-1184-117,546170.038619429,4171585.80398517
1201,Workplace,FlatFee,DepotXFC(300.0|DC),10,0,ridehail(GlobalRHM),depot-1201-3,552182.141567186,4182211.50669289
1210,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-1210-87,598637.737893322,4207307.24146177
1213,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-1213-31,550790.030025396,4249718.84586563
1251,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-1251-25,592075.609097561,4130064.9800979
1287,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-1287-131,537524.553725855,4264672.80847164
1289,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-1289-71,609562.391799849,4128488.70435162
1300,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-1300-85,588338.93403983,4139133.78109265
1302,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-1302-116,569771.611701909,4147881.59624665
1304,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-1304-142,580124.474362308,4168041.95148927
1313,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-1313-140,545068.939226127,4161523.1461612
1316,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-1316-56,574314.968842088,4213653.94013972
1317,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-1317-53,617967.917087681,4112399.54843572
1326,Workplace,FlatFee,DepotXFC(300.0|DC),10,0,ridehail(GlobalRHM),depot-1326-18,564601.399064102,4184883.11799664
1332,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-1332-99,615286.485833591,4182691.7513055
