,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,-2.3381337499287215e-09,-2.3381337494591546e-09,3.8394158091384175e-15,0.0,1.4769835867825326e-08,1.7107969617100067e-08,4.5622700751809935e-08
1,120.0,120,-2.329966070573552e-09,-2.3299660701176173e-09,-7.590752820348694e-11,0.0,1.4773828211877705e-08,1.7103794281809022e-08,0.0
2,180.0,180,-2.321770714685938e-09,-2.3217707142134992e-09,-1.5169275036376828e-10,0.0,1.4777818307690639e-08,1.709958902170965e-08,0.04323985936321764
3,240.0,240,-2.313548487419988e-09,-2.313548486946563e-09,-2.2735136015422778e-10,0.0,1.4781806186174608e-08,1.7095354672922055e-08,0.023148148148148147
4,300.0,300,-2.3053001674751123e-09,-2.305300167009275e-09,-3.0288290416067277e-10,0.0,1.4785791878131044e-08,1.7091092044941715e-08,0.009341992564003648
5,360.0,360,-2.2970265081042582e-09,-2.2970265076197736e-09,-3.7828694208388656e-10,0.0,1.4789775414244091e-08,1.7086801921654074e-08,0.12
6,420.0,420,-2.288728237868971e-09,-2.2887282374148362e-09,-4.5356304615722444e-10,0.0,1.4793756825088841e-08,1.7082485062293886e-08,0.0
7,480.0,480,-2.2804060619168366e-09,-2.280406061458329e-09,-5.28710800943852e-10,0.0,1.4797736141124128e-08,1.707814220237202e-08,0.0
8,540.0,540,-2.2720606625428696e-09,-2.27206066206863e-09,-6.037298027050573e-10,0.0,1.480171339269922e-08,1.7073774054562986e-08,0.0
9,600.0,600,-2.2636927001731e-09,-2.2636926997026332e-09,-6.786196593086275e-10,0.0,1.480568861005707e-08,1.706938130954614e-08,0.0
10,660.0,660,-2.255302814163276e-09,-2.2553028136963237e-09,-7.533799895776217e-10,0.0,1.48096618233273e-08,1.706496463681469e-08,0.0
11,720.0,720,-2.246891623604506e-09,-2.2468916231407263e-09,-8.280104231404004e-10,0.0,1.4813633062529779e-08,1.7060524685450726e-08,0.0
12,780.0,780,-2.2384597280084514e-09,-2.23845972750772e-09,-9.025105999726002e-10,0.0,1.4817602357577218e-08,1.7056062084867517e-08,0.0
13,840.0,840,-2.2300077079301408e-09,-2.230007707454701e-09,-9.768801700973314e-10,0.0,1.482156973827653e-08,1.7051577445513208e-08,0.0
14,900.0,900,-2.2215361259436697e-09,-2.221536125466944e-09,-1.0511187933573402e-09,0.0,1.4825535234316478e-08,1.7047071359557214e-08,0.0
15,960.0,960,-2.213045526957663e-09,-2.2130455264784937e-09,-1.1252261390478601e-09,0.0,1.4829498875283473e-08,1.704254440153717e-08,0.0
16,1020.0,1020,-2.2045364390437633e-09,-2.2045364385687523e-09,-1.1992018855017028e-09,0.0,1.4833460690651942e-08,1.703799712898617e-08,0.0
17,1080.0,1080,-2.196009373947356e-09,-2.196009373473674e-09,-1.2730457200466683e-09,0.0,1.4837420709785897e-08,1.703343008302466e-08,0.0
18,1140.0,1140,-2.1874648277362313e-09,-2.187464827236529e-09,-1.3467573385962064e-09,0.0,1.4841378961937718e-08,1.7028843788942593e-08,0.0
19,1200.0,1200,-2.1789032812237282e-09,-2.178903280728784e-09,-1.4203364454010882e-09,0.0,1.4845335476245933e-08,1.7024238756741433e-08,0.0
20,1260.0,1260,-2.1703252006411903e-09,-2.1703252001587633e-09,-1.4937827527332593e-09,0.0,1.4849290281743614e-08,1.7019615481664507e-08,0.0
21,1320.0,1320,-2.161731038112355e-09,-2.16173103761859e-09,-1.5670959808136316e-09,0.0,1.4853243407342262e-08,1.701497444470575e-08,0.0
22,1380.0,1380,-2.153121231989714e-09,-2.1531212314857243e-09,-1.6402758573289689e-09,0.0,1.4857194881846044e-08,1.7010316113087597e-08,0.0
23,1440.0,1440,-2.1444962075344667e-09,-2.1444962070434233e-09,-1.713322117508856e-09,0.0,1.4861144733939434e-08,1.70056409407404e-08,0.0
24,1500.0,1500,-2.135856377260663e-09,-2.135856376786166e-09,-1.7862345036270459e-09,0.0,1.486509299219477e-08,1.700094936873659e-08,0.0
25,1560.0,1560,-2.127202141394029e-09,-2.12720214091426e-09,-1.859012764959643e-09,0.0,1.486903968506556e-08,1.6996241825725704e-08,0.0
26,1620.0,1620,-2.1185338882172855e-09,-2.118533887714068e-09,-1.931656657426884e-09,0.0,1.4872984840888375e-08,1.699151872835017e-08,0.0
27,1680.0,1680,-2.1098519945130917e-09,-2.1098519940144825e-09,-2.0041659436728476e-09,0.0,1.487692848788078e-08,1.6986780481640054e-08,0.0
28,1740.0,1740,-2.1011568260060725e-09,-2.1011568255137863e-09,-2.0765403925149577e-09,0.0,1.4880870654139632e-08,1.698202747939182e-08,0.0
29,1800.0,1800,-2.0924487376562e-09,-2.092448737162992e-09,-2.1487797790333583e-09,0.0,1.48848113676457e-08,1.697726010453683e-08,0.0
30,1860.0,1860,-2.0837280740071115e-09,-2.083728073511996e-09,-2.2208838843073464e-09,0.0,1.4888750656251496e-08,1.6972478729493343e-08,0.0
31,1920.0,1920,-2.0749951696050706e-09,-2.074995169090772e-09,-2.2928524951023115e-09,0.0,1.489268854769139e-08,1.6967683716506227e-08,0.0
32,1980.0,1980,-2.066250349182997e-09,-2.0662503486641973e-09,-2.3646854039572095e-09,0.0,1.4896625069577151e-08,1.6962875417969636e-08,0.0
33,2040.0,2040,-2.057493928123218e-09,-2.057493927626752e-09,-2.436382408887832e-09,0.0,1.4900560249390062e-08,1.695805417674613e-08,0.0
34,2100.0,2100,-2.0487262127633227e-09,-2.048726212249903e-09,-2.5079433131815604e-09,0.0,1.4904494114491204e-08,1.6953220326459707e-08,0.0
35,2160.0,2160,-2.0399475004628036e-09,-2.0399474999560496e-09,-2.5793679253254353e-09,0.0,1.4908426692115975e-08,1.6948374191793645e-08,0.0
36,2220.0,2220,-2.031158080169028e-09,-2.0311580796795494e-09,-2.6506560587245184e-09,0.0,1.4912358009364995e-08,1.6943516088764e-08,0.0
37,2280.0,2280,-2.0223582325770702e-09,-2.022358232060328e-09,-2.7218075318682165e-09,0.0,1.49162880932192e-08,1.693864632499429e-08,0.0
38,2340.0,2340,-2.0135482302447873e-09,-2.0135482297320743e-09,-2.7928221678770052e-09,0.0,1.492021697052304e-08,1.6933765199964646e-08,0.0
39,2400.0,2400,-2.0047283380761256e-09,-2.0047283375630056e-09,-2.8636997945371945e-09,0.0,1.4924144667995442e-08,1.6928873005271925e-08,0.0
40,2460.0,2460,-1.995898813459196e-09,-1.9958988129435044e-09,-2.934440243928454e-09,0.0,1.4928071212222288e-08,1.692397002486394e-08,0.0
41,2520.0,2520,-1.987059906431056e-09,-1.987059905915428e-09,-3.0050433527671814e-09,0.0,1.4931996629656896e-08,1.6919056535270433e-08,0.0
42,2580.0,2580,-1.978211860010355e-09,-1.9782118595013718e-09,-3.075508961821149e-09,0.0,1.4935920946621082e-08,1.6914132805824762e-08,0.0
43,2640.0,2640,-1.969354910402975e-09,-1.96935490987573e-09,-3.1458369160047142e-09,0.0,1.493984418930137e-08,1.69091990988805e-08,0.0
44,2700.0,2700,-1.9604892870825063e-09,-1.960489286574616e-09,-3.2160270642838657e-09,0.0,1.4943766383750698e-08,1.6904255670021622e-08,0.0
45,2760.0,2760,-1.951615213197427e-09,-1.9516152126694106e-09,-3.286079259420224e-09,0.0,1.4947687555886222e-08,1.6899302768252178e-08,0.0
46,2820.0,2820,-1.9427329055498803e-09,-1.9427329050227e-09,-3.3559933580803075e-09,0.0,1.4951607731489968e-08,1.6894340636199285e-08,0.0
47,2880.0,2880,-1.9338425749126576e-09,-1.9338425743916926e-09,-3.4257692205354196e-09,0.0,1.495552693620661e-08,1.6889369510288225e-08,0.0
48,2940.0,2940,-1.9249444262329234e-09,-1.924944425698756e-09,-3.4954067106482338e-09,0.0,1.4959445195542292e-08,1.6884389620929144e-08,0.0
49,3000.0,3000,-1.916038658656094e-09,-1.916038658131271e-09,-3.564905695701106e-09,0.0,1.4963362534865793e-08,1.6879401192684263e-08,0.0
50,3060.0,3060,-1.9071254658697363e-09,-1.9071254653468213e-09,-3.6342660464915884e-09,0.0,1.496727897941079e-08,1.687440444443521e-08,0.0
51,3120.0,3120,-1.898205036128114e-09,-1.8982050355952107e-09,-3.7034876370322685e-09,0.0,1.4971194554264692e-08,1.686939958954695e-08,0.0
52,3180.0,3180,-1.889277552494639e-09,-1.889277551957578e-09,-3.772570344539112e-09,0.0,1.497510928438047e-08,1.6864386836013544e-08,0.0
53,3240.0,3240,-1.8803431929270093e-09,-1.8803431923770235e-09,-3.841514049218712e-09,0.0,1.4979023194566385e-08,1.6859366386618454e-08,0.0
54,3300.0,3300,-1.8714021304293007e-09,-1.871402129896526e-09,-3.910318634558458e-09,0.0,1.498293630949369e-08,1.6854338439065562e-08,0.0
55,3360.0,3360,-1.8624545333170348e-09,-1.8624545327808737e-09,-3.978983986787607e-09,0.0,1.4986848653691663e-08,1.684930318613245e-08,0.0
56,3420.0,3420,-1.8535005651302462e-09,-1.8535005645874408e-09,-4.047509995141351e-09,0.0,1.499076025154366e-08,1.684426081578992e-08,0.0
57,3480.0,3480,-1.8445403849367663e-09,-1.8445403843877665e-09,-4.1158965515148295e-09,0.0,1.4994671127292436e-08,1.6839211511345003e-08,0.0
58,3540.0,3540,-1.8355741473845645e-09,-1.8355741468573413e-09,-4.1841435506298855e-09,0.0,1.4998581305041e-08,1.683415545155446e-08,0.0
59,3600.0,3600,-1.826602002900524e-09,-1.8266020023523173e-09,-4.252250889701819e-09,0.0,1.500249080874489e-08,1.682909281075202e-08,0.0
60,3660.0,3660,-1.8176240976220245e-09,-1.8176240970951655e-09,-4.320218468663534e-09,0.0,1.500639966221836e-08,1.6824023758960857e-08,0.0
61,3720.0,3720,-1.8086405737790608e-09,-1.8086405732266102e-09,-4.388046189893508e-09,0.0,1.501030788912906e-08,1.6818948462009174e-08,0.0
62,3780.0,3780,-1.7996515695495237e-09,-1.7996515689983164e-09,-4.455733958169751e-09,0.0,1.5014215513003692e-08,1.6813867081640273e-08,0.0
63,3840.0,3840,-1.7906572192949684e-09,-1.7906572187431823e-09,-4.523281680659086e-09,0.0,1.5018122557221318e-08,1.6808779775608744e-08,0.0
64,3900.0,3900,-1.781657653679872e-09,-1.781657653123306e-09,-4.590689266789369e-09,0.0,1.5022029045019887e-08,1.6803686697791253e-08,0.0
65,3960.0,3960,-1.7726529996957665e-09,-1.7726529991602913e-09,-4.657956628271214e-09,0.0,1.5025934999484396e-08,1.6798587998278943e-08,0.0
66,4020.0,4020,-1.7636433808301581e-09,-1.763643380278029e-09,-4.7250836788879515e-09,0.0,1.502984044356078e-08,1.679348382347227e-08,0.0
67,4080.0,4080,-1.7546289170538378e-09,-1.7546289164933925e-09,-4.79207033475051e-09,0.0,1.5033745400048885e-08,1.6788374316175484e-08,0.0
68,4140.0,4140,-1.7456097249945576e-09,-1.7456097244338336e-09,-4.858916513845946e-09,0.0,1.5037649891601948e-08,1.6783259615680455e-08,0.0
69,4200.0,4200,-1.7365859180509508e-09,-1.7365859175097743e-09,-4.925622136180185e-09,0.0,1.5041553940722318e-08,1.6778139857854327e-08,0.0
70,4260.0,4260,-1.7275576063821358e-09,-1.7275576058183684e-09,-4.992187123790458e-09,0.0,1.504545756977414e-08,1.6773015175221446e-08,0.0
71,4320.0,4320,-1.7185248970020674e-09,-1.7185248964532393e-09,-5.058611400497697e-09,0.0,1.5049360800965853e-08,1.6767885697042955e-08,0.0
72,4380.0,4380,-1.709487893951198e-09,-1.7094878933981042e-09,-5.124894892043714e-09,0.0,1.5053263656367886e-08,1.6762751549389295e-08,0.0
73,4440.0,4440,-1.7004466982489373e-09,-1.700446697701738e-09,-5.191037525930271e-09,0.0,1.5057166157899244e-08,1.67576128552215e-08,0.0
74,4500.0,4500,-1.6914014080514698e-09,-1.6914014075130582e-09,-5.257039231395684e-09,0.0,1.5061068327331988e-08,1.6752469734459606e-08,0.0
75,4560.0,4560,-1.6823521186861746e-09,-1.6823521181368532e-09,-5.3228999393853225e-09,0.0,1.5064970186291748e-08,1.6747322304044552e-08,0.0
76,4620.0,4620,-1.673298922717021e-09,-1.6732989221603267e-09,-5.3886195825291495e-09,0.0,1.5068871756255655e-08,1.6742170678023917e-08,0.0
77,4680.0,4680,-1.664241909997702e-09,-1.6642419094249323e-09,-5.454198094876462e-09,0.0,1.5072773058556985e-08,1.67370149675905e-08,0.0
78,4740.0,4740,-1.6551811677801302e-09,-1.6551811671997088e-09,-5.519635412214904e-09,0.0,1.507667411437812e-08,1.6731855281170956e-08,0.0
79,4800.0,4800,-1.646116780674294e-09,-1.6461167801157565e-09,-5.584931471736019e-09,0.0,1.5080574944751917e-08,1.6726691724464403e-08,0.0
80,4860.0,4860,-1.637048830938682e-09,-1.6370488303391635e-09,-5.650086212177486e-09,0.0,1.508447557057252e-08,1.6721524400513384e-08,0.0
81,4920.0,4920,-1.6279773981335091e-09,-1.6279773975784006e-09,-5.7150995736696505e-09,0.0,1.508837601257804e-08,1.6716353409756187e-08,0.0
82,4980.0,4980,-1.6189025596951143e-09,-1.6189025591209302e-09,-5.779971497696175e-09,0.0,1.5092276291362194e-08,1.671117885008101e-08,0.0
83,5040.0,5040,-1.6098243904867793e-09,-1.6098243899141596e-09,-5.844701927002302e-09,0.0,1.5096176427371256e-08,1.6706000816877063e-08,0.0
84,5100.0,5100,-1.6007429631720558e-09,-1.600742962605202e-09,-5.909290805853685e-09,0.0,1.5100076440902825e-08,1.6700819403091337e-08,0.0
85,5160.0,5160,-1.591658348158398e-09,-1.5916583475848352e-09,-5.973738079595979e-09,0.0,1.51039763521043e-08,1.669563469926889e-08,0.0
86,5220.0,5220,-1.5825706136098485e-09,-1.5825706130312274e-09,-6.038043694795174e-09,0.0,1.510787618098093e-08,1.6690446793603246e-08,0.0
87,5280.0,5280,-1.5734798256020913e-09,-1.5734798250175118e-09,-6.102207599317169e-09,0.0,1.511177594738518e-08,1.668525577198701e-08,0.0
