,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,c"
0,60.0,60,29.157763680994723,29.157763680994723,1.7564441814502613e-14,0.0,29.157763825900076,1.4490535427705174e-07,254.42108990430856
1,120.0,120,29.157763680994766,29.157763680994766,0.4130683184518612,0.0,29.157763825900105,1.4490534025079306e-07,0.5917808219178082
2,180.0,180,29.15776368099485,29.15776368099485,0.8261366369037042,0.0,29.15776382590016,1.4490531219830993e-07,0.03397260273972603
3,240.0,240,29.15776368099498,29.15776368099498,1.2392049553555489,0.0,29.157763825900247,1.4490527011962513e-07,0.023148148148148147
4,300.0,300,29.15776368099515,29.15776368099515,1.6522732738073953,0.0,29.15776382590036,1.449052140147995e-07,0.12
5,360.0,360,29.157763680995362,29.157763680995362,2.065341592259245,0.0,29.157763825900503,1.4490514388389193e-07,0.0
6,420.0,420,29.157763680995615,29.157763680995615,2.4784099107110977,0.0,29.157763825900673,1.449050597270279e-07,0.0
7,480.0,480,29.15776368099591,29.15776368099591,2.8914782291629533,0.0,29.157763825900876,1.4490496154428154e-07,0.0
8,540.0,540,29.157763680996254,29.157763680996254,3.304546547614814,0.0,29.157763825901103,1.4490484933578964e-07,0.0
9,600.0,600,29.157763680996638,29.157763680996638,3.7176148660666803,0.0,29.157763825901355,1.4490472310171e-07,0.0
10,660.0,660,29.157763680997057,29.157763680997057,4.130683184518552,0.0,29.157763825901643,1.4490458284219846e-07,0.0
11,720.0,720,29.157763680997526,29.15776368099753,4.543751502970431,0.0,29.157763825901956,1.4490442855743366e-07,0.0
12,780.0,780,29.157763680998034,29.157763680998034,4.956819821422315,0.0,29.157763825902297,1.449042602476114e-07,0.0
13,840.0,840,29.15776368099859,29.15776368099859,5.369888139874208,0.0,29.157763825902666,1.4490407791297113e-07,0.0
14,900.0,900,29.15776368099918,29.15776368099918,5.782956458326109,0.0,29.157763825903068,1.4490388155372953e-07,0.0
15,960.0,960,29.15776368099982,29.15776368099982,6.196024776778019,0.0,29.157763825903494,1.449036711701565e-07,0.0
16,1020.0,1020,29.1577636810005,29.157763681000503,6.609093095229939,0.0,29.15776382590395,1.449034467625124e-07,0.0
17,1080.0,1080,29.157763681001224,29.157763681001224,7.022161413681868,0.0,29.15776382590443,1.4490320833109565e-07,0.0
18,1140.0,1140,29.157763681001985,29.157763681001985,7.435229732133808,0.0,29.157763825904944,1.4490295587622555e-07,0.0
19,1200.0,1200,29.157763681002795,29.157763681002795,7.84829805058576,0.0,29.157763825905484,1.449026893981986e-07,0.0
20,1260.0,1260,29.157763681003644,29.157763681003644,8.261366369037724,0.0,29.157763825906052,1.4490240889739872e-07,0.0
21,1320.0,1320,29.157763681004536,29.157763681004536,8.6744346874897,0.0,29.15776382590665,1.4490211437417185e-07,0.0
22,1380.0,1380,29.15776368100547,29.15776368100547,9.087503005941693,0.0,29.157763825907274,1.4490180582890948e-07,0.0
23,1440.0,1440,29.157763681006447,29.157763681006447,9.500571324393697,0.0,29.157763825907928,1.4490148326198984e-07,0.0
24,1500.0,1500,29.157763681007463,29.157763681007463,9.913639642845714,0.0,29.15776382590861,1.4490114667387293e-07,0.0
25,1560.0,1560,29.157763681008525,29.157763681008525,10.326707961297748,0.0,29.15776382590932,1.4490079606496164e-07,0.0
26,1620.0,1620,29.157763681009627,29.157763681009627,10.7397762797498,0.0,29.15776382591006,1.449004314357197e-07,0.0
27,1680.0,1680,29.157763681010774,29.157763681010774,11.152844598201865,0.0,29.157763825910827,1.4490005278661473e-07,0.0
28,1740.0,1740,29.15776368101196,29.15776368101196,11.565912916653948,0.0,29.15776382591162,1.4489966011817125e-07,0.0
