,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,6.063456772816584e-06,6.063456772986339e-06,-5.482155425876269e-13,0.0,6.508297004583958e-06,4.4484023114688493e-07,230.21995592393364
1,120.0,120,6.078320949881951e-06,6.0783209500501595e-06,8.478570041730531e-08,0.0,6.5228676089025755e-06,4.4454665841596644e-07,0.1643835616438356
2,180.0,180,6.093008952409352e-06,6.0930089525775615e-06,1.6978326238411399e-07,0.0,6.537261310839205e-06,4.442523578141914e-07,0.04323985936321764
3,240.0,240,6.107503382069949e-06,6.1075033822421804e-06,2.5498964373513673e-07,0.0,6.551460700981675e-06,4.4395731829947366e-07,0.023148148148148147
4,300.0,300,6.121785832394674e-06,6.121785832568659e-06,3.404021040597566e-07,0.0,6.565447361208396e-06,4.436615281931291e-07,0.009341992564003648
5,360.0,360,6.135836836682148e-06,6.135836836861495e-06,4.2601764221447824e-07,0.0,6.579201812479535e-06,4.433649751588045e-07,0.12
6,420.0,420,6.14963581376133e-06,6.149635813929642e-06,5.118329813171014e-07,0.0,6.592703460573159e-06,4.4306764618058144e-07,0.0
7,480.0,480,6.163161011617687e-06,6.163161011784967e-06,5.978445529185388e-07,0.0,6.605930539789782e-06,4.4276952753896555e-07,0.0
8,540.0,540,6.176389449263111e-06,6.176389449441737e-06,6.840484804973059e-07,0.0,6.6188600546832655e-06,4.4247060478593496e-07,0.0
9,600.0,600,6.189296856540722e-06,6.1892968567143975e-06,7.704405619854708e-07,0.0,6.631467719895729e-06,4.421708627179003e-07,0.0
10,660.0,660,6.2018576122376705e-06,6.201857612417018e-06,8.570162515078264e-07,0.0,6.643727898231893e-06,4.4187028534692426e-07,0.0
11,720.0,720,6.214044680601353e-06,6.214044680772966e-06,9.437706402851359e-07,0.0,6.655613537117531e-06,4.4156885586984e-07,0.0
12,780.0,780,6.22582954638393e-06,6.225829546568022e-06,1.0306984365707888e-06,0.0,6.667096103670087e-06,4.412665566351776e-07,0.0
13,840.0,840,6.237182148907595e-06,6.237182149078795e-06,1.1177939446908483e-06,0.0,6.678145518656991e-06,4.4096336910777715e-07,0.0
14,900.0,900,6.248070815189998e-06,6.248070815370686e-06,1.2050510431602147e-06,0.0,6.688730089681629e-06,4.4065927383045533e-07,0.0
15,960.0,960,6.258462192992227e-06,6.258462193179309e-06,1.2924631618385463e-06,0.0,6.698816444041963e-06,4.403542503831393e-07,0.0
16,1020.0,1020,6.268321183789837e-06,6.268321183972588e-06,1.3800232581592024e-06,0.0,6.708369461786342e-06,4.40048277338636e-07,0.0
17,1080.0,1080,6.277610876739225e-06,6.277610876923729e-06,1.4677237923685898e-06,0.0,6.717352209626143e-06,4.3974133221506194e-07,0.0
18,1140.0,1140,6.286292484404669e-06,6.286292484592164e-06,1.5555567018682843e-06,0.0,6.725725876495633e-06,4.3943339142452866e-07,0.0
19,1200.0,1200,6.294325280801319e-06,6.294325281000467e-06,1.6435133746319e-06,0.0,6.733449711712219e-06,4.3912443021766386e-07,0.0
20,1260.0,1260,6.301666543587403e-06,6.301666543774589e-06,1.7315846217442996e-06,0.0,6.740480966893503e-06,4.388144226235431e-07,0.0
21,1320.0,1320,6.308271500919889e-06,6.308271501115738e-06,1.8197606491240503e-06,0.0,6.746774842995683e-06,4.385033413851032e-07,0.0
22,1380.0,1380,6.314093285546929e-06,6.3140932857428804e-06,1.9080310284851975e-06,0.0,6.752284444119819e-06,4.381911578887674e-07,0.0
23,1440.0,1440,6.319082897251985e-06,6.319082897442162e-06,1.9963846676660928e-06,0.0,6.756960740023706e-06,4.378778420882366e-07,0.0
24,1500.0,1500,6.323189176544231e-06,6.323189176741111e-06,2.0848097804099655e-06,0.0,6.7607525396594385e-06,4.375633624221577e-07,0.0
25,1560.0,1560,6.326358792024209e-06,6.3263587922209855e-06,2.1732938557808727e-06,0.0,6.763606478452641e-06,4.3724768572412116e-07,0.0
26,1620.0,1620,6.328536244737772e-06,6.3285362449391895e-06,2.2618236273887254e-06,0.0,6.7654670225675086e-06,4.369307771255425e-07,0.0
27,1680.0,1680,6.3296638932703695e-06,6.329663893472612e-06,2.350385042711747e-06,0.0,6.766276493938291e-06,4.366125999493198e-07,0.0
28,1740.0,1740,6.329682004248628e-06,6.3296820044450956e-06,2.4389632327243863e-06,0.0,6.7659751205556245e-06,4.3629311559451884e-07,0.0
29,1800.0,1800,6.328528833131095e-06,6.3285288333344725e-06,2.527542482269508e-06,0.0,6.764501117269562e-06,4.3597228341055796e-07,0.0
30,1860.0,1860,6.3261407419975445e-06,6.326140742199271e-06,2.6161062015949553e-06,0.0,6.761790803277103e-06,4.3565006055983554e-07,0.0
31,1920.0,1920,6.322452360953288e-06,6.322452361155531e-06,2.7046368995066532e-06,0.0,6.75777876354827e-06,4.353264018679497e-07,0.0
32,1980.0,1980,6.317396802289752e-06,6.317396802493336e-06,2.7931161588464264e-06,0.0,6.752398062677288e-06,4.350012596601624e-07,0.0
33,2040.0,2040,6.3109059367795544e-06,6.310905936993451e-06,2.881524615013019e-06,0.0,6.745580521099796e-06,4.3467458358214877e-07,0.0
34,2100.0,2100,6.302910744161133e-06,6.302910744373895e-06,2.9698419383577522e-06,0.0,6.7372570653034515e-06,4.34346320404226e-07,0.0
35,2160.0,2160,6.293341751066788e-06,6.293341751284397e-06,3.058046821586122e-06,0.0,6.727358165622831e-06,4.340164138069024e-07,0.0
36,2220.0,2220,6.282129572583232e-06,6.282129572798366e-06,3.1461169733309996e-06,0.0,6.715814377482227e-06,4.336848041457548e-07,0.0
37,2280.0,2280,6.2692055756432136e-06,6.269205575859998e-06,3.2340291194243078e-06,0.0,6.702557004592559e-06,4.3335142819371987e-07,0.0
38,2340.0,2340,6.254502686072252e-06,6.254502686291099e-06,3.3217590135599307e-06,0.0,6.6875189056918025e-06,4.330162188579505e-07,0.0
39,2400.0,2400,6.2379563643045405e-06,6.237956364521325e-06,3.409281459377309e-06,0.0,6.670635469924171e-06,4.326791048697676e-07,0.0
40,2460.0,2460,6.219505778883863e-06,6.2195057790987905e-06,3.49657034638793e-06,0.0,6.651845790087524e-06,4.3234001044307245e-07,0.0
41,2520.0,2520,6.199095211983066e-06,6.19909521221398e-06,3.5835987025098025e-06,0.0,6.631094067655027e-06,4.3199885489983426e-07,0.0
42,2580.0,2580,6.176675735882761e-06,6.176675736111199e-06,3.6703387665351055e-06,0.0,6.6083312889105205e-06,4.3165555225798585e-07,0.0
43,2640.0,2640,6.152207206158153e-06,6.152207206381538e-06,3.756762084323871e-06,0.0,6.583517217715398e-06,4.3131001077867225e-07,0.0
44,2700.0,2700,6.125660624220546e-06,6.125660624446097e-06,3.842839633250378e-06,0.0,6.556622757474318e-06,4.309621324683275e-07,0.0
45,2760.0,2760,6.0970209295315405e-06,6.097020929759463e-06,3.9285419801291725e-06,0.0,6.527632742849004e-06,4.306118125315374e-07,0.0
46,2820.0,2820,6.066290291185592e-06,6.0662902914100074e-06,4.0138394786748395e-06,0.0,6.496549230738209e-06,4.3025893876986825e-07,0.0
47,2880.0,2880,6.033491978309924e-06,6.033491978532174e-06,4.098702513613112e-06,0.0,6.463395370008387e-06,4.2990339092168976e-07,0.0
48,2940.0,2940,5.998674899710263e-06,5.998674899936742e-06,4.1831017996191905e-06,0.0,6.428219940442266e-06,4.2954503993827617e-07,0.0
49,3000.0,3000,5.96191891523025e-06,5.961918915461679e-06,4.267008744564185e-06,0.0,6.391102663226987e-06,4.2918374719024055e-07,0.0
50,3060.0,3060,5.923341033398973e-06,5.923341033634321e-06,4.350395888015074e-06,0.0,6.352160397800612e-06,4.2881936360030714e-07,0.0
51,3120.0,3120,5.883102623131412e-06,5.883102623360675e-06,4.433237427536456e-06,0.0,6.31155435262892e-06,4.2845172869662035e-07,0.0
52,3180.0,3180,5.841417779407246e-06,5.841417779641975e-06,4.5155098471479665e-06,0.0,6.269498449798939e-06,4.2808066958336027e-07,0.0
53,3240.0,3240,5.798562993391818e-06,5.7985629936295375e-06,4.597192664321744e-06,0.0,6.226268994030627e-06,4.2770599982540444e-07,0.0
54,3300.0,3300,5.754888285211748e-06,5.75488828544359e-06,4.678269313950388e-06,0.0,6.1822158042666706e-06,4.273275182460355e-07,0.0
55,3360.0,3360,5.710829959319664e-06,5.710829959548102e-06,4.758728190054161e-06,0.0,6.137774967767439e-06,4.2694500764028056e-07,0.0
56,3420.0,3420,5.666925134767922e-06,5.666925135006468e-06,4.838563868171157e-06,0.0,6.09348336899872e-06,4.265582334086321e-07,0.0
57,3480.0,3480,5.62382818019899e-06,5.6238281804307285e-06,4.917778533618511e-06,0.0,6.049995123133375e-06,4.261669421250411e-07,0.0
58,3540.0,3540,5.5823291380971135e-06,5.58232913833834e-06,4.9963836425656375e-06,0.0,6.008099998982924e-06,4.2577086005805625e-07,0.0
59,3600.0,3600,5.5433741450811244e-06,5.543374145317195e-06,5.074401844141526e-06,0.0,5.96874383758989e-06,4.2536969167904534e-07,0.0
60,3660.0,3660,5.508087725931456e-06,5.5080877261561814e-06,5.151869191812561e-06,0.0,5.933050844958658e-06,4.249631182059527e-07,0.0
