,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b,c"
0,60.0,60,3.3660235098809415e-09,3.3660235112892433e-09,-1.7997026783948297e-15,0.0,2.4609832045797426e-08,-2.1243808532507753e-08,2.6547674855774975e-08
1,120.0,120,3.366021032636731e-09,3.3660210340450726e-09,2.4105081197131136e-11,0.0,2.4609830404342184e-08,-2.1243809368297996e-08,0.0
2,180.0,180,3.3660160781497784e-09,3.3660160795580405e-09,4.821192294887632e-11,0.0,2.460982712143107e-08,-2.1243811039872128e-08,0.040740740740740744
3,240.0,240,3.3660086464284546e-09,3.3660086478368756e-09,7.231868640453956e-11,0.0,2.4609822197076462e-08,-2.1243813547238723e-08,0.12
4,300.0,300,3.3659987374916066e-09,3.365998738899988e-09,9.642533241623146e-11,0.0,2.4609815631295496e-08,-2.1243816890394604e-08,0.0
5,360.0,360,3.3659863513531603e-09,3.3659863527613034e-09,1.2053182183633477e-10,0.0,2.460980742410246e-08,-2.1243821069340728e-08,0.0
6,420.0,420,3.365971488041643e-09,3.3659714894500237e-09,1.446381155174325e-10,0.0,2.4609797575526553e-08,-2.1243826084075507e-08,0.0
7,480.0,480,3.365954147575781e-09,3.365954148984083e-09,1.6874417431258253e-10,0.0,2.4609786085589676e-08,-2.124383193460592e-08,0.0
8,540.0,540,3.3659343299941004e-09,3.365934331402442e-09,1.9284995907508447e-10,0.0,2.460977295432992e-08,-2.124383862092689e-08,0.0
9,600.0,600,3.3659120353335003e-09,3.3659120367417625e-09,2.169554306588753e-10,0.0,2.4609758181784737e-08,-2.1243846143043184e-08,0.0
10,660.0,660,3.365887263630085e-09,3.3658872650383472e-09,2.4106054991841266e-10,0.0,2.4609741767995393e-08,-2.1243854500957015e-08,0.0
11,720.0,720,3.3658600149353153e-09,3.3658600163435774e-09,2.6516527770873704e-10,0.0,2.4609723713013304e-08,-2.1243863694669022e-08,0.0
12,780.0,780,3.365830289296405e-09,3.3658302907047467e-09,2.8926957488566993e-10,0.0,2.4609704016885448e-08,-2.124387372418111e-08,0.0
13,840.0,840,3.365798086771401e-09,3.3657980881797027e-09,3.133734023057496e-10,0.0,2.4609682679674677e-08,-2.1243884589495816e-08,0.0
14,900.0,900,3.3657634074133093e-09,3.3657634088215318e-09,3.374767208264466e-10,0.0,2.4609659701438115e-08,-2.124389629061536e-08,0.0
15,960.0,960,3.3657262512934286e-09,3.3657262527016113e-09,3.6157949130595566e-10,0.0,2.460963508224306e-08,-2.1243908827541656e-08,0.0
16,1020.0,1020,3.3656866184762324e-09,3.365686619884415e-09,3.8568167460363193e-10,0.0,2.4609608822166324e-08,-2.1243922200281678e-08,0.0
17,1080.0,1080,3.365644509038335e-09,3.3656445104465973e-09,4.097832315797977e-10,0.0,2.4609580921276145e-08,-2.1243936408828447e-08,0.0
18,1140.0,1140,3.365599923054963e-09,3.3655999244633443e-09,4.338841230959359e-10,0.0,2.46095513796595e-08,-2.1243951453196878e-08,0.0
19,1200.0,1200,3.365552860605388e-09,3.3655528620136105e-09,4.579843100146997e-10,0.0,2.4609520197399228e-08,-2.124396733338507e-08,0.0
20,1260.0,1260,3.365503321788285e-09,3.3655033231965075e-09,4.820837531999774e-10,0.0,2.4609487374588646e-08,-2.124398404939175e-08,0.0
21,1320.0,1320,3.3654513066834425e-09,3.3654513080915856e-09,5.061824135170854e-10,0.0,2.4609452911318854e-08,-2.1244001601227713e-08,0.0
22,1380.0,1380,3.365396815391796e-09,3.3653968167999e-09,5.302802518326843e-10,0.0,2.4609416807694913e-08,-2.1244019988894546e-08,0.0
23,1440.0,1440,3.3653398480119812e-09,3.365339849420283e-09,5.543772290148681e-10,0.0,2.4609379063816806e-08,-2.1244039212396057e-08,0.0
24,1500.0,1500,3.365280404654852e-09,3.365280406063035e-09,5.784733059333375e-10,0.0,2.460933967979626e-08,-2.1244059271733828e-08,0.0
25,1560.0,1560,3.3652184854196782e-09,3.3652184868278614e-09,6.025684434593602e-10,0.0,2.460929865574659e-08,-2.1244080166918977e-08,0.0
26,1620.0,1620,3.365154090433741e-09,3.3651540918418445e-09,6.266626024658212e-10,0.0,2.460925599178905e-08,-2.124410189794769e-08,0.0
27,1680.0,1680,3.3650872198090454e-09,3.3650872212171094e-09,6.507557438275989e-10,0.0,2.460921168804584e-08,-2.1244124464830126e-08,0.0
28,1740.0,1740,3.3650178736676753e-09,3.3650178750757786e-09,6.748478284211785e-10,0.0,2.4609165744645188e-08,-2.1244147867569776e-08,0.0
29,1800.0,1800,3.3649460521413543e-09,3.3649460535494974e-09,6.9893881712496e-10,0.0,2.4609118161722e-08,-2.1244172106172668e-08,0.0
30,1860.0,1860,3.364871755362403e-09,3.3648717567705857e-09,7.230286708193862e-10,0.0,2.4609068939411804e-08,-2.1244197180641662e-08,0.0
31,1920.0,1920,3.364794983467544e-09,3.3647949848756476e-09,7.471173503869236e-10,0.0,2.4609018077858704e-08,-2.1244223090983425e-08,0.0
32,1980.0,1980,3.3647157365970732e-09,3.3647157380052957e-09,7.712048167120723e-10,0.0,2.4608965577212204e-08,-2.1244249837207476e-08,0.0
