,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,1.866578358289872e-07,1.866578352390204e-07,2.581267175603034e-06,0.0,2.1589633344728086e-07,-2.923849874865825e-08,3.772930086139541e-06
1,120.0,120,1.8658258192916654e-07,1.865825813379636e-07,2.5838383223523827e-06,0.0,2.1582462140061081e-07,-2.92420406043122e-08,0.06575342465753424
2,180.0,180,1.8650796959010965e-07,1.865079689976922e-07,2.586408394000388e-06,0.0,2.1575351610455754e-07,-2.924554764978391e-08,0.04323985936321764
3,240.0,240,1.8643399393097856e-07,1.864339933373528e-07,2.588977399724285e-06,0.0,2.1568301297602074e-07,-2.92490201828378e-08,0.023148148148148147
4,300.0,300,1.8636065015238412e-07,1.8636064955757173e-07,2.5915453486311677e-06,0.0,2.156131075088349e-07,-2.9252458496666113e-08,0.009341992564003648
5,360.0,360,1.8628793353483987e-07,1.8628793293884708e-07,2.5941122497595714e-06,0.0,2.1554379527219521e-07,-2.925586287997527e-08,0.12
6,420.0,420,1.8621583943721e-07,1.862158388400368e-07,2.596678112080466e-06,0.0,2.1547507190926044e-07,-2.9259233617067597e-08,0.0
7,480.0,480,1.861443632951942e-07,1.8614436269685606e-07,2.599242944498247e-06,0.0,2.154069331357431e-07,-2.9262570987939294e-08,0.0
8,540.0,540,1.8607350061996754e-07,1.8607350002047688e-07,2.6018067558522734e-06,0.0,2.153393747385835e-07,-2.926587526833892e-08,0.0
9,600.0,600,1.860032469967523e-07,1.860032463961184e-07,2.6043695549169647e-06,0.0,2.1527239257457417e-07,-2.92691467298739e-08,0.0
10,660.0,660,1.859335980833958e-07,1.8593359748162484e-07,2.606931350404132e-06,0.0,2.1520598256910187e-07,-2.927238564006124e-08,0.0
11,720.0,720,1.8586454960906916e-07,1.8586454900617668e-07,2.6094921509631267e-06,0.0,2.1514014071484338e-07,-2.927559226242514e-08,0.0
12,780.0,780,1.857960973729476e-07,1.85796096768949e-07,2.612051965182079e-06,0.0,2.150748630705881e-07,-2.927876685654268e-08,0.0
13,840.0,840,1.857282372430421e-07,1.8572823663793438e-07,2.6146108015891894e-06,0.0,2.1501014576003593e-07,-2.92819096781391e-08,0.0
14,900.0,900,1.8566096515479944e-07,1.8566096454860115e-07,2.6171686686532695e-06,0.0,2.149459849705736e-07,-2.928502097914355e-08,0.0
15,960.0,960,1.8559427711001747e-07,1.8559427650274718e-07,2.619725574784985e-06,0.0,2.1488237695222421e-07,-2.92881010077565e-08,0.0
16,1020.0,1020,1.8552816917564932e-07,1.8552816856730709e-07,2.6222815283377965e-06,0.0,2.1481931801643593e-07,-2.929115000850936e-08,0.0
17,1080.0,1080,1.854626374826448e-07,1.8546263687323676e-07,2.624836537608553e-06,0.0,2.147568045350844e-07,-2.929416822233692e-08,0.0
