,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,2.1939136521648421e-07,2.193913652406161e-07,-1.0984797779402607e-14,0.0,2.512966351360719e-07,3.190526984851325e-08,125.6850657187788
1,120.0,120,2.2448801261738538e-07,2.2448801264201252e-07,3.028256516761873e-09,0.0,2.5629713970875824e-07,3.180912701903863e-08,0.19726027397260273
2,180.0,180,2.2979556677825942e-07,2.29795566804123e-07,6.128967042276722e-09,0.0,2.6150850118149765e-07,3.1712934327911706e-08,0.04323985936321764
3,240.0,240,2.3532159851275218e-07,2.3532159853890766e-07,9.305108563957833e-09,0.0,2.66938281171829e-07,3.1616682582137934e-08,0.023148148148148147
4,300.0,300,2.4107382240029477e-07,2.410738224255319e-07,1.2559776329778091e-08,0.0,2.725941847435272e-07,3.152036226765296e-08,0.009341992564003648
5,360.0,360,2.4706007464257936e-07,2.470600746696138e-07,1.589617490130776e-08,0.0,2.784840382538859e-07,3.142396353109704e-08,0.12
6,420.0,420,2.5328828567069756e-07,2.5328828569776805e-07,1.9317619877708e-08,0.0,2.846157619112281e-07,3.132747616002869e-08,0.0
7,480.0,480,2.5976644652589097e-07,2.597664465541487e-07,2.2827539231295802e-08,0.0,2.9099733617082465e-07,3.1230889561410014e-08,0.0
8,540.0,540,2.665025681451657e-07,2.6650256817299706e-07,2.6429474167542492e-08,0.0,2.97636760967339e-07,3.113419273818727e-08,0.0
9,600.0,600,2.735046322825828e-07,2.735046323126608e-07,3.012707940740517e-08,0.0,3.045420066345075e-07,3.1037374263692575e-08,0.0
10,660.0,660,2.80780532851792e-07,2.807805328816994e-07,3.392412277576862e-08,0.0,3.1172095519458386e-07,3.094042225365056e-08,0.0
11,720.0,720,2.883380060808606e-07,2.8833800611392966e-07,3.782448395720798e-08,0.0,3.191813305097785e-07,3.0843324335482226e-08,0.0
