,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,9.931487320010645e-08,9.931487327435338e-08,4.3223128198079645e-06,0.0,1.137437435181154e-07,-1.442887015519031e-08,5.665046251788804e-07
1,120.0,120,9.917510300559569e-08,9.917510307825842e-08,4.3236837149918195e-06,0.0,1.1360489515622588e-07,-1.4429791991004221e-08,0.06575342465753424
2,180.0,180,9.903929442236349e-08,9.903929449349888e-08,4.325052627622362e-06,0.0,1.1346999525345092e-07,-1.4430700674547501e-08,0.04323985936321764
3,240.0,240,9.89073945736198e-08,9.89073946432814e-08,4.326419613861943e-06,0.0,1.1333899083796485e-07,-1.4431596110785108e-08,0.023148148148148147
4,300.0,300,9.87793525621638e-08,9.877935263040011e-08,4.327784729123093e-06,0.0,1.1321183090150671e-07,-1.4432478188659054e-08,0.009341992564003648
5,360.0,360,9.865511512115268e-08,9.865511518801056e-08,4.329148028097644e-06,0.0,1.130884620626807e-07,-1.4433346793620279e-08,0.12
6,420.0,420,9.853462489463697e-08,9.853462496017327e-08,4.330509564723168e-06,0.0,1.1296882685104618e-07,-1.443420181118016e-08,0.0
7,480.0,480,9.841782006232426e-08,9.841782012658249e-08,4.331869392124458e-06,0.0,1.128528633353795e-07,-1.4435043130406802e-08,0.0
8,540.0,540,9.830463452834079e-08,9.830463459136779e-08,4.333227562550906e-06,0.0,1.1274050532104909e-07,-1.4435870652541981e-08,0.0
9,600.0,600,9.819499888073032e-08,9.819499894257126e-08,4.3345841273153644e-06,0.0,1.1263168330298349e-07,-1.4436684284484907e-08,0.0
10,660.0,660,9.808884106295201e-08,9.808884112364871e-08,4.33593913674784e-06,0.0,1.1252632514517057e-07,-1.4437483946754036e-08,0.0
11,720.0,720,9.798608732753774e-08,9.798608738713703e-08,4.3372926401572774e-06,0.0,1.1242435703199452e-07,-1.4438269571218232e-08,0.0
12,780.0,780,9.788666312129384e-08,9.788666317983587e-08,4.338644685807836e-06,0.0,1.1232570435121781e-07,-1.4439041098816451e-08,0.0
13,840.0,840,9.779049369129951e-08,9.779049374883114e-08,4.3399953209081946e-06,0.0,1.1223029230397598e-07,-1.4439798483605442e-08,0.0
14,900.0,900,9.769750482498565e-08,9.7697504881547e-08,4.3413445916073115e-06,0.0,1.1213804664016405e-07,-1.4440541688073637e-08,0.0
15,960.0,960,9.760762325618512e-08,9.760762331181971e-08,4.342692543002891e-06,0.0,1.1204889406793473e-07,-1.4441270686525769e-08,0.0
16,1020.0,1020,9.752077719421611e-08,9.752077724895237e-08,4.3440392191553496e-06,0.0,1.1196276277817284e-07,-1.44419854605331e-08,0.0
17,1080.0,1080,9.74368965985888e-08,9.743689665248025e-08,4.345384663107198e-06,0.0,1.118795827205387e-07,-1.444268600024139e-08,0.0
18,1140.0,1140,9.73559134388086e-08,9.735591349188538e-08,4.346728916909002e-06,0.0,1.1179928586239313e-07,-1.4443372303516681e-08,0.0
19,1200.0,1200,9.727776187766072e-08,9.72777619299663e-08,4.348072021647648e-06,0.0,1.11721806371739e-07,-1.4444044375569963e-08,0.0
20,1260.0,1260,9.720237847537033e-08,9.720237852694152e-08,4.349414017477017e-06,0.0,1.1164708081820636e-07,-1.444470222581593e-08,0.0
