,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,c"
0,60.0,60,5.927742248097414e-09,5.9277422498755366e-09,-5.932824096194965e-16,0.0,1.379401666930467e-08,7.866274416553345e-09,9.536018363144692e-08
1,120.0,120,5.927744042129223e-09,5.9277440439528354e-09,6.428947748062909e-11,0.0,1.3794015768375106e-08,7.866271721461455e-09,0.0
2,180.0,180,5.927747630414155e-09,5.927747632225305e-09,1.2857992150458688e-10,0.0,1.3794013966526534e-08,7.866266331283934e-09,0.03397260273972603
3,240.0,240,5.9277530129755365e-09,5.9277530147768645e-09,1.9287021221567917e-10,0.0,1.3794011263798983e-08,7.866258246032696e-09,0.023148148148148147
4,300.0,300,5.9277601897592235e-09,5.92776019153489e-09,2.5716059943031136e-10,0.0,1.3794007660239845e-08,7.866247465726154e-09,0.12
5,360.0,360,5.927769160689213e-09,5.927769162522095e-09,3.214511153190901e-10,0.0,1.3794003155917635e-08,7.86623399038776e-09,0.0
6,420.0,420,5.927779926113958e-09,5.927779927918355e-09,3.857417920477626e-10,0.0,1.3793997750914123e-08,7.866217820046495e-09,0.0
7,480.0,480,5.927792485780469e-09,5.927792487614825e-09,4.5003266179011817e-10,0.0,1.379399144533171e-08,7.866198954737836e-09,0.0
8,540.0,540,5.927806839996681e-09,5.927806841820846e-09,5.143237567150389e-10,0.0,1.3793984239287528e-08,7.86617739450513e-09,0.0
9,600.0,600,5.9278229887065445e-09,5.927822990513275e-09,5.786151089944148e-10,0.0,1.3793976132914183e-08,7.866153139395401e-09,0.0
10,660.0,660,5.9278409321698654e-09,5.927840933945839e-09,6.42906750801571e-10,0.0,1.3793967126361467e-08,7.866126189461444e-09,0.0
11,720.0,720,5.927860670285594e-09,5.927860672100612e-09,7.071987143102547e-10,0.0,1.3793957219801277e-08,7.866096544763915e-09,0.0
12,780.0,780,5.9278822032549705e-09,5.927882205061762e-09,7.71491031693814e-10,0.0,1.3793946413414097e-08,7.866064205367762e-09,0.0
13,840.0,840,5.927905531280521e-09,5.927905533056126e-09,8.357837351320124e-10,0.0,1.3793934707402767e-08,7.86602917134408e-09,0.0
14,900.0,900,5.9279306544935615e-09,5.927930656262659e-09,9.000768568054423e-10,0.0,1.3793922101985342e-08,7.865991442770586e-09,0.0
15,960.0,960,5.927957572943635e-09,5.92795757475147e-09,9.643704288899225e-10,0.0,1.3793908597393883e-08,7.865951019730527e-09,0.0
16,1020.0,1020,5.927986286743637e-09,5.927986288574372e-09,1.0286644835715245e-09,0.0,1.3793894193881565e-08,7.865907902313903e-09,0.0
17,1080.0,1080,5.928016796404832e-09,5.928016798170185e-09,1.092959053029613e-09,0.0,1.379387889171826e-08,7.865862090614395e-09,0.0
18,1140.0,1140,5.928049101655565e-09,5.928049103436696e-09,1.1572541694552468e-09,0.0,1.3793862691185385e-08,7.865813584735508e-09,0.0
19,1200.0,1200,5.928083203044424e-09,5.9280832048552055e-09,1.2215498650366773e-09,0.0,1.3793845592585227e-08,7.865762384782712e-09,0.0
20,1260.0,1260,5.928119100645078e-09,5.928119102392013e-09,1.2858461719656235e-09,0.0,1.3793827596238001e-08,7.865708490869581e-09,0.0
21,1320.0,1320,5.928156794524134e-09,5.9281567963572626e-09,1.35014312243603e-09,0.0,1.3793808702477427e-08,7.865651903115209e-09,0.0
22,1380.0,1380,5.9281962852441806e-09,5.9281962870182505e-09,1.4144407486437755e-09,0.0,1.379378891165294e-08,7.865592621645575e-09,0.0
23,1440.0,1440,5.928237572813687e-09,5.928237574590643e-09,1.4787390827909085e-09,0.0,1.3793768224137798e-08,7.865530646589595e-09,0.0
24,1500.0,1500,5.928280657466061e-09,5.928280659224231e-09,1.5430381570762079e-09,0.0,1.3793746640312377e-08,7.865465978085523e-09,0.0
