,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,4.973496497815992e-09,4.973496371898979e-09,3.430428589650893e-07,0.0,8.36879485323232e-09,-3.3952986065139146e-09,7.392090617178794e-08
1,120.0,120,4.973524903617068e-09,4.9735247776998736e-09,3.4310481716581633e-07,0.0,8.368820015333825e-09,-3.395295362814935e-09,0.0
2,180.0,180,4.973553969635765e-09,4.973553843718207e-09,3.431667757763927e-07,0.0,8.368845726463183e-09,-3.3952920079261856e-09,0.04323985936321764
3,240.0,240,4.973583695813538e-09,4.973583569896343e-09,3.4322873480647304e-07,0.0,8.368871986547688e-09,-3.3952885418321003e-09,0.023148148148148147
4,300.0,300,4.973614079796432e-09,4.97361395387969e-09,3.4329069426572374e-07,0.0,8.368898793838257e-09,-3.395284965138686e-09,0.009341992564003648
5,360.0,360,4.973645125166299e-09,4.9736449992497395e-09,3.4335265416373566e-07,0.0,8.368926150912313e-09,-3.3952812768423755e-09,0.12
6,420.0,420,4.973676829391554e-09,4.973676703476174e-09,3.4341461451022156e-07,0.0,8.36895405590913e-09,-3.3952774776122135e-09,0.0
7,480.0,480,4.973709195531776e-09,4.973709069617667e-09,3.434765753147839e-07,0.0,8.368982511029358e-09,-3.3952735665898602e-09,0.0
8,540.0,540,4.973742221885534e-09,4.973742095972424e-09,3.435385365871064e-07,0.0,8.369011515018052e-09,-3.3952695442224353e-09,0.0
9,600.0,600,4.97377590953568e-09,4.9737757836238414e-09,3.4360049833685546e-07,0.0,8.369041068647092e-09,-3.395265410198652e-09,0.0
10,660.0,660,4.9738102581779644e-09,4.9738101322681216e-09,3.436624605736742e-07,0.0,8.369071171687748e-09,-3.3952611645933483e-09,0.0
11,720.0,720,4.973845269610301e-09,4.9738451437021825e-09,3.4372442330726376e-07,0.0,8.369101825434995e-09,-3.395256806904491e-09,0.0
12,780.0,780,4.973880942645093e-09,4.973880816739244e-09,3.437863865472963e-07,0.0,8.36913302901683e-09,-3.3952523374470873e-09,0.0
13,840.0,840,4.973917278786443e-09,4.973917152883045e-09,3.438483503034614e-07,0.0,8.369164783530359e-09,-3.3952477558141826e-09,0.0
14,900.0,900,4.973954278890194e-09,4.973954152989519e-09,3.4391031458543703e-07,0.0,8.369197089594068e-09,-3.3952430617690113e-09,0.0
15,960.0,960,4.973991939389199e-09,4.973991813491337e-09,3.4397227940295923e-07,0.0,8.369229944619278e-09,-3.395238256289589e-09,0.0
16,1020.0,1020,4.974030268121743e-09,4.974030142226877e-09,3.440342447656595e-07,0.0,8.369263354311157e-09,-3.395233337243251e-09,0.0
17,1080.0,1080,4.97406925732052e-09,4.974069131428649e-09,3.4409621068330866e-07,0.0,8.369297313025986e-09,-3.395228306752814e-09,0.0
18,1140.0,1140,4.974108912852446e-09,4.9741087869643874e-09,3.44158177165579e-07,0.0,8.369331825045252e-09,-3.3952231632327573e-09,0.0
19,1200.0,1200,4.974149233536731e-09,4.974149107652121e-09,3.442201442222181e-07,0.0,8.369366889524277e-09,-3.3952179070201896e-09,0.0
20,1260.0,1260,4.974190217911024e-09,4.974190092030681e-09,3.4428211186295033e-07,0.0,8.369402505410433e-09,-3.395212538523927e-09,0.0
21,1320.0,1320,4.974231869199287e-09,4.974231743323028e-09,3.4434408009748285e-07,0.0,8.369438675069201e-09,-3.3952070568863102e-09,0.0
22,1380.0,1380,4.974274187817049e-09,4.974274061945056e-09,3.444060489355632e-07,0.0,8.369475398827618e-09,-3.395201462018251e-09,0.0
23,1440.0,1440,4.974317171121807e-09,4.974317045254716e-09,3.444680183869449e-07,0.0,8.369512674780752e-09,-3.395195754657052e-09,0.0
24,1500.0,1500,4.974360820340097e-09,4.974360694477816e-09,3.4452998846136983e-07,0.0,8.369550503852796e-09,-3.395189934501002e-09,0.0
25,1560.0,1560,4.9744051394767486e-09,4.97440501361946e-09,3.4459195916857396e-07,0.0,8.369588888979067e-09,-3.395184000480456e-09,0.0
