,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,3.3763076733097176e-08,3.3763076736886093e-08,-3.4898505723814046e-15,0.0,4.449468957243657e-08,1.0731612828339585e-08,104.26572728021372
1,120.0,120,3.413599924112212e-08,3.4135999244866576e-08,4.514738626605373e-10,0.0,4.485137843621583e-08,1.0715379184071311e-08,0.03287671232876712
2,180.0,180,3.451647895720278e-08,3.4516478961079915e-08,9.082748976904046e-10,0.0,4.521560553469728e-08,1.0699126566375164e-08,0.04323985936321764
3,240.0,240,3.490472925408169e-08,3.490472925808298e-08,1.3705067238371853e-09,0.0,4.558758321028485e-08,1.068285394504807e-08,0.023148148148148147
4,300.0,300,3.530097031750622e-08,3.5300970321376956e-08,1.8382794749080002e-09,0.0,4.596753060298296e-08,1.0666560274131519e-08,0.009341992564003648
5,360.0,360,3.570542939131067e-08,3.5705429395291684e-08,2.3117064066655067e-09,0.0,4.635567389390456e-08,1.0650244491075601e-08,0.12
6,420.0,420,3.611834102892546e-08,3.611834103300216e-08,2.7909039968385777e-09,0.0,4.675224655657463e-08,1.0633905515873504e-08,0.0
7,480.0,480,3.653994735395358e-08,3.653994735808009e-08,3.2759920486936686e-09,0.0,4.71574896159667e-08,1.0617542250181249e-08,0.0
8,540.0,540,3.697049832703821e-08,3.6970498331087874e-08,3.76709379836586e-09,0.0,4.7571651915372606e-08,1.0601153576425868e-08,0.0
9,600.0,600,3.7410252021955534e-08,3.7410252025965355e-08,4.264336025911453e-09,0.0,4.799499039090198e-08,1.0584738356876768e-08,0.0
10,660.0,660,3.7859474908599213e-08,3.785947491287442e-08,4.767849170305397e-09,0.0,4.842777035361577e-08,1.0568295432711382e-08,0.0
11,720.0,720,3.831844214360316e-08,3.831844214782785e-08,5.277767448431969e-09,0.0,4.887026577910605e-08,1.0551823623044571e-08,0.0
12,780.0,780,3.8787437867635706e-08,3.8787437871953595e-08,5.794228978203232e-09,0.0,4.932275960411711e-08,1.0535321723938067e-08,0.0
13,840.0,840,3.926675551003328e-08,3.9266755514400265e-08,6.317375905895221e-09,0.0,4.978554403008492e-08,1.0518788507384687e-08,0.0
14,900.0,900,3.975669809986009e-08,3.975669810425482e-08,6.847354537800315e-09,0.0,5.025892083295884e-08,1.0502222720251622e-08,0.0
15,960.0,960,4.025757858246238e-08,4.025757858692684e-08,7.384315476274167e-09,0.0,5.074320167882601e-08,1.0485623083202919e-08,0.0
16,1020.0,1020,4.0769720141687467e-08,4.076972014631627e-08,7.928413760314772e-09,0.0,5.1238708444662604e-08,1.046898828958569e-08,0.0
17,1080.0,1080,4.129345652559175e-08,4.1293456530299526e-08,8.479809010637279e-09,0.0,5.1745773543297675e-08,1.0452317004277702e-08,0.0
18,1140.0,1140,4.182913237548626e-08,4.182913238027798e-08,9.038665579437114e-09,0.0,5.2264740251652584e-08,1.043560786249443e-08,0.0
19,1200.0,1200,4.237710355869957e-08,4.2377103563481335e-08,9.605152704773188e-09,0.0,5.2795963040980384e-08,1.0418859468556445e-08,0.0
20,1260.0,1260,4.2937737499230554e-08,4.293773750402228e-08,1.0179444669682438e-08,0.0,5.33398079077348e-08,1.0402070394616234e-08,0.0
21,1320.0,1320,4.3511413510013984e-08,4.351141351496152e-08,1.0761720965980547e-08,0.0,5.389665270344462e-08,1.0385239179326168e-08,0.0
22,1380.0,1380,4.409852312077579e-08,4.409852312577384e-08,1.1352166462791419e-08,0.0,5.446688746157436e-08,1.036836432646714e-08,0.0
23,1440.0,1440,4.469947040106951e-08,4.4699470406128746e-08,1.1950971579681881e-08,0.0,5.505091471926293e-08,1.0351444303512304e-08,0.0
24,1500.0,1500,4.531467227669118e-08,4.5314672281761097e-08,1.255833246440796e-08,0.0,5.564914983146899e-08,1.0334477540134755e-08,0.0
25,1560.0,1560,4.5944558832993234e-08,4.594455883799271e-08,1.3174451175167199e-08,0.0,5.6262021274503964e-08,1.0317462426650685e-08,0.0
26,1620.0,1620,4.658957360855089e-08,4.6589573613738906e-08,1.3799535867096508e-08,0.0,5.688997093603796e-08,1.0300397312391523e-08,0.0
27,1680.0,1680,4.725017386823664e-08,4.7250173873502206e-08,1.4433800982957679e-08,0.0,5.753345438772669e-08,1.0283280503998214e-08,0.0
28,1740.0,1740,4.7926830857514777e-08,4.792683086279813e-08,1.5077467447770316e-08,0.0,5.819294113690279e-08,1.0266110263641119e-08,0.0
29,1800.0,1800,4.8620030029647593e-08,4.862003003525964e-08,1.57307628668847e-08,0.0,5.8868914852777414e-08,1.0248884807134806e-08,0.0
30,1860.0,1860,4.933027124470115e-08,4.933027125035589e-08,1.6393921727444074e-08,0.0,5.9561873562869074e-08,1.0231602301972625e-08,0.0
31,1920.0,1920,5.005806893333914e-08,5.0058068938927e-08,1.70671856025932e-08,0.0,6.027232981484948e-08,1.0214260865241226e-08,0.0
32,1980.0,1980,5.080395222069209e-08,5.080395222639734e-08,1.7750803358017498e-08,0.0,6.100081079894502e-08,1.019685856141696e-08,0.0
33,2040.0,2040,5.156846500939691e-08,5.156846501515908e-08,1.84450313602557e-08,0.0,6.174785842628988e-08,1.0179393400035116e-08,0.0
34,2100.0,2100,5.235216600868663e-08,5.235216601449931e-08,1.9150133686186405e-08,0.0,6.251402935889937e-08,1.0161863333212784e-08,0.0
