,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,35.69017450888925,35.69017450888925,504.2352106531689,0.0,35.69017510484649,-5.959572374871266e-07,564.908507011683
1,120.0,120,35.69017450835154,35.69017450835154,504.7408214572217,0.0,35.69017510411046,-5.957589177345357e-07,0.6246575342465753
2,180.0,180,35.69017450787006,35.69017450787006,505.2464322612674,0.0,35.69017510343774,-5.955676716614803e-07,0.04323985936321764
3,240.0,240,35.69017450744529,35.69017450744529,505.7520430653067,0.0,35.69017510282887,-5.953835715671871e-07,0.023148148148148147
4,300.0,300,35.69017450707766,35.690174507077664,506.25765386934046,0.0,35.69017510228435,-5.952066902503549e-07,0.009341992564003648
5,360.0,360,35.69017450676755,35.69017450676755,506.7632646733695,0.0,35.690175101804655,-5.950371010720426e-07,0.12
6,420.0,420,35.69017450651527,35.69017450651527,507.2688754773945,0.0,35.690175101390146,-5.948748780208346e-07,0.0
7,480.0,480,35.690174506321064,35.690174506321064,507.7744862814163,0.0,35.69017510104116,-5.94720095780411e-07,0.0
8,540.0,540,35.69017450618511,35.69017450618511,508.2800970854358,0.0,35.69017510075794,-5.945728297987961e-07,0.0
9,600.0,600,35.69017450610752,35.69017450610752,508.7857078894537,0.0,35.69017510054068,-5.944331563602518e-07,0.0
10,660.0,660,35.69017450608832,35.69017450608832,509.2913186934709,0.0,35.690175100389474,-5.943011526585604e-07,0.0
11,720.0,720,35.69017450612744,35.69017450612744,509.7969294974882,0.0,35.690175100304344,-5.9417689687218e-07,0.0
12,780.0,780,35.69017450622476,35.69017450622476,510.30254030150616,0.0,35.690175100285224,-5.940604682406811e-07,0.0
13,840.0,840,35.69017450638002,35.69017450638002,510.808151105526,0.0,35.69017510033196,-5.93951947142504e-07,0.0
14,900.0,900,35.69017450659289,35.690174506592896,511.3137619095482,0.0,35.690175100444314,-5.938514151734695e-07,0.0
15,960.0,960,35.690174506862945,35.690174506862945,511.8193727135737,0.0,35.6901751006219,-5.937589552259511e-07,0.0
16,1020.0,1020,35.690174507189624,35.690174507189624,512.3249835176033,0.0,35.69017510086427,-5.936746515682867e-07,0.0
17,1080.0,1080,35.690174507572266,35.690174507572266,512.8305943216378,0.0,35.69017510117086,-5.935985899237445e-07,0.0
18,1140.0,1140,35.690174508010095,35.690174508010095,513.3362051256778,0.0,35.69017510154095,-5.935308575487431e-07,0.0
19,1200.0,1200,35.69017450850219,35.69017450850219,513.8418159297242,0.0,35.690175101973736,-5.934715433104267e-07,0.0
20,1260.0,1260,35.690174509047495,35.690174509047495,514.3474267337776,0.0,35.69017510246824,-5.934207377613342e-07,0.0
21,1320.0,1320,35.69017450964484,35.69017450964484,514.853037537839,0.0,35.69017510302338,-5.933785332126058e-07,0.0
22,1380.0,1380,35.69017451029289,35.69017451029289,515.3586483419089,0.0,35.69017510363791,-5.933450238032841e-07,0.0
23,1440.0,1440,35.69017451099013,35.69017451099013,515.8642591459881,0.0,35.690175104310434,-5.933203055658533e-07,0.0
24,1500.0,1500,35.69017451173493,35.69017451173493,516.3698699500773,0.0,35.69017510503941,-5.933044764867153e-07,0.0
25,1560.0,1560,35.69017451252544,35.69017451252544,516.8754807541769,0.0,35.69017510582308,-5.93297636560792e-07,0.0
26,1620.0,1620,35.690174513359665,35.690174513359665,517.3810915582877,0.0,35.69017510665956,-5.932998878390457e-07,0.0
27,1680.0,1680,35.69017451423541,35.69017451423541,517.8867023624106,0.0,35.69017510754674,-5.93311334467612e-07,0.0
28,1740.0,1740,35.69017451515028,35.69017451515028,518.3923131665456,0.0,35.690175108482364,-5.933320827177662e-07,0.0
29,1800.0,1800,35.69017451610168,35.69017451610168,518.8979239706937,0.0,35.69017510946392,-5.933622410044074e-07,0.0
30,1860.0,1860,35.69017451708679,35.69017451708679,519.4035347748551,0.0,35.6901751104887,-5.934019198921376e-07,0.0
31,1920.0,1920,35.690174518102566,35.690174518102566,519.9091455790303,0.0,35.6901751115538,-5.934512320872463e-07,0.0
32,1980.0,1980,35.69017451914574,35.69017451914574,520.4147563832199,0.0,35.69017511265603,-5.93510292413044e-07,0.0
33,2040.0,2040,35.69017452021279,35.69017452021279,520.9203671874242,0.0,35.69017511379201,-5.935792177671806e-07,0.0
34,2100.0,2100,35.69017452129994,35.69017452129994,521.4259779916432,0.0,35.69017511495807,-5.936581270584755e-07,0.0
35,2160.0,2160,35.69017452240315,35.69017452240315,521.9315887958776,0.0,35.690175116150286,-5.937471411206657e-07,0.0
36,2220.0,2220,35.69017452351809,35.69017452351809,522.4371996001273,0.0,35.69017511736447,-5.938463826007983e-07,0.0
37,2280.0,2280,35.69017452464015,35.69017452464015,522.9428104043926,0.0,35.69017511859612,-5.939559758188266e-07,0.0
38,2340.0,2340,35.69017452576442,35.69017452576442,523.4484212086735,0.0,35.69017511984047,-5.940760465961966e-07,0.0
39,2400.0,2400,35.69017452688567,35.69017452688567,523.9540320129701,0.0,35.690175121092395,-5.942067220494322e-07,0.0
40,2460.0,2460,35.69017452799836,35.69017452799836,524.4596428172822,0.0,35.69017512234649,-5.943481303450899e-07,0.0
41,2520.0,2520,35.690174529096595,35.690174529096595,524.9652536216097,0.0,35.690175123596994,-5.945004004129678e-07,0.0
42,2580.0,2580,35.69017453017413,35.69017453017413,525.4708644259523,0.0,35.69017512483779,-5.946636616127636e-07,0.0
43,2640.0,2640,35.69017453122438,35.690174531224386,525.9764752303097,0.0,35.69017512606243,-5.948380433501132e-07,0.0
44,2700.0,2700,35.69017453224037,35.69017453224037,526.4820860346817,0.0,35.69017512726405,-5.950236746373852e-07,0.0
45,2760.0,2760,35.690174533214744,35.690174533214744,526.9876968390677,0.0,35.69017512843543,-5.952206835940355e-07,0.0
46,2820.0,2820,35.69017453413974,35.69017453413974,527.4933076434669,0.0,35.690175129568935,-5.954291968816382e-07,0.0
47,2880.0,2880,35.690174535007195,35.6901745350072,527.9989184478787,0.0,35.69017513065654,-5.956493390677875e-07,0.0
48,2940.0,2940,35.69017453580854,35.69017453580854,528.5045292523023,0.0,35.69017513168976,-5.958812319132003e-07,0.0
49,3000.0,3000,35.690174536534734,35.690174536534734,529.0101400567365,0.0,35.69017513265973,-5.961249935760516e-07,0.0
50,3060.0,3060,35.69017453717635,35.69017453717635,529.5157508611804,0.0,35.69017513355709,-5.963807377269209e-07,0.0
51,3120.0,3120,35.69017453772348,35.69017453772348,530.021361665633,0.0,35.69017513437205,-5.966485725685425e-07,0.0
52,3180.0,3180,35.69017453816576,35.69017453816576,530.5269724700925,0.0,35.690175135094364,-5.969285997530597e-07,0.0
53,3240.0,3240,35.6901745384924,35.6901745384924,531.0325832745576,0.0,35.69017513571331,-5.972209131906408e-07,0.0
54,3300.0,3300,35.69017453869211,35.69017453869211,531.5381940790267,0.0,35.69017513621771,-5.975255977424767e-07,0.0
55,3360.0,3360,35.69017453875316,35.69017453875316,532.0438048834976,0.0,35.69017513659589,-5.978427277915518e-07,0.0
56,3420.0,3420,35.69017453866336,35.69017453866336,532.5494156879688,0.0,35.69017513683573,-5.981723656854469e-07,0.0
57,3480.0,3480,35.690174538410055,35.690174538410055,533.0550264924378,0.0,35.690175136924616,-5.98514560044547e-07,0.0
58,3540.0,3540,35.69017453798016,35.69017453798017,533.5606372969023,0.0,35.690175136849504,-5.988693439304924e-07,0.0
