,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,8.056693127200651e-08,8.056693095447502e-08,1.9448621850581714e-06,0.0,9.946717213949982e-08,-1.8900241486646022e-08,2.510315091405471e-06
1,120.0,120,8.05523595787804e-08,8.055235926090223e-08,1.945956262433041e-06,0.0,9.945368368519697e-08,-1.890132472627111e-08,0.09863013698630137
2,180.0,180,8.05378880783393e-08,8.053788776011784e-08,1.947050130626585e-06,0.0,9.944028838246224e-08,-1.8902400924671062e-08,0.04323985936321764
3,240.0,240,8.052351645791626e-08,8.052351613935744e-08,1.9481437910764695e-06,0.0,9.942698593115419e-08,-1.8903470094478566e-08,0.023148148148148147
4,300.0,300,8.050924440853579e-08,8.050924408964132e-08,1.9492372452154503e-06,0.0,9.941377603478125e-08,-1.8904532248169492e-08,0.009341992564003648
5,360.0,360,8.049507162497827e-08,8.049507130575068e-08,1.9503304944721604e-06,0.0,9.940065840042886e-08,-1.890558739804977e-08,0.12
6,420.0,420,8.048099780574347e-08,8.048099748618615e-08,1.951423540270676e-06,0.0,9.938763273873745e-08,-1.8906635556260454e-08,0.0
7,480.0,480,8.046702265300396e-08,8.046702233311945e-08,1.952516384030951e-06,0.0,9.937469876385322e-08,-1.8907676734781556e-08,0.0
8,540.0,540,8.045314587256781e-08,8.045314555236119e-08,1.953609027168599e-06,0.0,9.936185619341805e-08,-1.8908710945434155e-08,0.0
9,600.0,600,8.043936717385738e-08,8.04393668533329e-08,1.9547014710950016e-06,0.0,9.93491047485016e-08,-1.890973819987997e-08,0.0
10,660.0,660,8.042568626986103e-08,8.042568594901953e-08,1.955793717217527e-06,0.0,9.933644415360309e-08,-1.891075850961968e-08,0.0
11,720.0,720,8.041210287710512e-08,8.041210255595171e-08,1.956885766939284e-06,0.0,9.93238741365936e-08,-1.891177188600032e-08,0.0
12,780.0,780,8.039861671560237e-08,8.039861639413956e-08,1.9579776216594763e-06,0.0,9.931139442867539e-08,-1.8912778340216362e-08,0.0
13,840.0,840,8.038522750884412e-08,8.038522718707616e-08,1.959069282773157e-06,0.0,9.929900476438873e-08,-1.89137778833063e-08,0.0
