,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,2.14747344175737e-09,2.147473463912329e-09,5.0069464463510966e-08,0.0,2.921584291393695e-09,-7.741108043018763e-10,6.946973359792479e-08
1,120.0,120,2.147028546372482e-09,2.1470285685635978e-09,5.009795073092167e-08,0.0,2.921198888453789e-09,-7.741702966749797e-10,0.03287671232876712
2,180.0,180,2.146585802265363e-09,2.1465858244924714e-09,5.012643054492294e-08,0.0,2.920815319971667e-09,-7.742294722281799e-10,0.04323985936321764
3,240.0,240,2.146145202773243e-09,2.146145225036202e-09,5.015490393678713e-08,0.0,2.920433580016053e-09,-7.742883316934535e-10,0.023148148148148147
4,300.0,300,2.14570674130571e-09,2.1457067636042853e-09,5.0183370937702404e-08,0.0,2.9200536627213115e-09,-7.743468757953653e-10,0.009341992564003648
5,360.0,360,2.1452704113431626e-09,2.1452704336770486e-09,5.021183157874942e-08,0.0,2.919675562284536e-09,-7.744051052507153e-10,0.12
6,420.0,420,2.144836206436339e-09,2.144836228805395e-09,5.0240285890926115e-08,0.0,2.9192992729658754e-09,-7.74463020768903e-10,0.0
7,480.0,480,2.1444041202042966e-09,2.1444041426083817e-09,5.026873390512521e-08,0.0,2.918924789086563e-09,-7.745206230520096e-10,0.0
8,540.0,540,2.1439741463356106e-09,2.1439741687743956e-09,5.0297175652158965e-08,0.0,2.918552105029995e-09,-7.745779127948922e-10,0.0
9,600.0,600,2.1435462785852015e-09,2.143546301058569e-09,5.032561116274416e-08,0.0,2.9181812152387252e-09,-7.746348906852658e-10,0.0
10,660.0,660,2.1431205107748055e-09,2.1431205332824736e-09,5.0354040467501354e-08,0.0,2.917812114215074e-09,-7.746915574037973e-10,0.0
11,720.0,720,2.142696836791659e-09,2.1426968593334162e-09,5.0382463596974415e-08,0.0,2.917444796520332e-09,-7.747479136243406e-10,0.0
12,780.0,780,2.142275250587629e-09,2.142275273163311e-09,5.041088058160648e-08,0.0,2.91707925677316e-09,-7.7480396001376e-10,0.0
13,840.0,840,2.1418557461782504e-09,2.1418557687877634e-09,5.043929145176174e-08,0.0,2.916715489649731e-09,-7.748596972323652e-10,0.0
14,900.0,900,2.1414383176427726e-09,2.1414383402857397e-09,5.046769623771417e-08,0.0,2.916353489882368e-09,-7.749151259338527e-10,0.0
15,960.0,960,2.141022959121856e-09,2.1410229817981374e-09,5.049609496965356e-08,0.0,2.915993252259121e-09,-7.749702467652232e-10,0.0
16,1020.0,1020,2.140609664818068e-09,2.1406096875274047e-09,5.0524487677681715e-08,0.0,2.9156347716232486e-09,-7.750250603673218e-10,0.0
17,1080.0,1080,2.1401984289943775e-09,2.140198451736511e-09,5.055287439182377e-08,0.0,2.91527804287214e-09,-7.750795673746508e-10,0.0
18,1140.0,1140,2.139789245973191e-09,2.139789268748004e-09,5.058125514201616e-08,0.0,2.9149230609565145e-09,-7.751337684152631e-10,0.0
19,1200.0,1200,2.1393821101366848e-09,2.139382132943966e-09,5.060962995811485e-08,0.0,2.9145698208807966e-09,-7.751876641114797e-10,0.0
20,1260.0,1260,2.138977015924827e-09,2.1389770387642472e-09,5.063799886989539e-08,0.0,2.9142183177008154e-09,-7.752412550793952e-10,0.0
21,1320.0,1320,2.13857395783524e-09,2.1385739807065648e-09,5.066636190705137e-08,0.0,2.913868546524556e-09,-7.752945419292078e-10,0.0
22,1380.0,1380,2.1381729304222363e-09,2.1381729533252776e-09,5.06947190991982e-08,0.0,2.913520502510984e-09,-7.753475252655004e-10,0.0
23,1440.0,1440,2.1377739282962545e-09,2.1377739512309413e-09,5.072307047587384e-08,0.0,2.9131741808692946e-09,-7.754002056870181e-10,0.0
24,1500.0,1500,2.137376946123436e-09,2.137376969089299e-09,5.075141606653509e-08,0.0,2.912829576858395e-09,-7.754525837868554e-10,0.0
25,1560.0,1560,2.1369819786238394e-09,2.1369820016208315e-09,5.077975590056579e-08,0.0,2.9124866857867168e-09,-7.755046601528094e-10,0.0
26,1620.0,1620,2.136589020571654e-09,2.136589043599563e-09,5.08080900072686e-08,0.0,2.912145503010384e-09,-7.755564353673085e-10,0.0
27,1680.0,1680,2.1361980667949618e-09,2.136198089853413e-09,5.0836418415879274e-08,0.0,2.91180602393448e-09,-7.756079100072723e-10,0.0
28,1740.0,1740,2.1358091121734847e-09,2.1358091352622893e-09,5.086474115554561e-08,0.0,2.9114682440107487e-09,-7.756590846446866e-10,0.0
29,1800.0,1800,2.1354221516390054e-09,2.1354221747579756e-09,5.0893058255351485e-08,0.0,2.9111321587378714e-09,-7.757099598463918e-10,0.0
30,1860.0,1860,2.1350371801753453e-09,2.135037203324176e-09,5.092136974430938e-08,0.0,2.910797763661377e-09,-7.757605361741306e-10,0.0
31,1920.0,1920,2.1346541928158267e-09,2.1346542159942592e-09,5.094967565135132e-08,0.0,2.9104650543717143e-09,-7.758108141850761e-10,0.0
32,1980.0,1980,2.1342731846439078e-09,2.134273207851801e-09,5.097797600534241e-08,0.0,2.9101340265047207e-09,-7.758607944314912e-10,0.0
33,2040.0,2040,2.1338941507926632e-09,2.133894174029759e-09,5.10062708350726e-08,0.0,2.9098046757409663e-09,-7.759104774609401e-10,0.0
34,2100.0,2100,2.133517086443543e-09,2.133517109709536e-09,5.103456016926641e-08,0.0,2.9094769978049998e-09,-7.759598638165702e-10,0.0
35,2160.0,2160,2.133141986825946e-09,2.1331420101205777e-09,5.106284403658073e-08,0.0,2.909150988464976e-09,-7.760089540371709e-10,0.0
36,2220.0,2220,2.132768847216471e-09,2.132768870539577e-09,5.109112246559121e-08,0.0,2.9088266435320402e-09,-7.760577486571146e-10,0.0
37,2280.0,2280,2.1323976629388434e-09,2.1323976862901885e-09,5.111939548482243e-08,0.0,2.908503958860005e-09,-7.761062482066393e-10,0.0
38,2340.0,2340,2.1320284293624844e-09,2.1320284527417162e-09,5.114766312271698e-08,0.0,2.9081829303443576e-09,-7.761544532118593e-10,0.0
39,2400.0,2400,2.1316611419026037e-09,2.1316611653095345e-09,5.117592540765884e-08,0.0,2.9078635539227347e-09,-7.762023641950012e-10,0.0
40,2460.0,2460,2.131295796019308e-09,2.1312958194535615e-09,5.120418236796507e-08,0.0,2.9075458255732753e-09,-7.76249981674462e-10,0.0
41,2520.0,2520,2.1309323872166827e-09,2.130932410678236e-09,5.123243403187754e-08,0.0,2.907229741315138e-09,-7.762973061649148e-10,0.0
42,2580.0,2580,2.130570911042653e-09,2.1305709345311298e-09,5.1260680427587766e-08,0.0,2.906915297207045e-09,-7.763443381772856e-10,0.0
43,2640.0,2640,2.1302113630885606e-09,2.130211386603726e-09,5.128892158321284e-08,0.0,2.906602489348032e-09,-7.763910782193524e-10,0.0
44,2700.0,2700,2.1298537389882454e-09,2.1298537625297944e-09,5.131715752681193e-08,0.0,2.906291313875948e-09,-7.76437526795181e-10,0.0
45,2760.0,2760,2.129498034416851e-09,2.1294980579845713e-09,5.1345388286378106e-08,0.0,2.90598176696717e-09,-7.7648368440583e-10,0.0
46,2820.0,2820,2.1291442450916666e-09,2.1291442686852772e-09,5.137361388983897e-08,0.0,2.9056738448369813e-09,-7.765295515492925e-10,0.0
47,2880.0,2880,2.1287923667706266e-09,2.1287923903898686e-09,5.1401834365065787e-08,0.0,2.9053675437378783e-09,-7.765751287204012e-10,0.0
48,2940.0,2940,2.1284423952514862e-09,2.128442418896031e-09,5.143004973986514e-08,0.0,2.905062859960041e-09,-7.766204164112991e-10,0.0
49,3000.0,3000,2.1280943263722455e-09,2.1280943500418342e-09,5.1458260041981964e-08,0.0,2.9047597898307236e-09,-7.766654151114508e-10,0.0
50,3060.0,3060,2.1277481560097158e-09,2.127748179704137e-09,5.1486465299112355e-08,0.0,2.9044583297137805e-09,-7.76710125307725e-10,0.0
51,3120.0,3120,2.127403880079308e-09,2.1274039037983736e-09,5.151466553887194e-08,0.0,2.904158476008826e-09,-7.767545474843825e-10,0.0
52,3180.0,3180,2.1270614945342572e-09,2.127061518277569e-09,5.154286078883351e-08,0.0,2.9038602251514187e-09,-7.767986821238046e-10,0.0
53,3240.0,3240,2.126720995366025e-09,2.1267210191333698e-09,5.157105107650744e-08,0.0,2.903563573612826e-09,-7.768425297057413e-10,0.0
54,3300.0,3300,2.1263823786019205e-09,2.1263824023929237e-09,5.1599236429343974e-08,0.0,2.9032685178983835e-09,-7.768860907083806e-10,0.0
55,3360.0,3360,2.126045640306258e-09,2.1260456641207783e-09,5.162741687473622e-08,0.0,2.9029750545487587e-09,-7.769293656077016e-10,0.0
56,3420.0,3420,2.125710776579342e-09,2.1257108004170743e-09,5.165559244002315e-08,0.0,2.9026831801384045e-09,-7.769723548782975e-10,0.0
57,3480.0,3480,2.125377783556344e-09,2.1253778074169585e-09,5.16837631524836e-08,0.0,2.9023928912753216e-09,-7.770150589928002e-10,0.0
58,3540.0,3540,2.125046657407414e-09,2.125046681290629e-09,5.1711929039343027e-08,0.0,2.9021041846014826e-09,-7.770574784229833e-10,0.0
59,3600.0,3600,2.124717394336676e-09,2.1247174182422807e-09,5.174009012777125e-08,0.0,2.901817056790906e-09,-7.770996136387415e-10,0.0
60,3660.0,3660,2.1243899905824837e-09,2.1243900145100552e-09,5.176824644488396e-08,0.0,2.901531504551111e-09,-7.771414651094877e-10,0.0
61,3720.0,3720,2.124064442415565e-09,2.1240644663649615e-09,5.179639801773746e-08,0.0,2.9012475246211928e-09,-7.771830333032016e-10,0.0
62,3780.0,3780,2.1237407461401715e-09,2.123740770111042e-09,5.182454487333994e-08,0.0,2.9009651137725736e-09,-7.772243186873815e-10,0.0
63,3840.0,3840,2.123418898091945e-09,2.1234189220839594e-09,5.18526870386432e-08,0.0,2.900684268808016e-09,-7.772653217289616e-10,0.0
64,3900.0,3900,2.123098894638312e-09,2.1230989186512824e-09,5.1880824540545666e-08,0.0,2.900404986561106e-09,-7.773060428941599e-10,0.0
65,3960.0,3960,2.122780732178087e-09,2.122780756211708e-09,5.190895740589689e-08,0.0,2.90012726389677e-09,-7.773464826491471e-10,0.0
66,4020.0,4020,2.1224644071402267e-09,2.12246443119424e-09,5.19370856614863e-08,0.0,2.8998510977101478e-09,-7.773866414600116e-10,0.0
67,4080.0,4080,2.122149915984182e-09,2.1221499400581416e-09,5.1965209334061946e-08,0.0,2.899576484926591e-09,-7.774265197927834e-10,0.0
68,4140.0,4140,2.1218372551982314e-09,2.1218372792920195e-09,5.1993328450311765e-08,0.0,2.899303422500818e-09,-7.77466118113833e-10,0.0
69,4200.0,4200,2.1215264213000425e-09,2.1215264454132834e-09,5.202144303687781e-08,0.0,2.8990319074173387e-09,-7.775054368899537e-10,0.0
70,4260.0,4260,2.1212174108359703e-09,2.1212174349683116e-09,5.204955312034877e-08,0.0,2.898761936689699e-09,-7.77544476588538e-10,0.0
71,4320.0,4320,2.120910220380067e-09,2.1209102445312736e-09,5.207765872726747e-08,0.0,2.8984935073603423e-09,-7.775832376776831e-10,0.0
72,4380.0,4380,2.120604846533873e-09,2.120604870703569e-09,5.21057598841166e-08,0.0,2.8982266164999524e-09,-7.776217206267432e-10,0.0
73,4440.0,4440,2.120301285925641e-09,2.120301310113709e-09,5.213385661734501e-08,0.0,2.8979612612072164e-09,-7.776599259059771e-10,0.0
74,4500.0,4500,2.1199995352108287e-09,2.1199995594168925e-09,5.216194895334366e-08,0.0,2.897697438609061e-09,-7.776978539869942e-10,0.0
75,4560.0,4560,2.1196995910703846e-09,2.119699615293951e-09,5.2190036918450885e-08,0.0,2.897435145859571e-09,-7.777355053431661e-10,0.0
76,4620.0,4620,2.1194014502103487e-09,2.1194014744514415e-09,5.221812053896669e-08,0.0,2.8971743801402724e-09,-7.777728804493915e-10,0.0
77,4680.0,4680,2.1191051093621805e-09,2.1191051336201884e-09,5.224619984113619e-08,0.0,2.8969151386591446e-09,-7.778099797826599e-10,0.0
78,4740.0,4740,2.118810565281702e-09,2.118810589556414e-09,5.2274274851160145e-08,0.0,2.896657418651137e-09,-7.778468038220754e-10,0.0
79,4800.0,4800,2.118517814748653e-09,2.118517839039787e-09,5.2302345595191194e-08,0.0,2.896401217377466e-09,-7.778833530489267e-10,0.0
80,4860.0,4860,2.118226854566007e-09,2.118226878873375e-09,5.233041209933388e-08,0.0,2.896146532125049e-09,-7.779196279472399e-10,0.0
81,4920.0,4920,2.1179376815601137e-09,2.1179377058832695e-09,5.2358474389646866e-08,0.0,2.89589336020707e-09,-7.779556290037073e-10,0.0
82,4980.0,4980,2.11765029257969e-09,2.1176503169183752e-09,5.2386532492146723e-08,0.0,2.8956416989613795e-09,-7.779913567079229e-10,0.0
83,5040.0,5040,2.1173646844951596e-09,2.1173647088489975e-09,5.2414586432798145e-08,0.0,2.895391545751673e-09,-7.780268115526402e-10,0.0
84,5100.0,5100,2.11708085419856e-09,2.117080878567387e-09,5.244263623752224e-08,0.0,2.8951428979660788e-09,-7.78061994034055e-10,0.0
85,5160.0,5160,2.116798798603168e-09,2.116798822986514e-09,5.247068193219873e-08,0.0,2.8948957530172983e-09,-7.780969046518398e-10,0.0
86,5220.0,5220,2.1165185146424406e-09,2.116518539040118e-09,5.249872354265325e-08,0.0,2.894650108342514e-09,-7.781315439095436e-10,0.0
87,5280.0,5280,2.116239999270228e-09,2.11624002368186e-09,5.2526761094679084e-08,0.0,2.894405961402825e-09,-7.781659123144979e-10,0.0
