,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,c"
0,60.0,60,3.0796213898114284e-09,3.0796213910322324e-09,-2.478164109049635e-15,0.0,1.3851256487281691e-08,1.0771635094213956e-08,8.078114048456246e-09
1,120.0,120,3.079615762169303e-09,3.079615763391132e-09,1.67011234063984e-11,0.0,1.3851247521900891e-08,1.077163175645713e-08,0.0
2,180.0,180,3.0796045069861513e-09,3.0796045082173973e-09,3.340476416873965e-11,0.0,1.3851229591265371e-08,1.077162508100964e-08,0.03397260273972603
3,240.0,240,3.0795876243050092e-09,3.0795876255514302e-09,5.010817115044832e-11,0.0,1.3851202695623587e-08,1.0771615068004206e-08,0.023148148148148147
4,300.0,300,3.079565114398484e-09,3.0795651156418795e-09,6.681136401153878e-11,0.0,1.3851166835351441e-08,1.0771601717640292e-08,0.12
5,360.0,360,3.079536977471897e-09,3.0795369787080714e-09,8.35142713815166e-11,0.0,1.3851122010945451e-08,1.0771585030185092e-08,0.0
6,420.0,420,3.079503213791318e-09,3.0795032150215393e-09,1.0021682189214142e-10,0.0,1.3851068223033684e-08,1.0771565005969616e-08,0.0
7,480.0,480,3.079463823688734e-09,3.079463824941449e-09,1.1691894417922722e-10,0.0,1.3851005472364431e-08,1.0771541645390065e-08,0.0
8,540.0,540,3.0794188076555906e-09,3.0794188088391657e-09,1.3362056688221775e-10,0.0,1.3850933759809527e-08,1.0771514948915242e-08,0.0
9,600.0,600,3.079368166026657e-09,3.079368167233409e-09,1.5032161864500462e-10,0.0,1.3850853086370208e-08,1.0771484917075044e-08,0.0
10,660.0,660,3.079311899440392e-09,3.079311900660465e-09,1.670220281167048e-10,0.0,1.3850763453167155e-08,1.0771451550465723e-08,0.0
11,720.0,720,3.07925000843513e-09,3.0792500096637415e-09,1.8372172395314896e-10,0.0,1.3850664861452009e-08,1.077141484975613e-08,0.0
12,780.0,780,3.0791824935808726e-09,3.07918249483471e-09,2.0042063481607316e-10,0.0,1.3850557312594297e-08,1.0771374815672508e-08,0.0
13,840.0,840,3.079109355788929e-09,3.0791093570266647e-09,2.1711868937436484e-10,0.0,1.3850440808095089e-08,1.0771331449014477e-08,0.0
14,900.0,900,3.079030595612565e-09,3.079030596851667e-09,2.3381581630545013e-10,0.0,1.385031534957549e-08,1.0771284750644895e-08,0.0
15,960.0,960,3.07894621404516e-09,3.078946215242153e-09,2.5051194429482437e-10,0.0,1.3850180938780928e-08,1.0771234721493562e-08,0.0
16,1020.0,1020,3.0788562116752568e-09,3.0788562129509045e-09,2.6720700203748846e-10,0.0,1.3850037577584474e-08,1.0771181362557422e-08,0.0
17,1080.0,1080,3.0787605898397873e-09,3.078760591039513e-09,2.839009182381866e-10,0.0,1.3849885267982353e-08,1.0771124674898017e-08,0.0
18,1140.0,1140,3.0786593492015577e-09,3.0786593503915732e-09,3.0059362161293725e-10,0.0,1.384972401209492e-08,1.077106465964618e-08,0.0
19,1200.0,1200,3.0785524909030103e-09,3.078552492109323e-09,3.172850408877311e-10,0.0,1.3849553812167635e-08,1.0771001317996168e-08,0.0
20,1260.0,1260,3.078440016065412e-09,3.0784400172914373e-09,3.3397510480108015e-10,0.0,1.3849374670570088e-08,1.0770934651210553e-08,0.0
21,1320.0,1320,3.078321925926888e-09,3.078321927153206e-09,3.506637421044848e-10,0.0,1.3849186589795803e-08,1.0770864660618266e-08,0.0
22,1380.0,1380,3.0781982215616205e-09,3.0781982228009662e-09,3.673508815617533e-10,0.0,1.3848989572464582e-08,1.077079134761401e-08,0.0
23,1440.0,1440,3.078068904392709e-09,3.0780689055955575e-09,3.840364519515027e-10,0.0,1.3848783621318795e-08,1.0770714713657287e-08,0.0
24,1500.0,1500,3.077933975623588e-09,3.0779339768745463e-09,4.0072038206603043e-10,0.0,1.3848568739222404e-08,1.0770634760278442e-08,0.0
25,1560.0,1560,3.0777934368733603e-09,3.077793438077331e-09,4.174026007128696e-10,0.0,1.3848344929171696e-08,1.0770551489068717e-08,0.0
26,1620.0,1620,3.077647289339019e-09,3.0776472905434777e-09,4.3408303671589895e-10,0.0,1.384811219427792e-08,1.077046490168923e-08,0.0
27,1680.0,1680,3.077495534658111e-09,3.0774955358776467e-09,4.507616189152698e-10,0.0,1.3847870537782501e-08,1.0770374999867057e-08,0.0
28,1740.0,1740,3.0773381743729387e-09,3.0773381755931086e-09,4.674382761677292e-10,0.0,1.3847619963045919e-08,1.0770281785394277e-08,0.0
29,1800.0,1800,3.077175210172476e-09,3.077175211383473e-09,4.841129373485901e-10,0.0,1.3847360473559617e-08,1.0770185260131272e-08,0.0
30,1860.0,1860,3.0770066436590415e-09,3.077006644877065e-09,5.007855313507978e-10,0.0,1.384709207293136e-08,1.0770085426004397e-08,0.0
31,1920.0,1920,3.07683247658104e-09,3.0768324778296562e-09,5.174559870872847e-10,0.0,1.3846814764897726e-08,1.076998228500285e-08,0.0
32,1980.0,1980,3.076652710853943e-09,3.076652712059524e-09,5.341242334895124e-10,0.0,1.3846528553315129e-08,1.0769875839185898e-08,0.0
33,2040.0,2040,3.0764673482118103e-09,3.0764673494401776e-09,5.507901995101981e-10,0.0,1.3846233442168603e-08,1.0769766090677992e-08,0.0
34,2100.0,2100,3.076276390616956e-09,3.076276391838687e-09,5.674538141230092e-10,0.0,1.3845929435562433e-08,1.0769653041671897e-08,0.0
35,2160.0,2160,3.0760798399872913e-09,3.0760798412443486e-09,5.841150063229299e-10,0.0,1.3845616537726396e-08,1.0769536694421856e-08,0.0
36,2220.0,2220,3.0758776985002103e-09,3.075877699712281e-09,6.007737051273101e-10,0.0,1.3845294753011869e-08,1.076941705125413e-08,0.0
37,2280.0,2280,3.0756699680425934e-09,3.0756699692848664e-09,6.174298395761086e-10,0.0,1.384496408589669e-08,1.0769294114556656e-08,0.0
38,2340.0,2340,3.0754566508923958e-09,3.0754566521395484e-09,6.340833387338036e-10,0.0,1.384462454097835e-08,1.0769167886785293e-08,0.0
39,2400.0,2400,3.0752377491984197e-09,3.075237750460454e-09,6.507341316880248e-10,0.0,1.3844276122980604e-08,1.0769038370463421e-08,0.0
40,2460.0,2460,3.075013265280632e-09,3.075013266532371e-09,6.673821475523422e-10,0.0,1.3843918836747444e-08,1.0768905568178643e-08,0.0
41,2520.0,2520,3.07478320142909e-09,3.0747832026289134e-09,6.840273154651733e-10,0.0,1.3843552687247377e-08,1.0768769482584913e-08,0.0
42,2580.0,2580,3.074547559855538e-09,3.0745475610984944e-09,7.006695645907598e-10,0.0,1.3843177679573042e-08,1.0768630116404694e-08,0.0
43,2640.0,2640,3.0743063431787527e-09,3.074306344426198e-09,7.173088241210695e-10,0.0,1.3842793818938863e-08,1.076848747242505e-08,0.0
44,2700.0,2700,3.074059553889624e-09,3.074059555117552e-09,7.339450232743947e-10,0.0,1.3842401110675588e-08,1.0768341553498623e-08,0.0
45,2760.0,2760,3.073807194405315e-09,3.073807195627388e-09,7.505780912977787e-10,0.0,1.3841999560247462e-08,1.076819236254461e-08,0.0
46,2820.0,2820,3.073549267417792e-09,3.0735492686384502e-09,7.672079574667723e-10,0.0,1.3841589173234861e-08,1.0768039902547978e-08,0.0
47,2880.0,2880,3.0732857754460015e-09,3.0732857766987653e-09,7.838345510865192e-10,0.0,1.3841169955342679e-08,1.0767884176563373e-08,0.0
48,2940.0,2940,3.0730167213768377e-09,3.0730167226017896e-09,8.00457801491671e-10,0.0,1.3840741912393301e-08,1.0767725187707313e-08,0.0
49,3000.0,3000,3.0727421078725522e-09,3.072742109112581e-09,8.170776380472286e-10,0.0,1.3840305050337737e-08,1.0767562939162086e-08,0.0
50,3060.0,3060,3.0724619377573896e-09,3.0724619389893188e-09,8.336939901500056e-10,0.0,1.3839859375244291e-08,1.076739743418141e-08,0.0
51,3120.0,3120,3.072176213917757e-09,3.072176215143782e-09,8.503067872284221e-10,0.0,1.3839404893304422e-08,1.07672286760801e-08,0.0
52,3180.0,3180,3.0718849392728988e-09,3.071884940534445e-09,8.669159587431743e-10,0.0,1.3838941610835085e-08,1.0767056668238934e-08,0.0
53,3240.0,3240,3.0715881168853168e-09,3.0715881181126105e-09,8.835214341880767e-10,0.0,1.3838469534266826e-08,1.0766881414110513e-08,0.0
