,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,3.791472596449732e-07,3.791472596635937e-07,-7.393439285104488e-14,0.0,4.729145069586395e-07,9.376724726034466e-08,54.6666758772103
1,120.0,120,3.7957346543573394e-07,3.795734654537941e-07,5.1367083261065865e-09,0.0,4.73318892923544e-07,9.374542743368473e-08,0.06575342465753424
2,180.0,180,3.800008646558188e-07,3.800008646743714e-07,1.0279583110940979e-08,0.0,4.7372445374503625e-07,9.372358903501141e-08,0.04323985936321764
3,240.0,240,3.8042945634053907e-07,3.804294563582597e-07,1.542856737299795e-08,0.0,4.741311892539356e-07,9.370173285975084e-08,0.023148148148148147
4,300.0,300,3.8085923966932525e-07,3.8085923968779295e-07,2.0583678042590392e-08,0.0,4.745390993984161e-07,9.367985967537438e-08,0.009341992564003648
5,360.0,360,3.8129021396753823e-07,3.8129021398542863e-07,2.5744932056916258e-08,0.0,4.7494818424246083e-07,9.365797022230839e-08,0.12
6,420.0,420,3.817223786964062e-07,3.817223787139344e-07,3.0912346319165446e-08,0.0,4.7535844396373996e-07,9.363606521490773e-08,0.0
7,480.0,480,3.821557334559451e-07,3.821557334743788e-07,3.608593773592298e-08,0.0,4.757698788520709e-07,9.361414534228913e-08,0.0
8,540.0,540,3.8259027798446625e-07,3.825902780028037e-07,4.1265723204703486e-08,0.0,4.7618248930768117e-07,9.359221126924378e-08,0.0
9,600.0,600,3.8302601214988867e-07,3.830260121672527e-07,4.645171961515208e-08,0.0,4.765962758396119e-07,9.357026363699159e-08,0.0
10,660.0,660,3.8346293594652435e-07,3.834629359647373e-07,5.164394385431428e-08,0.0,4.770112390640713e-07,9.354830306402441e-08,0.0
11,720.0,720,3.8390104950252076e-07,3.8390104952011114e-07,5.6842412806761645e-08,0.0,4.774273797028441e-07,9.352633014685171e-08,0.0
12,780.0,780,3.843403530666001e-07,3.8434035308520365e-07,6.204714336270915e-08,0.0,4.778446985818595e-07,9.35043454607293e-08,0.0
13,840.0,840,3.8478084701594347e-07,3.847808470340999e-07,6.725815240664695e-08,0.0,4.782631966296744e-07,9.348234956037102e-08,0.0
14,900.0,900,3.8522253184120364e-07,3.8522253185959776e-07,7.247545682765387e-08,0.0,4.786828748761041e-07,9.346034298063352e-08,0.0
15,960.0,960,3.8566540815952267e-07,3.85665408178013e-07,7.769907353274788e-08,0.0,4.791037344506936e-07,9.343832623717292e-08,0.0
16,1020.0,1020,3.8610947670135584e-07,3.8610947671907646e-07,8.292901941659324e-08,0.0,4.795257765815693e-07,9.341629982706721e-08,0.0
17,1080.0,1080,3.865547383099455e-07,3.865547383283e-07,8.816531140038624e-08,0.0,4.799490025939046e-07,9.339426422945735e-08,0.0
18,1140.0,1140,3.870011939476712e-07,3.870011939667445e-07,9.3407966404204e-08,0.0,4.803734139087884e-07,9.337221990610469e-08,0.0
19,1200.0,1200,3.8744884468422086e-07,3.874488447032149e-07,9.865700137749475e-08,0.0,4.807990120420478e-07,9.335016730197394e-08,0.0
20,1260.0,1260,3.878976917033088e-07,3.8789769172132935e-07,1.0391243325967348e-07,0.0,4.812257986028271e-07,9.332810684578212e-08,0.0
21,1320.0,1320,3.8834773628831715e-07,3.883477363061736e-07,1.0917427901862072e-07,0.0,4.816537752926096e-07,9.330603895052075e-08,0.0
22,1380.0,1380,3.887989798344586e-07,3.8879897985323756e-07,1.1444255564368578e-07,0.0,4.820829439040504e-07,9.328396401397649e-08,0.0
23,1440.0,1440,3.892514238452898e-07,3.8925142386339524e-07,1.197172801353662e-07,0.0,4.825133063198287e-07,9.326188241921502e-08,0.0
24,1500.0,1500,3.8970506992138647e-07,3.8970506994030125e-07,1.2499846951633858e-07,0.0,4.829448645115942e-07,9.323979453505089e-08,0.0
25,1560.0,1560,3.901599197679556e-07,3.901599197864799e-07,1.3028614083271924e-07,0.0,4.833776205389943e-07,9.321770071652144e-08,0.0
26,1620.0,1620,3.906159751888816e-07,3.9061597520723614e-07,1.355803111515839e-07,0.0,4.838115765485531e-07,9.319560130532544e-08,0.0
27,1680.0,1680,3.9107323808837874e-07,3.910732381065125e-07,1.408809975711608e-07,0.0,4.842467347729187e-07,9.317349663023063e-08,0.0
28,1740.0,1740,3.915317104670124e-07,3.915317104859102e-07,1.4618821720303513e-07,0.0,4.846830975296122e-07,9.315138700751656e-08,0.0
29,1800.0,1800,3.91991394423397e-07,3.9199139444227786e-07,1.5150198720613572e-07,0.0,4.851206672204171e-07,9.312927274135094e-08,0.0
