,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,1.133466975020425e-06,1.1334669749174105e-06,-2.65022778119161e-14,0.0,1.284774512540132e-06,1.5130753764349176e-07,102.51322038899428
1,120.0,120,1.1407111214144165e-06,1.1407111213097383e-06,1.5679003005311957e-08,0.0,1.2919399014985514e-06,1.5122878020778884e-07,0.13150684931506848
2,180.0,180,1.147867708492705e-06,1.147867708390787e-06,3.146085603010326e-08,0.0,1.2990171764559206e-06,1.511494680844213e-07,0.04323985936321764
3,240.0,240,1.154918744554149e-06,1.154918744455294e-06,4.734429354474496e-08,0.0,1.3059883096569474e-06,1.5106956521862042e-07,0.023148148148148147
4,300.0,300,1.1618450183018636e-06,1.1618450182006135e-06,6.332782172630092e-08,0.0,1.312834053167485e-06,1.5098903498513502e-07,0.009341992564003648
5,360.0,360,1.1686261656778399e-06,1.1686261655727455e-06,7.940967468424579e-08,0.0,1.3195340057318786e-06,1.5090784017530582e-07,0.12
6,420.0,420,1.1752407840987447e-06,1.1752407839951125e-06,9.558779812871115e-08,0.0,1.3260667269648375e-06,1.5082594298773505e-07,0.0
7,480.0,480,1.1816666058786984e-06,1.1816666057726714e-06,1.118598346631686e-07,0.0,1.3324099107802523e-06,1.5074330502457458e-07,0.0
8,540.0,540,1.1878807447499792e-06,1.1878807446460823e-06,1.2822311152651187e-07,0.0,1.3385406319258122e-06,1.506598872958933e-07,0.0
9,600.0,600,1.19386003142024e-06,1.1938600313158896e-06,1.446746318342604e-07,0.0,1.3444356815359384e-06,1.5057565023611926e-07,0.0
10,660.0,660,1.1995814560070894e-06,1.1995814559042766e-06,1.6121107056804016e-07,0.0,1.3500720096255906e-06,1.5049055373740802e-07,0.0
11,720.0,720,1.205022737173049e-06,1.2050227370684336e-06,1.778287768380999e-07,0.0,1.3554272942615135e-06,1.5040455720716508e-07,0.0
12,780.0,780,1.210163038965708e-06,1.2101630388620507e-06,1.9452378420227887e-07,0.0,1.3604806585065273e-06,1.5031761965852092e-07,0.0
13,840.0,840,1.2149838570418403e-06,1.214983856939002e-06,2.1129183114598566e-07,0.0,1.365213556769913e-06,1.502296998461165e-07,0.0
14,900.0,900,1.2194700950892294e-06,1.2194700949830259e-06,2.2812839411258073e-07,0.0,1.3696108514319411e-06,1.5014075646302101e-07,0.0
15,960.0,960,1.2236113495163007e-06,1.2236113494097696e-06,2.4502873578453095e-07,0.0,1.3736620978130008e-06,1.5005074841895966e-07,0.0
16,1020.0,1020,1.2274034147451325e-06,1.227403414638967e-06,2.6198797156271414e-07,0.0,1.377363049849655e-06,1.4995963522625735e-07,0.0
17,1080.0,1080,1.2308500115779545e-06,1.2308500114699487e-06,2.790011573704742e-07,0.0,1.3807173889804217e-06,1.4986737752574148e-07,0.0
18,1140.0,1140,1.2339647255343713e-06,1.2339647254259117e-06,2.9606340194079253e-07,0.0,1.3837386632025615e-06,1.4977393779404827e-07,0.0
19,1200.0,1200,1.2367731189398085e-06,1.2367731188302272e-06,3.131700065622692e-07,0.0,1.3864524000964134e-06,1.496792812817302e-07,0.0
20,1260.0,1260,1.2393149473567053e-06,1.239314947242095e-06,3.303166347436336e-07,0.0,1.3888983244690032e-06,1.4958337724310625e-07,0.0
21,1320.0,1320,1.2416463649902287e-06,1.2416463648784921e-06,3.474995132739471e-07,0.0,1.3911325653891851e-06,1.4948620052917248e-07,0.0
22,1380.0,1380,1.2438419422275609e-06,1.2438419421171603e-06,3.647156645234744e-07,0.0,1.3932296757262901e-06,1.4938773362704054e-07,0.0
23,1440.0,1440,1.2459962376921115e-06,1.2459962375823536e-06,3.8196316732016274e-07,0.0,1.3952842068033092e-06,1.492879692399816e-07,0.0
24,1500.0,1500,1.2482245655703569e-06,1.248224565453755e-06,3.9924144009106743e-07,0.0,1.3974114789429961e-06,1.4918691351115685e-07,0.0
25,1560.0,1560,1.2506624747566996e-06,1.2506624746391776e-06,4.1655153486497444e-07,0.0,1.3997470646156483e-06,1.4908458999905424e-07,0.0
26,1620.0,1620,1.2534633128040683e-06,1.2534633126843406e-06,4.3389642388903475e-07,0.0,1.4024443571718073e-06,1.4898104450955247e-07,0.0
27,1680.0,1680,1.256793093028776e-06,1.2567930929074223e-06,4.51281251718573e-07,0.0,1.4056694437583458e-06,1.488763508756325e-07,0.0
28,1740.0,1740,1.2608217386743913e-06,1.260821738554172e-06,4.6871351458101167e-07,0.0,1.4095923562718305e-06,1.487706177425628e-07,0.0
29,1800.0,1800,1.2657096816106026e-06,1.265709681483199e-06,4.862031156772769e-07,0.0,1.4143736778142804e-06,1.486639963570872e-07,0.0
30,1860.0,1860,1.2715888124161546e-06,1.2715888122936412e-06,5.037622306156314e-07,0.0,1.42014550152673e-06,1.4855668926070296e-07,0.0
31,1920.0,1920,1.278537023933789e-06,1.2785370238094862e-06,5.214049029479798e-07,0.0,1.4269859834156528e-06,1.4844895963285936e-07,0.0
32,1980.0,1980,1.2865462272348038e-06,1.286546227106858e-06,5.391462790505449e-07,0.0,1.4348873678814858e-06,1.4834114080236662e-07,0.0
33,2040.0,2040,1.2954849867201683e-06,1.2954849865891723e-06,5.570013898724169e-07,0.0,1.4437186316778358e-06,1.4823364511781864e-07,0.0
34,2100.0,2100,1.305059127011005e-06,1.3050591268798453e-06,5.749834033281784e-07,0.0,1.453186097775398e-06,1.4812697092509244e-07,0.0
35,2160.0,2160,1.3147771582211235e-06,1.314777158089409e-06,5.931013186014043e-07,0.0,1.4627988638941017e-06,1.480217058356125e-07,0.0
36,2220.0,2220,1.3239324417911902e-06,1.3239324416525182e-06,6.113571706335881e-07,0.0,1.471850965445865e-06,1.4791852382642827e-07,0.0
37,2280.0,2280,1.3316207179870348e-06,1.3316207178500265e-06,6.297429819667997e-07,0.0,1.4794388909344101e-06,1.4781817311777072e-07,0.0
38,2340.0,2340,1.336819401037579e-06,1.3368194008956301e-06,6.48237962926735e-07,0.0,1.484540852346225e-06,1.477214514882675e-07,0.0
39,2400.0,2400,1.3385623910370603e-06,1.3385623908879522e-06,6.668068352107866e-07,0.0,1.486191556970796e-06,1.4762916612343282e-07,0.0
40,2460.0,2460,1.336248233094453e-06,1.3362482329467061e-06,6.854006320815512e-07,0.0,1.4837903095990939e-06,1.4754207669648843e-07,0.0
41,2520.0,2520,1.3301162987815048e-06,1.3301162986258676e-06,7.039618642890843e-07,0.0,1.4775771218123596e-06,1.4746082323586148e-07,0.0
42,2580.0,2580,1.3219108365143632e-06,1.3219108363574152e-06,7.224364320762494e-07,0.0,1.4692966796878528e-06,1.4738584338429075e-07,0.0
43,2640.0,2640,1.3157209125185159e-06,1.315720912351787e-06,7.407949447734955e-07,0.0,1.4630381960079207e-06,1.47317283715673e-07,0.0
44,2700.0,2700,1.3189194359067243e-06,1.3189194357322562e-06,7.590659397746335e-07,0.0,1.466174337043625e-06,1.4725490137592774e-07,0.0
45,2760.0,2760,1.3429475177265806e-06,1.3429475175546336e-06,7.773824046172067e-07,0.0,1.4901454485948035e-06,1.4719793110736167e-07,0.0
46,2820.0,2820,1.4030225894933095e-06,1.4030225893226732e-06,7.960394111459421e-07,0.0,1.5501674627536689e-06,1.471448734934938e-07,0.0
47,2880.0,2880,1.5129416559841714e-06,1.5129416558184254e-06,8.155476152209028e-07,0.0,1.6600349348458317e-06,1.4709327907522368e-07,0.0
48,2940.0,2940,1.6578292617135094e-06,1.657829261555427e-06,8.366131363893762e-07,0.0,1.8048699909301024e-06,1.4704072940627421e-07,0.0
49,3000.0,3000,1.6666502537609953e-06,1.6666502535981483e-06,8.597313646650934e-07,0.0,1.813644336032772e-06,1.4699408246963978e-07,0.0
50,3060.0,3060,7.649314969797379e-07,7.649314967100322e-07,8.829746751286569e-07,0.0,9.119182082195429e-07,1.469867117037925e-07,0.0
51,3120.0,3120,2.069603267953876e-06,2.0696032678588653e-06,8.934436576289468e-07,0.0,2.217254983497538e-06,1.476517154584543e-07,0.0
52,3180.0,3180,8.327352435192758,-291.6726475648072,9.223938370726898e-07,300.0,1.7960033529402074e-07,291.6726477444075,0.0
53,3240.0,3240,8.327352435309793,-291.6726475646902,-4.861209870801952,300.0,1.7964054132365464e-07,291.67264774433073,0.0
54,3300.0,3300,8.327352435413056,-291.6726475645869,-9.722420663995889,300.0,1.796739351145239e-07,291.67264774426087,0.0
55,3360.0,3360,8.327352435500064,-291.67264756449987,-14.58363145718819,300.0,1.7970227937037406e-07,291.67264774420215,0.0
56,3420.0,3420,8.327352435571296,-291.6726475644287,-19.444842250379114,300.0,1.7972581190345993e-07,291.6726477441545,0.0
57,3480.0,3480,8.32735243562732,-291.67264756437265,-24.306053043568905,300.0,1.7974450910612758e-07,291.67264774411717,0.0
58,3540.0,3540,8.327352435668548,-291.67264756433144,-29.167263836757815,300.0,1.7975830093036849e-07,291.6726477440897,0.0
59,3600.0,3600,8.327352435695255,-291.6726475643047,-34.02847462994607,300.0,1.7976711654950883e-07,291.6726477440718,0.0
60,3660.0,3660,8.327352435707647,-291.67264756429233,-38.8896854231339,300.0,1.7977089502736577e-07,291.6726477440632,0.0
61,3720.0,3720,8.327352435705865,-291.67264756429415,-43.75089621632153,300.0,1.7976958747712216e-07,291.6726477440637,0.0
62,3780.0,3780,8.327352435690027,-291.67264756430995,-48.612107009509195,300.0,1.7976315697148014e-07,291.67264774407306,0.0
63,3840.0,3840,8.327350994956152,8.327350994956152,-53.4733178026971,0.0,8.32735113556473,1.4060857673883434e-07,0.0
64,3900.0,3900,8.327350994967029,8.327350994967029,-53.35534699728674,0.0,8.327351135586834,1.4061980653352579e-07,0.0
65,3960.0,3960,8.327350994977852,8.327350994977852,-53.23737619187626,0.0,8.327351135608724,1.4063087202949493e-07,0.0
66,4020.0,4020,8.327350994988612,8.327350994988612,-53.11940538646565,0.0,8.32735113563038,1.4064176965137485e-07,0.0
67,4080.0,4080,8.327350994999291,8.327350994999291,-53.00143458105491,0.0,8.327351135651787,1.4065249580685225e-07,0.0
68,4140.0,4140,8.327350995009878,8.327350995009878,-52.883463775644046,0.0,8.327351135672924,1.4066304688572682e-07,0.0
69,4200.0,4200,8.327350995020355,8.327350995020355,-52.76549297023307,0.0,8.327351135693775,1.4067341925889662e-07,0.0
70,4260.0,4260,8.327350995030713,8.327350995030713,-52.647522164821964,0.0,8.327351135714322,1.406836092774773e-07,0.0
71,4320.0,4320,8.327350995040932,8.327350995040932,-52.52955135941074,0.0,8.327351135734544,1.4069361327163942e-07,0.0
72,4380.0,4380,8.327350995050997,8.327350995050997,-52.41158055399939,0.0,8.327351135754425,1.407034275496316e-07,0.0
73,4440.0,4440,8.327350995060893,8.327350995060893,-52.29360974858793,0.0,8.327351135773943,1.4071304839664302e-07,0.0
74,4500.0,4500,8.327350995070606,8.327350995070606,-52.175638943176345,0.0,8.327351135793078,1.4072247207367368e-07,0.0
75,4560.0,4560,8.327350995080117,8.327350995080117,-52.05766813776465,0.0,8.327351135811812,1.4073169481632448e-07,0.0
76,4620.0,4620,8.327350995089411,8.327350995089411,-51.93969733235284,0.0,8.32735113583012,1.4074071283355246e-07,0.0
77,4680.0,4680,8.327350995098465,8.327350995098465,-51.82172652694093,0.0,8.327351135847987,1.407495223064751e-07,0.0
78,4740.0,4740,8.327350995107267,8.327350995107267,-51.70375572152891,0.0,8.327351135865387,1.4075811938695692e-07,0.0
