,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b,c"
0,60.0,60,51.81113878600698,51.811138786006985,1.0014275959013934e-13,0.0,51.81113896504223,-1.7903524427429092e-07,566.7373122983795
1,120.0,120,51.81113878601186,51.81113878601186,0.7961644991123543,0.0,51.81113896504709,-1.7903524093814723e-07,0.3287671232876712
2,180.0,180,51.8111387860216,51.8111387860216,1.592328998224683,0.0,51.81113896505683,-1.7903523426589766e-07,0.040740740740740744
3,240.0,240,51.81113878603621,51.81113878603621,2.3884934973371617,0.0,51.811138965071436,-1.7903522425765554e-07,0.12
4,300.0,300,51.81113878605569,51.81113878605569,3.1846579964498654,0.0,51.811138965090905,-1.7903521091356178e-07,0.0
5,360.0,360,51.81113878608004,51.81113878608004,3.980822495562868,0.0,51.81113896511525,-1.7903519423380873e-07,0.0
6,420.0,420,51.81113878610927,51.81113878610927,4.776986994676245,0.0,51.811138965144444,-1.7903517421863001e-07,0.0
7,480.0,480,51.81113878614336,51.81113878614336,5.573151493790071,0.0,51.811138965178515,-1.7903515086829705e-07,0.0
8,540.0,540,51.81113878618232,51.81113878618232,6.369315992904421,0.0,51.81113896521744,-1.790351241831946e-07,0.0
9,600.0,600,51.81113878622614,51.81113878622614,7.165480492019369,0.0,51.81113896526123,-1.7903509416367997e-07,0.0
10,660.0,660,51.811138786274824,51.811138786274824,7.961644991134992,0.0,51.81113896530989,-1.7903506081018603e-07,0.0
11,720.0,720,51.81113878632837,51.81113878632837,8.757809490251363,0.0,51.81113896536339,-1.7903502412319376e-07,0.0
12,780.0,780,51.811138786386785,51.811138786386785,9.553973989368556,0.0,51.81113896542177,-1.7903498410322535e-07,0.0
13,840.0,840,51.811138786450044,51.811138786450044,10.350138488486646,0.0,51.811138965484986,-1.7903494075088545e-07,0.0
14,900.0,900,51.81113878651817,51.81113878651817,11.146302987605706,0.0,51.81113896555307,-1.7903489406676843e-07,0.0
15,960.0,960,51.811138786591144,51.811138786591144,11.942467486725818,0.0,51.81113896562599,-1.790348440515751e-07,0.0
16,1020.0,1020,51.81113878666897,51.81113878666897,12.738631985847048,0.0,51.81113896570377,-1.7903479070600974e-07,0.0
17,1080.0,1080,51.811138786751656,51.811138786751656,13.534796484969476,0.0,51.81113896578639,-1.7903473403083507e-07,0.0
18,1140.0,1140,51.81113878683918,51.81113878683918,14.330960984093174,0.0,51.81113896587385,-1.7903467402689276e-07,0.0
19,1200.0,1200,51.811138786931544,51.811138786931544,15.127125483218217,0.0,51.81113896596616,-1.790346106950211e-07,0.0
20,1260.0,1260,51.81113878702875,51.81113878702875,15.923289982344679,0.0,51.8111389660633,-1.7903454403615457e-07,0.0
21,1320.0,1320,51.811138787130794,51.811138787130794,16.719454481472635,0.0,51.81113896616527,-1.7903447405125506e-07,0.0
22,1380.0,1380,51.81113878723767,51.81113878723767,17.51561898060216,0.0,51.81113896627207,-1.7903440074128455e-07,0.0
23,1440.0,1440,51.81113878734937,51.81113878734937,18.311783479733325,0.0,51.8111389663837,-1.7903432410737675e-07,0.0
24,1500.0,1500,51.81113878746591,51.81113878746591,19.10794797886621,0.0,51.81113896650015,-1.7903424415056574e-07,0.0
25,1560.0,1560,51.81113878758726,51.81113878758726,19.904112478000883,0.0,51.81113896662143,-1.79034160872054e-07,0.0
26,1620.0,1620,51.81113878771343,51.81113878771343,20.70027697713742,0.0,51.81113896674751,-1.7903407427300956e-07,0.0
27,1680.0,1680,51.81113878784441,51.81113878784441,21.496441476275898,0.0,51.8111389668784,-1.790339843546864e-07,0.0
28,1740.0,1740,51.81113878798021,51.81113878798021,22.292605975416393,0.0,51.8111389670141,-1.7903389111837284e-07,0.0
29,1800.0,1800,51.811138788120815,51.811138788120815,23.088770474558967,0.0,51.81113896715461,-1.7903379456541904e-07,0.0
30,1860.0,1860,51.811138788266206,51.811138788266206,23.88493497370371,0.0,51.811138967299904,-1.7903369469721292e-07,0.0
31,1920.0,1920,51.81113878841641,51.81113878841641,24.681099472850683,0.0,51.81113896744999,-1.7903359151518716e-07,0.0
32,1980.0,1980,51.811138788571384,51.811138788571384,25.47726397199996,0.0,51.811138967604876,-1.7903348502081898e-07,0.0
33,2040.0,2040,51.81113878873116,51.81113878873116,26.27342847115162,0.0,51.81113896776453,-1.790333752156647e-07,0.0
34,2100.0,2100,51.8111387888957,51.8111387888957,27.06959297030574,0.0,51.81113896792896,-1.7903326210126682e-07,0.0
35,2160.0,2160,51.81113878906502,51.81113878906502,27.865757469462388,0.0,51.81113896809816,-1.7903314567927101e-07,0.0
36,2220.0,2220,51.81113878923911,51.81113878923911,28.661921968621638,0.0,51.81113896827213,-1.7903302595133314e-07,0.0
37,2280.0,2280,51.81113878941795,51.81113878941795,29.458086467783563,0.0,51.811138968450855,-1.790329029191882e-07,0.0
38,2340.0,2340,51.81113878960156,51.81113878960156,30.254250966948238,0.0,51.81113896863433,-1.7903277658457451e-07,0.0
39,2400.0,2400,51.811138789789915,51.811138789789915,31.05041546611573,0.0,51.81113896882256,-1.79032646949337e-07,0.0
40,2460.0,2460,51.81113878998301,51.81113878998301,31.846579965286118,0.0,51.81113896901552,-1.7903251401531708e-07,0.0
41,2520.0,2520,51.81113879018085,51.81113879018085,32.64274446445947,0.0,51.811138969213225,-1.7903237778441114e-07,0.0
42,2580.0,2580,51.81113879038341,51.81113879038341,33.43890896363587,0.0,51.811138969415644,-1.790322382585843e-07,0.0
