,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,4.6293186122990935e-10,4.629318618092068e-10,8.706004852583191e-08,0.0,8.655179037282473e-10,-4.0258603044695665e-10,8.897004778559612e-08
1,120.0,120,4.6290128758349005e-10,4.6290128870285484e-10,8.706560258988586e-08,0.0,8.654960256053082e-10,-4.02594724910196e-10,0.0
2,180.0,180,4.6287100949222983e-10,4.6287101114453975e-10,8.707115620132643e-08,0.0,8.654744069728611e-10,-4.0260338332259887e-10,0.04323985936321764
3,240.0,240,4.6284102726712126e-10,4.6284102944520796e-10,8.707670936443501e-08,0.0,8.65453046190908e-10,-4.0261200373320883e-10,0.023148148148148147
4,300.0,300,4.6281134119197357e-10,4.628113438888529e-10,8.708226208349149e-08,0.0,8.654319416413466e-10,-4.026205842396943e-10,0.009341992564003648
5,360.0,360,4.6278195152483987e-10,4.627819547335046e-10,8.708781436280083e-08,0.0,8.654110917272571e-10,-4.026291229872094e-10,0.12
6,420.0,420,4.6275285849851716e-10,4.627528622120291e-10,8.709336620666647e-08,0.0,8.653904948730985e-10,-4.0263761816720285e-10,0.0
7,480.0,480,4.627240623219389e-10,4.627240665334462e-10,8.709891761939779e-08,0.0,8.653701495242707e-10,-4.026460680160893e-10,0.0
8,540.0,540,4.6269556318065244e-10,4.6269556788338365e-10,8.710446860531443e-08,0.0,8.653500541470109e-10,-4.0265447081428286e-10,0.0
9,600.0,600,4.6266736123820536e-10,4.6266736642537774e-10,8.711001916874489e-08,0.0,8.653302072279569e-10,-4.0266282488498276e-10,0.0
10,660.0,660,4.626394566366634e-10,4.6263946230159194e-10,8.711556931402359e-08,0.0,8.653106072742734e-10,-4.0267112859304047e-10,0.0
11,720.0,720,4.626118494975311e-10,4.6261185563355946e-10,8.712111904548784e-08,0.0,8.65291252813111e-10,-4.0267938034405634e-10,0.0
12,780.0,780,4.6258453992270626e-10,4.6258454652325873e-10,8.712666836747647e-08,0.0,8.652721423917905e-10,-4.026875785833266e-10,0.0
