,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,15.428490566584415,15.428490566584415,33.81310358823762,0.0,15.4284905889262,2.234178452628677e-08,142.2857545993265
1,120.0,120,15.428490567557203,15.428490567557203,34.031673871208376,0.0,15.428490589905058,2.2347854935139785e-08,0.19726027397260273
2,180.0,180,15.428490568522877,15.428490568522877,34.2502441541929,0.0,15.428490590876676,2.235379974500729e-08,0.04323985936321764
3,240.0,240,15.428490569481339,15.428490569481339,34.46881443719109,0.0,15.428490591840959,2.2359619151392515e-08,0.023148148148148147
4,300.0,300,15.428490570432503,15.428490570432503,34.68738472020285,0.0,15.428490592797816,2.2365313347476085e-08,0.009341992564003648
5,360.0,360,15.428490571376274,15.428490571376274,34.90595500322806,0.0,15.428490593747156,2.2370882523973024e-08,0.12
6,420.0,420,15.42849057231256,15.42849057231256,35.12452528626663,0.0,15.428490594688888,2.237632686904538e-08,0.0
7,480.0,480,15.428490573241273,15.428490573241273,35.34309556931845,0.0,15.428490595622922,2.23816465681735e-08,0.0
8,540.0,540,15.428490574162327,15.428490574162327,35.56166585238341,0.0,15.428490596549166,2.238684180404383e-08,0.0
9,600.0,600,15.428490575075626,15.428490575075626,35.780236135461415,0.0,15.42849059746754,2.2391912756442272e-08,0.0
10,660.0,660,15.42849057598109,15.42849057598109,35.99880641855234,0.0,15.42849059837795,2.2396859602142213e-08,0.0
11,720.0,720,15.428490576878632,15.428490576878632,36.21737670165608,0.0,15.428490599280316,2.2401682514777086e-08,0.0
12,780.0,780,15.428490577768166,15.428490577768166,36.43594698477253,0.0,15.428490600174547,2.2406381664748705e-08,0.0
13,840.0,840,15.428490578649612,15.428490578649612,36.65451726790156,0.0,15.428490601060568,2.2410957219100564e-08,0.0
14,900.0,900,15.428490579522887,15.428490579522885,36.87308755104307,0.0,15.428490601938293,2.241540934141942e-08,0.0
15,960.0,960,15.428490580387908,15.428490580387908,37.091657834196944,0.0,15.428490602807646,2.2419738191707082e-08,0.0
16,1020.0,1020,15.428490581244603,15.428490581244603,37.31022811736305,0.0,15.428490603668546,2.24239439262905e-08,0.0
17,1080.0,1080,15.428490582092891,15.428490582092891,37.52879840054129,0.0,15.428490604520919,2.2428026697706848e-08,0.0
18,1140.0,1140,15.4284905829327,15.4284905829327,37.74736868373154,0.0,15.428490605364686,2.2431986654580045e-08,0.0
19,1200.0,1200,15.428490583763951,15.428490583763951,37.96593896693367,0.0,15.428490606199777,2.243582394153437e-08,0.0
20,1260.0,1260,15.428490584586578,15.428490584586578,38.18450925014757,0.0,15.428490607026117,2.243953869907353e-08,0.0
21,1320.0,1320,15.428490585400509,15.428490585400509,38.403079533373116,0.0,15.428490607843642,2.2443131063480705e-08,0.0
22,1380.0,1380,15.428490586205674,15.428490586205674,38.62164981661019,0.0,15.428490608652275,2.2446601166710154e-08,0.0
23,1440.0,1440,15.428490587002008,15.428490587002008,38.84022009985865,0.0,15.428490609451957,2.2449949136279266e-08,0.0
24,1500.0,1500,15.428490587789447,15.428490587789447,39.05879038311839,0.0,15.428490610242623,2.245317509517091e-08,0.0
25,1560.0,1560,15.428490588567927,15.428490588567927,39.27736066638928,0.0,15.428490611024205,2.2456279161729254e-08,0.0
26,1620.0,1620,15.428490589337386,15.428490589337386,39.49593094967119,0.0,15.428490611796647,2.245926144954532e-08,0.0
27,1680.0,1680,15.428490590097766,15.428490590097766,39.71450123296398,0.0,15.428490612559889,2.246212206737261e-08,0.0
28,1740.0,1740,15.428490590849014,15.428490590849014,39.93307151626755,0.0,15.428490613313874,2.2464861119013656e-08,0.0
29,1800.0,1800,15.42849059159107,15.42849059159107,40.15164179958175,0.0,15.428490614058546,2.2467478703220357e-08,0.0
30,1860.0,1860,15.42849059232388,15.42849059232388,40.37021208290646,0.0,15.428490614793855,2.2469974913599073e-08,0.0
31,1920.0,1920,15.428490593047396,15.428490593047396,40.58878236624154,0.0,15.428490615519745,2.2472349838510707e-08,0.0
32,1980.0,1980,15.428490593761568,15.428490593761568,40.80735264958686,0.0,15.428490616236173,2.247460356096678e-08,0.0
33,2040.0,2040,15.42849059446635,15.42849059446635,41.025922932942294,0.0,15.428490616943087,2.2476736158531532e-08,0.0
34,2100.0,2100,15.428490595161694,15.428490595161694,41.24449321630772,0.0,15.428490617640442,2.2478747703241016e-08,0.0
