,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,3.683002920376071e-08,3.683002924380657e-08,6.061616360760639e-06,0.0,5.793214669378082e-08,2.1102117404286427e-08,9.048581388185752e-06
1,120.0,120,3.675981270362768e-08,3.6759812742181365e-08,6.062085352783978e-06,0.0,5.787344030002786e-08,2.1113627513660076e-08,0.03287671232876712
2,180.0,180,3.66905060360895e-08,3.669050607316458e-08,6.062553321074067e-06,0.0,5.7815553823251974e-08,2.112504770739284e-08,0.04323985936321764
3,240.0,240,3.6622085789311635e-08,3.662208582491732e-08,6.063020278747447e-06,0.0,5.7758465291819704e-08,2.1136379425688292e-08,0.023148148148148147
4,300.0,300,3.65545296237212e-08,3.655452965786736e-08,6.063486238585486e-06,0.0,5.770215372558094e-08,2.1147624027969482e-08,0.009341992564003648
5,360.0,360,3.648781620124458e-08,3.648781623394107e-08,6.063951213049596e-06,0.0,5.764659907205673e-08,2.1158782799834168e-08,0.12
6,420.0,420,3.6421925120485314e-08,3.642192515174075e-08,6.0644152142952615e-06,0.0,5.759178214794124e-08,2.116985695937021e-08,0.0
7,480.0,480,3.635683685728991e-08,3.6356836887114765e-08,6.064878254186861e-06,0.0,5.7537684585364625e-08,2.1180847662861558e-08,0.0
8,540.0,540,3.629253271010119e-08,3.6292532738502856e-08,6.065340344307831e-06,0.0,5.748428878246928e-08,2.119175601001271e-08,0.0
9,600.0,600,3.622899474965882e-08,3.6228994776646525e-08,6.065801495974941e-06,0.0,5.743157785782517e-08,2.120258304864997e-08,0.0
10,660.0,660,3.6166205772687896e-08,3.6166205798269654e-08,6.0662617202479036e-06,0.0,5.7379535608425595e-08,2.1213329779042762e-08,0.0
11,720.0,720,3.6104149259102225e-08,3.6104149283287266e-08,6.066721027940178e-06,0.0,5.732814647080468e-08,2.1223997157813575e-08,0.0
12,780.0,780,3.60428093324714e-08,3.604280935526588e-08,6.067179429628898e-06,0.0,5.72773954850714e-08,2.1234586101502385e-08,0.0
13,840.0,840,3.598217072343659e-08,3.598217074484915e-08,6.067636935663708e-06,0.0,5.7227268261587405e-08,2.124509748982568e-08,0.0
14,900.0,900,3.592221873578916e-08,3.592221875582841e-08,6.0680935561759765e-06,0.0,5.717775094999796e-08,2.1255532168642296e-08,0.0
15,960.0,960,3.5862939215010736e-08,3.5862939233680983e-08,6.068549301086529e-06,0.0,5.712883021049464e-08,2.1265890952663407e-08,0.0
16,1020.0,1020,3.580431851902543e-08,3.5804318536336534e-08,6.069004180113603e-06,0.0,5.708049318703518e-08,2.127617462791801e-08,0.0
17,1080.0,1080,3.574634349102428e-08,3.5746343506982394e-08,6.069458202780107e-06,0.0,5.703272748242493e-08,2.128638395402444e-08,0.0
18,1140.0,1140,3.56890014341323e-08,3.5689001448744814e-08,6.0699113784210225e-06,0.0,5.698552113504577e-08,2.1296519666239235e-08,0.0
19,1200.0,1200,3.563228008779186e-08,3.563228010106556e-08,6.0703637161893225e-06,0.0,5.6938862597136834e-08,2.1306582477357616e-08,0.0
20,1260.0,1260,3.557616760574537e-08,3.557616761768763e-08,6.070815225062038e-06,0.0,5.689274071448489e-08,2.1316573079422416e-08,0.0
21,1320.0,1320,3.5520652535436855e-08,3.552065254605322e-08,6.071265913847353e-06,0.0,5.6847144707401266e-08,2.1326492145310176e-08,0.0
22,1380.0,1380,3.5465723798763434e-08,3.5465723808060686e-08,6.071715791189492e-06,0.0,5.680206415293775e-08,2.1336340330167867e-08,0.0
23,1440.0,1440,3.541137067404802e-08,3.5411370682030463e-08,6.072164865573134e-06,0.0,5.675748896814702e-08,2.1346118272728015e-08,0.0
24,1500.0,1500,3.535758277914943e-08,3.5357582785826304e-08,6.072613145330742e-06,0.0,5.671340939441639e-08,2.135582659651943e-08,0.0
25,1560.0,1560,3.5304350055626224e-08,3.530435006100184e-08,6.073060638644773e-06,0.0,5.6669815982721704e-08,2.136546591095631e-08,0.0
26,1620.0,1620,3.5251662753850755e-08,3.5251662757933117e-08,6.073507353554693e-06,0.0,5.662669957975624e-08,2.137503681236391e-08,0.0
27,1680.0,1680,3.519951141904511e-08,3.519951142183915e-08,6.073953297960287e-06,0.0,5.658405131487939e-08,2.1384539884877974e-08,0.0
28,1740.0,1740,3.514788687811583e-08,3.514788687962832e-08,6.074398479624888e-06,0.0,5.654186258779744e-08,2.1393975701297956e-08,0.0
29,1800.0,1800,3.509678022730887e-08,3.5096780227544737e-08,6.07484290618161e-06,0.0,5.6500125056986577e-08,2.1403344823855608e-08,0.0
30,1860.0,1860,3.50461828205168e-08,3.5046182819480964e-08,6.075286585135472e-06,0.0,5.645883062869712e-08,2.1412647804910546e-08,0.0
31,1920.0,1920,3.4996086258319954e-08,3.4996086256017355e-08,6.075729523867421e-06,0.0,5.641797144664937e-08,2.1421885187598724e-08,0.0
32,1980.0,1980,3.494648237758632e-08,3.4946482374025565e-08,6.076171729638191e-06,0.0,5.637753988219941e-08,2.1431057506408868e-08,0.0
33,2040.0,2040,3.489736324169877e-08,3.489736323688295e-08,6.07661320959217e-06,0.0,5.633752852511017e-08,2.1440165287725007e-08,0.0
34,2100.0,2100,3.4848721131281296e-08,3.4848721125215945e-08,6.077053970758894e-06,0.0,5.629793017477208e-08,2.144920905031115e-08,0.0
35,2160.0,2160,3.480054853545225e-08,3.4800548528144766e-08,6.077494020057621e-06,0.0,5.625873783189121e-08,2.145818930575191e-08,0.0
36,2220.0,2220,3.475283814354511e-08,3.475283813499856e-08,6.077933364300483e-06,0.0,5.621994469060899e-08,2.146710655886327e-08,0.0
37,2280.0,2280,3.4705582837238704e-08,3.470558282745864e-08,6.078372010193826e-06,0.0,5.6181544131014953e-08,2.147596130804944e-08,0.0
38,2340.0,2340,3.465877568314382e-08,3.465877567213825e-08,6.0788099643424676e-06,0.0,5.61435297120689e-08,2.1484754045658224e-08,0.0
39,2400.0,2400,3.461240992573343e-08,3.461240991350358e-08,6.0792472332517465e-06,0.0,5.610589516480462e-08,2.1493485258259967e-08,0.0
40,2460.0,2460,3.4566478980651634e-08,3.456647896720674e-08,6.079683823329807e-06,0.0,5.606863438597502e-08,2.1502155426949948e-08,0.0
41,2520.0,2520,3.452097642835948e-08,3.452097641370139e-08,6.080119740890833e-06,0.0,5.603174143187967e-08,2.1510765027581452e-08,0.0
42,2580.0,2580,3.447589600808133e-08,3.447589599221682e-08,6.080554992155755e-06,0.0,5.599521051260304e-08,2.1519314531000736e-08,0.0
43,2640.0,2640,3.4431231612075745e-08,3.4431231595008514e-08,6.0809895832568245e-06,0.0,5.595903598644058e-08,2.1527804403257007e-08,0.0
44,2700.0,2700,3.438697728015518e-08,3.438697726189262e-08,6.081423520238322e-06,0.0,5.592321235464567e-08,2.1536235105784728e-08,0.0
45,2760.0,2760,3.4343127194489574e-08,3.4343127175034755e-08,6.081856809058132e-06,0.0,5.588773425637916e-08,2.1544607095572024e-08,0.0
46,2820.0,2820,3.429967567464887e-08,3.429967565400672e-08,6.082289455591454e-06,0.0,5.585259646390213e-08,2.1552920825318363e-08,0.0
47,2880.0,2880,3.42566171728722e-08,3.4256617151049494e-08,6.082721465631347e-06,0.0,5.581779387800647e-08,2.1561176743569716e-08,0.0
48,2940.0,2940,3.4213946269572266e-08,3.421394624657147e-08,6.083152844891489e-06,0.0,5.5783321523614047e-08,2.1569375294838027e-08,0.0
49,3000.0,3000,3.417165766902639e-08,3.4171657644854894e-08,6.083583599007524e-06,0.0,5.574917454560512e-08,2.1577516919725005e-08,0.0
50,3060.0,3060,3.412974619527623e-08,3.412974616993773e-08,6.084013733538949e-06,0.0,5.571534820479689e-08,2.1585602055007406e-08,0.0
51,3120.0,3120,3.408820678819698e-08,3.408820676169455e-08,6.084443253970688e-06,0.0,5.568183787412412e-08,2.159363113374636e-08,0.0
52,3180.0,3180,3.4047034499771506e-08,3.404703447211254e-08,6.084872165714988e-06,0.0,5.5648639034971825e-08,2.1601604585341853e-08,0.0
53,3240.0,3240,3.400622449048037e-08,3.4006224461671025e-08,6.085300474112994e-06,0.0,5.561574727366196e-08,2.1609522835631274e-08,0.0
54,3300.0,3300,3.39657720258981e-08,3.3965771995940225e-08,6.08572818443617e-06,0.0,5.558315827808295e-08,2.1617386306937756e-08,0.0
