,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,8.028354184864182e-10,8.028358896452685e-10,7.750705697715742e-08,0.0,1.425339128101433e-09,6.225027671575836e-10,1.2634569221008305e-07
1,120.0,120,8.0302364100188e-10,8.030241141046581e-10,7.751688176455496e-08,0.0,1.4255380257293225e-09,6.225134383820541e-10,0.0
2,180.0,180,8.032159451226596e-10,8.032164201520808e-10,7.752670919715627e-08,0.0,1.4257397533884434e-09,6.22522858067109e-10,0.04323985936321764
3,240.0,240,8.034121307798121e-10,8.034126077188237e-10,7.753653933587191e-08,0.0,1.42594413366073e-09,6.225310488630807e-10,0.023148148148148147
4,300.0,300,8.036120031252429e-10,8.036124819571908e-10,7.75463722387523e-08,0.0,1.4261509944874552e-09,6.225380335585491e-10,0.009341992564003648
5,360.0,360,8.038153725465178e-10,8.038158532548959e-10,7.755620796100441e-08,0.0,1.4263601691118452e-09,6.225438350087573e-10,0.12
6,420.0,420,8.040220546651016e-10,8.040225372338119e-10,7.756604655511151e-08,0.0,1.4265714960137035e-09,6.225484760713396e-10,0.0
7,480.0,480,8.042318703214652e-10,8.042323547346041e-10,7.757588807089127e-08,0.0,1.4267848188349908e-09,6.225519795473599e-10,0.0
8,540.0,540,8.04444645547143e-10,8.044451317891408e-10,7.758573255555039e-08,0.0,1.4269999863001596e-09,6.22554368129124e-10,0.0
9,600.0,600,8.046602115262905e-10,8.046606995817717e-10,7.75955800537949e-08,0.0,1.4272168521294071e-09,6.225556643522385e-10,0.0
10,660.0,660,8.048784045468609e-10,8.048788944007006e-10,7.760543060787523e-08,0.0,1.4274352749482962e-09,6.225558905538403e-10,0.0
11,720.0,720,8.050990659433307e-10,8.050995575807189e-10,7.761528425766807e-08,0.0,1.4276551181922784e-09,6.225550688341815e-10,0.0
12,780.0,780,8.053220420327242e-10,8.053225354390641e-10,7.762514104074517e-08,0.0,1.4278762500088263e-09,6.225532210234972e-10,0.0
13,840.0,840,8.055471840424727e-10,8.055476792032696e-10,7.76350009924576e-08,0.0,1.4280985431564145e-09,6.225503686523488e-10,0.0
14,900.0,900,8.057743480341965e-10,8.05774844935354e-10,7.76448641459938e-08,0.0,1.4283218749019068e-09,6.225465329253032e-10,0.0
15,960.0,960,8.060033948212493e-10,8.060038934487732e-10,7.765473053244491e-08,0.0,1.428546126915181e-09,6.225417346988291e-10,0.0
16,1020.0,1020,8.062341898832415e-10,8.062346902233874e-10,7.76646001808842e-08,0.0,1.4287711851646445e-09,6.225359944609731e-10,0.0
17,1080.0,1080,8.064666032761793e-10,8.064671053154627e-10,7.767447311842284e-08,0.0,1.428996939810303e-09,6.225293323154186e-10,0.0
18,1140.0,1140,8.067005095404548e-10,8.067010132654745e-10,7.768434937029054e-08,0.0,1.4292232850972533e-09,6.225217679665928e-10,0.0
19,1200.0,1200,8.069357876059618e-10,8.069362930035485e-10,7.769422895988546e-08,0.0,1.4294501192499579e-09,6.225133207086383e-10,0.0
20,1260.0,1260,8.071723206956004e-10,8.0717282775289e-10,7.770411190885237e-08,0.0,1.4296773443654247e-09,6.225040094150325e-10,0.0
21,1320.0,1320,8.07409996227482e-10,8.074105049316111e-10,7.77139982371255e-08,0.0,1.4299048663075898e-09,6.224938525316001e-10,0.0
22,1380.0,1380,8.07648705716071e-10,8.076492160544632e-10,7.772388796299958e-08,0.0,1.4301325946037606e-09,6.22482868070563e-10,0.0
23,1440.0,1440,8.078883446726022e-10,8.0788885663282e-10,7.773378110319638e-08,0.0,1.4303604423395742e-09,6.224710736062221e-10,0.0
24,1500.0,1500,8.081288125051177e-10,8.081293260749369e-10,7.77436776729038e-08,0.0,1.4305883260577748e-09,6.224584862726486e-10,0.0
25,1560.0,1560,8.0837001241921e-10,8.083705275865269e-10,7.77535776858518e-08,0.0,1.4308161656564158e-09,6.224451227622206e-10,0.0
26,1620.0,1620,8.086118513179475e-10,8.086123680708067e-10,7.776348115435275e-08,0.0,1.431043884289788e-09,6.224309993257243e-10,0.0
