,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,4.40488620040427e-10,4.404885862130669e-10,5.990003431485787e-09,0.0,7.198249725934948e-10,2.7933642010628357e-10,1.1289927121300002e-08
1,120.0,120,4.400029418421988e-10,4.4000290803779034e-10,5.995542374639115e-09,0.0,7.194001979374834e-10,2.7939732360272544e-10,0.0
2,180.0,180,4.395233870760827e-10,4.395233532948276e-10,6.001074276947304e-09,0.0,7.189816894381199e-10,2.7945836982330415e-10,0.04323985936321764
3,240.0,240,4.3904991195845604e-10,4.3904987820056513e-10,6.0065992247385204e-09,0.0,7.185693843100007e-10,2.7951953976622066e-10,0.023148148148148147
4,300.0,300,4.385824722066525e-10,4.385824384723824e-10,6.012117303767722e-09,0.0,7.181632205478784e-10,2.7958081570872e-10,0.03205546181136265
5,360.0,360,4.381210231227715e-10,4.381209894124751e-10,6.017628599206983e-09,0.0,7.177631369534639e-10,2.796421811503627e-10,0.12
6,420.0,420,4.376655196688946e-10,4.3766548598290646e-10,6.023133195636401e-09,0.0,7.173690731582022e-10,2.797036207604439e-10,0.0
7,480.0,480,4.372159165338278e-10,4.372158828725925e-10,6.0286311770361e-09,0.0,7.169809696416979e-10,2.7976512032965663e-10,0.0
8,540.0,540,4.367721681931206e-10,4.3677213455705515e-10,6.0341226267802964e-09,0.0,7.165987677469482e-10,2.7982666672536603e-10,0.0
9,600.0,600,4.3633422896188973e-10,4.363341953514433e-10,6.039607627631134e-09,0.0,7.162224096919286e-10,2.798882478504218e-10,0.0
10,660.0,660,4.359020530416025e-10,4.359020194573159e-10,6.0450862617337786e-09,0.0,7.158518385785486e-10,2.7994985260513777e-10,0.0
11,720.0,720,4.3547559456133315e-10,4.354755610037059e-10,6.050558610612814e-09,0.0,7.154869983986645e-10,2.8001147085234177e-10,0.0
12,780.0,780,4.3505480761286386e-10,4.350547740824413e-10,6.056024755168293e-09,0.0,7.15127834037443e-10,2.800730933852763e-10,0.0
13,840.0,840,4.346396462819776e-10,4.346396127793373e-10,6.061484775674412e-09,0.0,7.147742912747913e-10,2.8013471189801057e-10,0.0
14,900.0,900,4.342300646743707e-10,4.3423003120013587e-10,6.066938751774597e-09,0.0,7.144263167842847e-10,2.801963189584192e-10,0.0
15,960.0,960,4.3382601693720646e-10,4.3382598349197746e-10,6.072386762481875e-09,0.0,7.140838581302888e-10,2.802579079836629e-10,0.0
16,1020.0,1020,4.3342745727701177e-10,4.334274238614578e-10,6.0778288861763015e-09,0.0,7.137468637632109e-10,2.803194732174846e-10,0.0
17,1080.0,1080,4.3303433997372885e-10,4.3303430658853264e-10,6.083265200604967e-09,0.0,7.134152830129921e-10,2.803810097099752e-10,0.0
18,1140.0,1140,4.3264661939087556e-10,4.3264658603672923e-10,6.0886957828797186e-09,0.0,7.130890660812161e-10,2.8044251329909487e-10,0.0
19,1200.0,1200,4.322642499824475e-10,4.3226421666003855e-10,6.094120709476209e-09,0.0,7.127681640314478e-10,2.805039805943028e-10,0.0
20,1260.0,1260,4.31887186296722e-10,4.3188715300684776e-10,6.099540056236023e-09,0.0,7.124525287782336e-10,2.8056540896188215e-10,0.0
21,1320.0,1320,4.315153829769178e-10,4.315153497203391e-10,6.104953898362276e-09,0.0,7.121421130748291e-10,2.8062679651177786e-10,0.0
22,1380.0,1380,4.3114879475861046e-10,4.3114876153611107e-10,6.110362310422405e-09,0.0,7.118368704996326e-10,2.8068814208676676e-10,0.0
23,1440.0,1440,4.3078737646476446e-10,4.3078734327720584e-10,6.1157653663458164e-09,0.0,7.11536755441263e-10,2.8074944525246234e-10,0.0
24,1500.0,1500,4.3043108299745137e-10,4.3043104984568605e-10,6.121163139424036e-09,0.0,7.11241723082602e-10,2.80810706289615e-10,0.0
25,1560.0,1560,4.3007986932751087e-10,4.300798362124188e-10,6.126555702310561e-09,0.0,7.109517293836169e-10,2.8087192618732474e-10,0.0
