,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,1.0027914075344277e-07,1.0027914035460611e-07,1.179799022859766e-06,0.0,1.721333816742798e-07,7.185424170635647e-08,2.9736146966763708e-06
1,120.0,120,1.0015274028961663e-07,1.0015273988730116e-07,1.1810399784927483e-06,0.0,1.7205763325321267e-07,7.190489375609105e-08,0.03287671232876712
2,180.0,180,1.0002752390461273e-07,1.0002752349885105e-07,1.1822790164749157e-06,0.0,1.719826153965767e-07,7.195509229136712e-08,0.04323985936321764
3,240.0,240,9.9903478063181e-08,9.990347765400567e-08,1.1835161547182875e-06,0.0,1.7190832172782215e-07,7.200484447088846e-08,0.023148148148148147
4,300.0,300,9.978058942282525e-08,9.978058901027332e-08,1.184751410925072e-06,0.0,1.7183474580934456e-07,7.20541571995299e-08,0.03205546181136265
5,360.0,360,9.9658844827551e-08,9.965884441165844e-08,1.1859848025912969e-06,0.0,1.717618811535534e-07,7.21030371457156e-08,0.12
6,420.0,420,9.953823130258948e-08,9.953823088338774e-08,1.1872163470098107e-06,0.0,1.7168972123328046e-07,7.215149075704503e-08,0.0
7,480.0,480,9.941873604987296e-08,9.941873562739798e-08,1.1884460612735006e-06,0.0,1.7161825949136816e-07,7.219952427440025e-08,0.0
8,540.0,540,9.930034644419212e-08,9.93003460184776e-08,1.1896739622783643e-06,0.0,1.7154748934940426e-07,7.224714374461424e-08,0.0
9,600.0,600,9.918305002979014e-08,9.918304960086752e-08,1.1909000667262606e-06,0.0,1.714774042159464e-07,7.229435503199025e-08,0.0
10,660.0,660,9.906683451746924e-08,9.906683408537448e-08,1.1921243911280553e-06,0.0,1.7140799749395604e-07,7.234116382869428e-08,0.0
11,720.0,720,9.895168778200144e-08,9.895168734676036e-08,1.1933469518061363e-06,0.0,1.7133926258771338e-07,7.238757566421541e-08,0.0
12,780.0,780,9.883759785978655e-08,9.883759742143736e-08,1.194567764897307e-06,0.0,1.7127119290906054e-07,7.243359591401168e-08,0.0
13,840.0,840,9.872455294681116e-08,9.872455250537856e-08,1.1957868463553574e-06,0.0,1.712037818832067e-07,7.247922980731129e-08,0.0
14,900.0,900,9.861254139669414e-08,9.86125409522152e-08,1.1970042119537952e-06,0.0,1.7113702295401877e-07,7.252448243434876e-08,0.0
15,960.0,960,9.850155171893544e-08,9.850155127143825e-08,1.1982198772883624e-06,0.0,1.71070909588766e-07,7.256935875290693e-08,0.0
16,1020.0,1020,9.83915725772177e-08,9.839157212673484e-08,1.1994338577795687e-06,0.0,1.7100543528253692e-07,7.261386359439053e-08,0.0
17,1080.0,1080,9.82825927878707e-08,9.828259233442573e-08,1.2006461686752625e-06,0.0,1.7094059356225152e-07,7.265800166938308e-08,0.0
18,1140.0,1140,9.817460131824709e-08,9.817460086187821e-08,1.2018568250529845e-06,0.0,1.7087637799017277e-07,7.270177757279258e-08,0.0
19,1200.0,1200,9.80675872853262e-08,9.806758682605702e-08,1.20306584182243e-06,0.0,1.708127821672449e-07,7.27451957885997e-08,0.0
20,1260.0,1260,9.79615399541695e-08,9.796153949203033e-08,1.2042732337279842e-06,0.0,1.7074979973599379e-07,7.278826069426322e-08,0.0
21,1320.0,1320,9.785644873651985e-08,9.785644827153766e-08,1.2054790153508952e-06,0.0,1.70687424383225e-07,7.283097656483013e-08,0.0
22,1380.0,1380,9.77523031893379e-08,9.775230272154639e-08,1.206683201111719e-06,0.0,1.7062564984230643e-07,7.287334757673013e-08,0.0
23,1440.0,1440,9.764909301337886e-08,9.764909254280723e-08,1.207885805272602e-06,0.0,1.7056446989539223e-07,7.291537781135881e-08,0.0
24,1500.0,1500,9.754680805172102e-08,9.75468075783951e-08,1.2090868419395103e-06,0.0,1.7050387837526737e-07,7.295707125841608e-08,0.0
25,1560.0,1560,9.744543828833921e-08,9.744543781228147e-08,1.2102863250645828e-06,0.0,1.704438691670078e-07,7.299843181901096e-08,0.0
26,1620.0,1620,9.734497384664332e-08,9.734497336788523e-08,1.2114842684481444e-06,0.0,1.7038443620949236e-07,7.303946330860225e-08,0.0
27,1680.0,1680,9.7245404987971e-08,9.724540450654061e-08,1.2126806857412593e-06,0.0,1.703255734966744e-07,7.308016945981915e-08,0.0
28,1740.0,1740,9.71467221101497e-08,9.714672162606836e-08,1.2138755904473648e-06,0.0,1.702672750787117e-07,7.312055392499311e-08,0.0
29,1800.0,1800,9.704891574594892e-08,9.704891525924696e-08,1.2150689959250405e-06,0.0,1.70209535062973e-07,7.316062027870768e-08,0.0
30,1860.0,1860,9.695197656161312e-08,9.695197607232089e-08,1.216260915389445e-06,0.0,1.7015234761482214e-07,7.320037202008889e-08,0.0
31,1920.0,1920,9.685589535531503e-08,9.685589486345049e-08,1.2174513619150485e-06,0.0,1.700957069583367e-07,7.323981257505854e-08,0.0
32,1980.0,1980,9.676066305560659e-08,9.676066256120006e-08,1.2186403484371422e-06,0.0,1.7003960737691712e-07,7.327894529844261e-08,0.0
33,2040.0,2040,9.666627071989692e-08,9.666627022296861e-08,1.2198278877540844e-06,0.0,1.6998404321369537e-07,7.331777347598752e-08,0.0
34,2100.0,2100,9.65727095328786e-08,9.657270903346448e-08,1.2210139925294225e-06,0.0,1.6992900887198878e-07,7.335630032629111e-08,0.0
35,2160.0,2160,9.647997080498994e-08,9.647997030310685e-08,1.2221986752937962e-06,0.0,1.6987449881547987e-07,7.33945290026133e-08,0.0
36,2220.0,2220,9.638804597081986e-08,9.638804546649362e-08,1.223381948446665e-06,0.0,1.6982050756849258e-07,7.343246259470146e-08,0.0
37,2280.0,2280,9.629692658753308e-08,9.629692608078842e-08,1.2245638242584456e-06,0.0,1.6976702971606195e-07,7.347010413040009e-08,0.0
38,2340.0,2340,9.620660433330425e-08,9.62066038241614e-08,1.2257443148723986e-06,0.0,1.6971405990394984e-07,7.350745657732781e-08,0.0
39,2400.0,2400,9.611707100574654e-08,9.611707049423469e-08,1.2269234323064454e-06,0.0,1.696615928387303e-07,7.35445228444107e-08,0.0
40,2460.0,2460,9.602831852031762e-08,9.602831800645923e-08,1.2281011884549279e-06,0.0,1.6960962328757163e-07,7.358130578339315e-08,0.0
41,2520.0,2520,9.594033890873586e-08,9.59403383925534e-08,1.229277595090568e-06,0.0,1.6955814607820276e-07,7.361780819025978e-08,0.0
42,2580.0,2580,9.585312431743136e-08,9.585312379894842e-08,1.2304526638661397e-06,0.0,1.6950715609868846e-07,7.365403280666442e-08,0.0
43,2640.0,2640,9.576666700592839e-08,9.576666648516632e-08,1.2316264063164454e-06,0.0,1.694566482971936e-07,7.36899823212409e-08,0.0
44,2700.0,2700,9.568095934532564e-08,9.568095882231025e-08,1.2327988338596277e-06,0.0,1.6940661768172691e-07,7.372565937089819e-08,0.0
45,2760.0,2760,9.559599381671901e-08,9.559599329146943e-08,1.2339699577992905e-06,0.0,1.6935705931985804e-07,7.37610665421021e-08,0.0
46,2820.0,2820,9.551176300962358e-08,9.55117624821645e-08,1.235139789325991e-06,0.0,1.6930796833829957e-07,7.37962063720794e-08,0.0
47,2880.0,2880,9.542825962046938e-08,9.542825909082328e-08,1.2363083395189468e-06,0.0,1.6925933992264878e-07,7.383108134997707e-08,0.0
48,2940.0,2940,9.534547645104125e-08,9.534547591922833e-08,1.237475619347689e-06,0.0,1.6921116931691123e-07,7.386569391800914e-08,0.0
49,3000.0,3000,9.526340640695562e-08,9.526340587299948e-08,1.2386416396735185e-06,0.0,1.6916345182309208e-07,7.39000464725744e-08,0.0
50,3060.0,3060,9.518204249616206e-08,9.518204196008518e-08,1.2398064112514289e-06,0.0,1.6911618280077128e-07,7.393414136530552e-08,0.0
51,3120.0,3120,9.510137782742577e-08,9.510137728924049e-08,1.2409699447312928e-06,0.0,1.6906935766663646e-07,7.396798090412044e-08,0.0
52,3180.0,3180,9.50214056088605e-08,9.502140506859715e-08,1.242132250659551e-06,0.0,1.6902297189400883e-07,7.400156735423893e-08,0.0
53,3240.0,3240,9.494211914643691e-08,9.494211860411121e-08,1.2432933394809376e-06,0.0,1.689770210123534e-07,7.403490293912167e-08,0.0
54,3300.0,3300,9.486351184251888e-08,9.486351129815329e-08,1.244453221539469e-06,0.0,1.6893150060669718e-07,7.406798984148119e-08,0.0
55,3360.0,3360,9.478557719446503e-08,9.478557664808204e-08,1.2456119070805114e-06,0.0,1.688864063172674e-07,7.410083020415694e-08,0.0
56,3420.0,3420,9.47083087931337e-08,9.470830824474564e-08,1.2467694062517493e-06,0.0,1.688417338388087e-07,7.413342613104082e-08,0.0
57,3480.0,3480,9.463170032150568e-08,9.463169977114403e-08,1.2479257291048942e-06,0.0,1.6879747892012468e-07,7.416577968795448e-08,0.0
58,3540.0,3540,9.455574555331283e-08,9.455574500099105e-08,1.2490808855968716e-06,0.0,1.687536373635231e-07,7.419789290346937e-08,0.0
59,3600.0,3600,9.44804383516069e-08,9.448043779734858e-08,1.2502348855913829e-06,0.0,1.687102050242317e-07,7.422976776977269e-08,0.0
60,3660.0,3660,9.440577266743188e-08,9.440577211125164e-08,1.2513877388601998e-06,0.0,1.6866717780988602e-07,7.426140624345377e-08,0.0
61,3720.0,3720,9.433174253846482e-08,9.433174198038398e-08,1.2525394550844061e-06,0.0,1.686245516799476e-07,7.429281024629597e-08,0.0
62,3780.0,3780,9.425834208769368e-08,9.425834152772685e-08,1.2536900438559767e-06,0.0,1.685823226451265e-07,7.432398166602359e-08,0.0
63,3840.0,3840,9.418556552210767e-08,9.418556496027956e-08,1.2548395146785882e-06,0.0,1.6854048676685566e-07,7.435492235707255e-08,0.0
64,3900.0,3900,9.411340713141326e-08,9.411340656774185e-08,1.2559878769694872e-06,0.0,1.6849904015669336e-07,7.438563414129575e-08,0.0
65,3960.0,3960,9.404186128673572e-08,9.404186072124122e-08,1.2571351400602638e-06,0.0,1.6845797897573448e-07,7.441611880868082e-08,0.0
66,4020.0,4020,9.397092243938009e-08,9.397092187207599e-08,1.2582813131983425e-06,0.0,1.6841729943410747e-07,7.444637811803088e-08,0.0
67,4080.0,4080,9.390058511961024e-08,9.390058455051676e-08,1.259426405548205e-06,0.0,1.6837699779034737e-07,7.447641379762616e-08,0.0
68,4140.0,4140,9.383084393538513e-08,9.383084336452134e-08,1.2605704261923778e-06,0.0,1.6833707035085007e-07,7.450622754590689e-08,0.0
69,4200.0,4200,9.376169357121869e-08,9.37616929985981e-08,1.261713384132746e-06,0.0,1.6829751346934416e-07,7.453582103208105e-08,0.0
70,4260.0,4260,9.369312878690714e-08,9.369312821255444e-08,1.262855288291773e-06,0.0,1.6825832354622617e-07,7.456519589676013e-08,0.0
71,4320.0,4320,9.362514441646862e-08,9.362514384039506e-08,1.263996147513473e-06,0.0,1.6821949702813802e-07,7.459435375255e-08,0.0
