,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,1.0761594922502835e-07,1.076159488985162e-07,1.5984397833769079e-06,0.0,1.637097257556095e-07,5.6093777169561554e-08,2.521729647581146e-06
1,120.0,120,1.0765034204538061e-07,1.0765034172060835e-07,1.599824076724937e-06,0.0,1.6371529370869416e-07,5.6064952298806784e-08,0.06575342465753424
2,180.0,180,1.0768486839115981e-07,1.0768486806814038e-07,1.601208929541419e-06,0.0,1.637207620638257e-07,5.6035894304645146e-08,0.04323985936321764
3,240.0,240,1.0771952788706677e-07,1.0771952756581866e-07,1.6025943443018782e-06,0.0,1.6372612859498935e-07,5.6006601336360133e-08,0.023148148148148147
4,300.0,300,1.0775432016442168e-07,1.0775431984495228e-07,1.6039803234814846e-06,0.0,1.637313910532838e-07,5.597707151373301e-08,0.03205546181136265
5,360.0,360,1.0778924486220867e-07,1.0778924454453277e-07,1.605366869554875e-06,0.0,1.637365471674425e-07,5.594730292651309e-08,0.12
6,420.0,420,1.0782430162815571e-07,1.078243013122918e-07,1.6067539849963316e-06,0.0,1.6374159464423314e-07,5.591729363372621e-08,0.0
7,480.0,480,1.0785949011994377e-07,1.0785948980589741e-07,1.6081416722799883e-06,0.0,1.637465311689974e-07,5.58870416630544e-08,0.0
8,540.0,540,1.0789481000642719e-07,1.0789480969421687e-07,1.609529933879979e-06,0.0,1.6375135440625027e-07,5.585654501014992e-08,0.0
9,600.0,600,1.0793026096897417e-07,1.0793026065861282e-07,1.6109187722709117e-06,0.0,1.6375606200035648e-07,5.582580163799551e-08,0.0
10,660.0,660,1.0796584270286455e-07,1.0796584239436881e-07,1.6123081899279553e-06,0.0,1.6376065157613538e-07,5.579480947614909e-08,0.0
11,720.0,720,1.080015549188005e-07,1.0800155461218332e-07,1.613698189327108e-06,0.0,1.6376512073973343e-07,5.576356642004759e-08,0.0
12,780.0,780,1.080373973444559e-07,1.0803739703973021e-07,1.6150887729455805e-06,0.0,1.6376946707941015e-07,5.5732070330275757e-08,0.0
13,840.0,840,1.080733697262329e-07,1.080733694234172e-07,1.6164799432621218e-06,0.0,1.6377368816650513e-07,5.5700319031768224e-08,0.0
14,900.0,900,1.0810947183099068e-07,1.0810947153009792e-07,1.6178717027572564e-06,0.0,1.6377778155639762e-07,5.566831031304504e-08,0.0
15,960.0,960,1.0814570344795917e-07,1.0814570314900783e-07,1.6192640539137862e-06,0.0,1.6378174478961955e-07,5.563604192541101e-08,0.0
16,1020.0,1020,1.0818206439077844e-07,1.0818206409377408e-07,1.6206569992172053e-06,0.0,1.637855753930464e-07,5.5603511582111686e-08,0.0
17,1080.0,1080,1.0821855449957514e-07,1.0821855420454917e-07,1.6220505411560255e-06,0.0,1.6378927088115065e-07,5.5570716957462456e-08,0.0
18,1140.0,1140,1.0825517364331248e-07,1.0825517335026306e-07,1.6234446822224563e-06,0.0,1.6379282875739426e-07,5.553765568600452e-08,0.0
19,1200.0,1200,1.0829192172207929e-07,1.0829192143103601e-07,1.624839424912583e-06,0.0,1.6379624651573534e-07,5.5504325361565595e-08,0.0
20,1260.0,1260,1.0832879866974704e-07,1.0832879838072099e-07,1.6262347717272538e-06,0.0,1.6379952164222401e-07,5.547072353634004e-08,0.0
21,1320.0,1320,1.0836580445660457e-07,1.0836580416961425e-07,1.6276307251724344e-06,0.0,1.6380265161674407e-07,5.543684771992742e-08,0.0
22,1380.0,1380,1.0840293909220553e-07,1.0840293880726202e-07,1.629027287759978e-06,0.0,1.638056339148619e-07,5.5402695378341436e-08,0.0
