,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost",E_Shift,P_Shift
0,60.0,60,42.236398931607354,42.236398931508724,171.12799614723266,0.0,42.23639999620112,1.06469242126849e-06,483.99323141330007,6.468922611079554e-13,-9.861544709869285e-11
1,120.0,120,42.236399018078956,42.236399018005024,171.7263451294325,0.0,42.236400080995715,1.0629907094643478e-06,0.3287671232876712,2.298547765607209e-13,-7.391074217215832e-11
2,180.0,180,42.23639910740147,42.236399107327706,172.32469411286195,0.0,42.23640016975213,1.0624244486027954e-06,0.04323985936321764,2.30747661980015e-13,-7.374166834692566e-11
3,240.0,240,42.23639920051515,42.236399200441575,172.92304309755824,0.0,42.236400262891536,1.0624499756537073e-06,0.023148148148148147,2.3093621870941313e-13,-7.355390946306021e-11
4,300.0,300,42.236399294934934,42.23639929486157,173.52139208357357,0.0,42.23640035725945,1.0623978920088714e-06,0.009341992564003648,2.307403890876951e-13,-7.333664706992558e-11
5,360.0,360,42.23639938986044,42.236399389787294,174.11974107092664,0.0,42.236400452056365,1.0622690953553348e-06,0.12,2.3071262641490206e-13,-7.312622925341886e-11
6,420.0,420,42.236399485038476,42.23639948496554,174.71809005962484,0.0,42.23640054712498,1.0621594630778122e-06,1000000.0,2.3073542851156736e-13,-7.291889871017315e-11
7,480.0,480,42.23639958028336,42.23639958021063,175.31643904967166,0.0,42.2364006423202,1.0621095922078573e-06,0.0,2.3074088022333546e-13,-7.271094158519816e-11
8,540.0,540,42.236399675443245,42.23639967537073,175.9147880410679,0.0,42.23640073748048,1.0621097759188607e-06,0.0,2.307290260467114e-13,-7.250190333789789e-11
9,600.0,600,42.23639977044584,42.23639977037353,176.51313703381228,0.0,42.23640083250871,1.0621351950481448e-06,0.0,2.307152678939154e-13,-7.229241686207348e-11
10,660.0,660,42.236399865281676,42.23639986520958,177.11148602790243,0.0,42.23640092737708,1.0621675267721143e-06,0.0,2.3070931762593394e-13,-7.208298993403929e-11
11,720.0,720,42.23639995996798,42.23639995989609,177.70983502333607,0.0,42.236401022094725,1.0621986568447883e-06,0.0,2.3071443397188053e-13,-7.18738768273961e-11
12,780.0,780,42.2364000545274,42.23640005445571,178.30818402011096,0.0,42.236401116682586,1.0622268991943623e-06,0.0,2.3073003943460323e-13,-7.166515476980856e-11
13,840.0,840,42.236400148980245,42.23640014890877,178.90653301822542,0.0,42.23640121116197,1.0622532198181616e-06,0.0,2.3075388465905866e-13,-7.145678861142862e-11
14,900.0,900,42.236400243342516,42.23640024327125,179.50488201767791,0.0,42.23640130555042,1.0622791919884773e-06,0.0,2.3078360060344235e-13,-7.124874747705781e-11
15,960.0,960,42.23640033762561,42.23640033755454,180.1032310184671,0.0,42.23640139986071,1.0623061872953035e-06,0.0,2.3081677410656535e-13,-7.104096614230319e-11
16,1020.0,1020,42.23640043183653,42.236400431765674,180.701580020592,0.0,42.23640149410082,1.0623351617053673e-06,0.0,2.3085145350484266e-13,-7.083338080418243e-11
17,1080.0,1080,42.236400525978446,42.23640052590781,181.29992902405138,0.0,42.236401588274454,1.0623666719300548e-06,0.0,2.3088635821473536e-13,-7.062597451264205e-11
18,1140.0,1140,42.236400620051256,42.23640061998082,181.89827802884443,0.0,42.236401682381754,1.062400960267298e-06,0.0,2.309202193745452e-13,-7.041868237737318e-11
19,1200.0,1200,42.236400714052316,42.23640071398208,182.4966270349701,0.0,42.23640177642011,1.0624380457291116e-06,0.0,2.3095264734288636e-13,-7.021150832137396e-11
20,1260.0,1260,42.236400807977205,42.23640080790718,183.09497604242733,0.0,42.23640187038497,1.0624778011391885e-06,0.0,2.309830502066798e-13,-7.000441851893735e-11
21,1320.0,1320,42.23640090182031,42.23640090175049,183.69332505121508,0.0,42.23640196427049,1.0625200119943276e-06,0.0,2.3101135904645033e-13,-6.979739731932339e-11
