,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost",E_Shift,P_Shift
0,60.0,60,20.44208817630918,20.44208832360301,23.904652967516764,0.0,20.442088357446156,3.384314430699243e-08,33.703122120407755,2.498859289171538e-13,1.4729382821997428e-07
1,120.0,120,20.295624151530088,20.295624164595477,24.194249218683197,0.0,20.29562419843872,3.38432373740104e-08,0.1643835616438356,2.455145464234609e-09,1.3065390235037156e-08
2,180.0,180,20.33764065972989,20.337640661038904,24.48177056093036,0.0,20.337640694882175,3.384326648935133e-08,0.04323985936321764,2.67290030532744e-09,1.3090195375786956e-09
3,240.0,240,20.419343453154802,20.419343453287123,24.769887136877134,0.0,20.4193434871304,3.384327488574043e-08,0.023148148148148147,2.694715604124844e-09,1.3232227930892755e-10
4,300.0,300,20.521210612738233,20.52121061275175,25.059161169047428,0.0,20.52121064659503,3.384327432463314e-08,0.009341992564003648,2.6969192785983147e-09,1.3519073157034049e-11
5,360.0,360,20.63793949775962,20.637939497761106,25.349878319310136,0.0,20.637939531604378,3.38432691090208e-08,0.12,2.6971429017191586e-09,1.4908395227328248e-12
6,420.0,420,20.76802418993456,20.76802418993482,25.642249128777138,0.0,20.768024223778085,3.384326104054156e-08,3.0,2.6971660584414022e-09,2.590390577982916e-13
7,480.0,480,20.911327413552925,20.91132741355305,25.93646280471661,0.0,20.911327447396307,3.384325095707535e-08,0.0,2.697168690378034e-09,1.240468510654595e-13
8,540.0,540,21.068346804220013,21.06834680422012,26.232706609657335,0.0,21.06834683806336,3.3843239279346974e-08,0.0,2.6971690784609727e-09,1.0319446291070445e-13
9,600.0,600,21.23998288971127,21.239982889711367,26.53117485596584,0.0,21.239982923554592,3.3843226225843673e-08,0.0,2.6971691257330047e-09,9.573770568490234e-14
10,660.0,660,21.427469963077176,21.427469963077268,26.832074613485478,0.0,21.42746999692048,3.384321190643355e-08,0.0,2.6971690560948068e-09,9.068596609116259e-14
11,720.0,720,21.632372153822143,21.63237215382223,27.135630437877797,0.0,21.632372187665425,3.38431963674748e-08,0.0,2.6971689102113372e-09,8.6435832840572e-14
