,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost",E_Shift,P_Shift
0,60.0,60,33.348144924466354,33.34815175808644,406.77937645465977,0.0,33.34815331823229,1.5601458570682157e-06,465.36095130677774,1.6520769492530348e-13,6.833620089464763e-06
1,120.0,120,33.348144926542446,33.34814554884838,407.2518086006656,0.0,33.34814711190682,1.5630584342023904e-06,0.26301369863013696,1.13893935198931e-07,6.223059360511693e-07
2,180.0,180,33.3481449301009,33.348144997422516,407.7242406586998,0.0,33.34814656128476,1.563862248185466e-06,0.04323985936321764,1.242657753631301e-07,6.732161015589505e-08
3,240.0,240,33.34814493021347,33.34814493884286,408.1966727089202,0.0,33.348146503040184,1.564197324539733e-06,0.023148148148148147,1.253878720383889e-07,8.629388500769947e-09
4,300.0,300,33.34814492926725,33.34814493096623,408.6691047583099,0.0,33.34814649532517,1.5643589433072458e-06,0.009341992564003648,1.255317643353567e-07,1.6989792325365104e-09
5,360.0,360,33.34814492747887,33.34814492804138,409.14153680758756,0.0,33.34814649247148,1.5644301005113438e-06,0.12,1.2556014978063576e-07,5.625088791953152e-10
6,420.0,420,33.34814492513845,33.34814492536429,409.61396885682365,0.0,33.34814648981114,1.5644468531843424e-06,3.0,1.2556959412808823e-07,2.2584113490750622e-10
7,480.0,480,33.348144922554766,33.34814492263556,410.08640090602177,0.0,33.34814648706478,1.5644292166299421e-06,0.0,1.2557342744258773e-07,8.07949013762803e-11
8,540.0,540,33.34814491994228,33.348144919957555,410.5588329551813,0.0,33.34814648434697,1.5643894123915108e-06,0.0,1.255748434224521e-07,1.52785302821812e-11
9,600.0,600,33.34814491742501,33.34814491741352,411.0312650043029,0.0,33.348146481748856,1.5643353422158999e-06,0.0,1.2557516756776373e-07,-1.1493233955927143e-11
10,660.0,660,33.348144915066996,33.348144915047236,411.50369705338863,0.0,33.348146479319574,1.5642723439749488e-06,0.0,1.255750456227213e-07,-1.976481073713157e-11
11,720.0,720,33.34814491289806,33.34814491287837,411.976129102441,0.0,33.348146477082466,1.5642040971032818e-06,0.0,1.2557478592381333e-07,-1.9687543046347727e-11
12,780.0,780,33.34814491093064,33.34814491091446,412.4485611514628,0.0,33.34814647504758,1.5641331127531514e-06,0.0,1.2557452761817673e-07,-1.6179568588880097e-11
13,840.0,840,33.34814490916906,33.34814490915743,412.920993200457,0.0,33.34814647321848,1.56406103962213e-06,0.0,1.2557432788390303e-07,-1.1619267306863574e-11
14,900.0,900,33.348144907613666,33.348144907606475,413.39342524942646,0.0,33.34814647159536,1.563988888834104e-06,0.0,1.2557420425946145e-07,-7.185289440341192e-12
15,960.0,960,33.348144906262625,33.348144906259165,413.8658572983741,0.0,33.34814647017638,1.5639172140310636e-06,0.0,1.2557415463919638e-07,-3.4559052457047952e-12
16,1020.0,1020,33.34814490511251,33.34814490511184,414.338289347303,0.0,33.34814646895809,1.5638462560520038e-06,0.0,1.2557416727972165e-07,-6.740829366173074e-13
17,1080.0,1080,33.34814490415877,33.348144904159895,414.8107213962156,0.0,33.34814646793595,1.563776055001677e-06,0.0,1.2557422638827266e-07,1.117533188305648e-12
18,1140.0,1140,33.34814490339621,33.34814490339821,415.283153445115,0.0,33.34814646710473,1.5637065329605052e-06,0.0,1.2557431546142555e-07,1.9923917891584353e-12
19,1200.0,1200,33.34814490281947,33.34814490282155,415.7555854940037,0.0,33.3481464664591,1.563637551975481e-06,0.0,1.2557441922000394e-07,2.082341155627492e-12
20,1260.0,1260,33.348144902423485,33.34814490242502,416.2280175428845,0.0,33.34814646599397,1.5635689525217034e-06,0.0,1.2557452458240723e-07,1.5393209905307293e-12
21,1320.0,1320,33.348144902203856,33.34814490220437,416.7004495917598,0.0,33.34814646570494,1.563500577326567e-06,0.0,1.2557462099944886e-07,5.122096303853357e-13
22,1380.0,1380,33.34814490215706,33.3481449021562,417.17288164063217,0.0,33.34814646558848,1.5634322847091802e-06,0.0,1.2557470040335757e-07,-8.653610894825017e-13
23,1440.0,1440,33.34814490228054,33.34814490227806,417.6453136895041,0.0,33.34814646564202,1.5633639547396711e-06,0.0,1.255747569536629e-07,-2.4801198177868542e-12
24,1500.0,1500,33.3481449025727,33.34814490256846,418.11774573837783,0.0,33.34814646586394,1.5632954907329695e-06,0.0,1.2557478669786502e-07,-4.240107119692853e-12
25,1560.0,1560,33.348144903032804,33.34814490302673,418.59017778725587,0.0,33.348146466253546,1.563226817926121e-06,0.0,1.2557478721622317e-07,-6.073453059470876e-12
26,1620.0,1620,33.34814490366086,33.34814490365293,419.06260983614055,0.0,33.34814646681081,1.563157880646453e-06,0.0,1.2557475728693858e-07,-7.926123260404897e-12
27,1680.0,1680,33.34814490445746,33.3481449044477,419.53504188503433,0.0,33.34814646753634,1.5630886388637224e-06,0.0,1.2557469658889137e-07,-9.759284604138213e-12
28,1740.0,1740,33.348144905423624,33.34814490541208,420.0074739339394,0.0,33.34814646843114,1.563019064696467e-06,0.0,1.2557460544828005e-07,-1.1546656854834595e-11
29,1800.0,1800,33.34814490656068,33.34814490654741,420.4799059828585,0.0,33.34814646949654,1.562949139211454e-06,0.0,1.2557448462942086e-07,-1.3272011504245777e-11
30,1860.0,1860,33.34814490787015,33.34814490785522,420.9523380317937,0.0,33.34814647073407,1.5628788496849845e-06,0.0,1.2557433516719425e-07,-1.4926934497060977e-11
31,1920.0,1920,33.34814490935366,33.34814490933715,421.42477008074775,0.0,33.34814647214534,1.5628081873876417e-06,0.0,1.255741582368214e-07,-1.6508882715515395e-11
32,1980.0,1980,33.348144911012874,33.348144910994854,421.8972021297228,0.0,33.348146473732,1.5627371458778445e-06,0.0,1.2557395505600993e-07,-1.8019556878441695e-11
33,2040.0,2040,33.34814491284948,33.34814491283001,422.3696341787217,0.0,33.34814647549573,1.5626657197517082e-06,0.0,1.2557372681420356e-07,-1.9463575473885258e-11
34,2100.0,2100,33.3481449148651,33.348144914844255,422.84206622774667,0.0,33.348146477438156,1.5625939037771223e-06,0.0,1.255734746239875e-07,-2.0847426843592485e-11
35,2160.0,2160,33.34814491706136,33.34814491703918,423.3144982768004,0.0,33.348146479560874,1.5625216923347442e-06,0.0,1.2557319948989746e-07,-2.2178668171895645e-11
36,2220.0,2220,33.348144919439804,33.348144919416335,423.78693032588535,0.0,33.34814648186542,1.5624490790936252e-06,0.0,1.2557290229060792e-07,-2.3465332694576947e-11
37,2280.0,2280,33.34814492200194,33.34814492197723,424.2593623750041,0.0,33.348146484353286,1.562376056856686e-06,0.0,1.2557258377100894e-07,-2.4715504162857344e-11
38,2340.0,2340,33.34814492474924,33.3481449247233,424.7317944241594,0.0,33.34814648702592,1.562302617523294e-06,0.0,1.2557224454136945e-07,-2.5937037041809103e-11
39,2400.0,2400,33.34814492768312,33.34814492765598,425.2042264733538,0.0,33.34814648988473,1.5622287521275913e-06,0.0,1.255718850811317e-07,-2.7137368236455823e-11
