,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost",E_Shift,P_Shift
0,60.0,60,33.91258984478192,33.912590497412495,27.00771374407793,0.0,33.91259124556238,7.481499052832252e-07,197.45563552712704,8.597816103483031e-13,6.526305946867947e-07
1,120.0,120,33.912589858674245,33.91258991761831,27.488142107586196,0.0,33.91259066863748,7.510191834217778e-07,0.3287671232876712,1.0878873179380872e-08,5.894408305777516e-08
2,180.0,180,33.912589857420976,33.91258986339978,27.96857046287354,0.0,33.91259061484453,7.514447692182773e-07,0.04323985936321764,1.1862136868683891e-08,5.978816826271257e-09
3,240.0,240,33.91258985485005,33.91258985542024,28.448998817391722,0.0,33.91259060696668,7.515464566297374e-07,0.023148148148148147,1.1962648484374831e-08,5.702084725485791e-10
4,300.0,300,33.912589852203276,33.91258985221706,28.929427171796608,0.0,33.91259060381827,7.516012293818626e-07,0.009341992564003648,1.1973017222074016e-08,1.3800383137597603e-11
5,360.0,360,33.91258984959007,33.91258984954694,29.409855526155976,0.0,33.912590601197714,7.516507944115278e-07,0.12,1.1974112927070594e-08,-4.311583154172011e-11
6,420.0,420,33.91258984701916,33.91258984696983,29.89028388047739,0.0,33.91259059867047,7.517006531280978e-07,15.0,1.1974260434890638e-08,-4.9314466164930465e-11
7,480.0,480,33.912589844492246,33.91258984444157,30.370712234762177,0.0,33.912590596192224,7.51750673386775e-07,0.0,1.1974305021583777e-08,-5.0666731582484727e-11
8,540.0,540,33.91258984201003,33.91258984195844,30.851140589011013,0.0,33.912590593758615,7.518001973028423e-07,0.0,1.1974327445272738e-08,-5.157239835344315e-11
9,600.0,600,33.91258983957239,33.912589839520045,31.331568943224553,0.0,33.91259059136883,7.518488050205334e-07,0.0,1.1974335135743728e-08,-5.232717698524792e-11
10,660.0,660,33.91258983717862,33.91258983712569,31.811997297403426,0.0,33.912590589021995,7.518963188808567e-07,0.0,1.1974330595147007e-08,-5.291614005006531e-11
11,720.0,720,33.91258983482766,33.9125898347743,32.29242565154826,0.0,33.912590586716995,7.519427101465334e-07,0.0,1.1974316575094932e-08,-5.3346763429297007e-11
12,780.0,780,33.91258983251822,33.91258983246456,32.77285400565967,0.0,33.912590584452566,7.519880252795611e-07,0.0,1.1974295703113402e-08,-5.3647775653634946e-11
13,840.0,840,33.91258983024888,33.91258983019501,33.253282359738236,0.0,33.91259058222734,7.520323420527968e-07,0.0,1.1974270128300728e-08,-5.385183439750763e-11
14,900.0,900,33.91258982801818,33.912589827964176,33.73371071378454,0.0,33.912590580039904,7.520757469244967e-07,0.0,1.1974241455750654e-08,-5.398746536621846e-11
15,960.0,960,33.912589825824654,33.91258982577056,34.21413906779914,0.0,33.912590577888864,7.521183245258873e-07,0.0,1.1974210815343894e-08,-5.407711562236438e-11
16,1020.0,1020,33.91258982366688,33.91258982361272,34.69456742178255,0.0,33.91259057577286,7.521601529703662e-07,0.0,1.197417896300356e-08,-5.413759313065194e-11
17,1080.0,1080,33.91258982154352,33.91258982148932,35.17499577573529,0.0,33.91259057369061,7.522013015419389e-07,0.0,1.1974146374638926e-08,-5.418097791202902e-11
18,1140.0,1140,33.912589819453395,33.91258981939916,35.655424129657845,0.0,33.91259057164097,7.522418293272641e-07,0.0,1.1974113324909331e-08,-5.421539730936375e-11
19,1200.0,1200,33.912589817395414,33.91258981734115,36.135852483550686,0.0,33.91259056962292,7.52281784461558e-07,0.0,1.1974079953073795e-08,-5.424565748645434e-11
20,1260.0,1260,33.9125898153687,33.912589815314405,36.616280837414266,0.0,33.9125905676356,7.523212040636908e-07,0.0,1.197404631832258e-08,-5.4273874569917765e-11
21,1320.0,1320,33.91258981337249,33.91258981331818,37.09670919124904,0.0,33.91259056567827,7.523601149293193e-07,0.0,1.197401244459289e-08,-5.4300176859692114e-11
22,1380.0,1380,33.912589811406185,33.912589811351836,37.57713754505545,0.0,33.912590563750356,7.523985348868193e-07,0.0,1.1973978353687729e-08,-5.4323446094782534e-11
23,1440.0,1440,33.91258980946923,33.912589809414875,38.05756589883389,0.0,33.91259056185133,7.524364745711242e-07,0.0,1.1973944086045336e-08,-5.4342005568609566e-11
24,1500.0,1500,33.91258980756122,33.91258980750685,38.5379942525848,0.0,33.91259055998077,7.524739393137365e-07,0.0,1.197390971004247e-08,-5.43541637933311e-11
25,1560.0,1560,33.91258980568175,33.91258980562737,39.01842260630858,0.0,33.912590558138284,7.525109308853437e-07,0.0,1.1973875322239873e-08,-5.435856445824521e-11
26,1620.0,1620,33.91258980383045,33.91258980377607,39.498850960005655,0.0,33.91259055632351,7.525474489271235e-07,0.0,1.1973841041800623e-08,-5.435434685444221e-11
27,1680.0,1680,33.91258980200696,33.9125898019526,39.97927931367641,0.0,33.91259055453608,7.525834920135913e-07,0.0,1.1973807002229022e-08,-5.4341159426172195e-11
28,1740.0,1740,33.91258980021094,33.91258980015661,40.45970766732123,0.0,33.91259055277565,7.526190583764615e-07,0.0,1.197377334288983e-08,-5.431908670081882e-11
29,1800.0,1800,33.91258979844201,33.91258979838771,40.94013602094053,0.0,33.91259055104183,7.526541463636648e-07,0.0,1.1973740201741852e-08,-5.4288543638185455e-11
30,1860.0,1860,33.91258979669979,33.91258979664553,41.42056437453466,0.0,33.91259054933426,7.526887547143785e-07,0.0,1.197370770983112e-08,-5.4250175699787397e-11
31,1920.0,1920,33.91258979498388,33.912589794929666,41.90099272810405,0.0,33.91259054765253,7.527228827167924e-07,0.0,1.1973675987449626e-08,-5.420478036736748e-11
32,1980.0,1980,33.9125897932939,33.912589793239725,42.38142108164903,0.0,33.91259054599624,7.527565302906034e-07,0.0,1.1973645141601118e-08,-5.4153252570448694e-11
33,2040.0,2040,33.91258979162942,33.91258979157531,42.861849435169994,0.0,33.91259054436499,7.527896980177427e-07,0.0,1.1973615264375057e-08,-5.4096547312536775e-11
34,2100.0,2100,33.91258978999005,33.912589789936,43.342277788667296,0.0,33.912590542758366,7.528223871292234e-07,0.0,1.1973586431941985e-08,-5.4035650779038615e-11
35,2160.0,2160,33.91258978837538,33.912589788321384,43.822706142141286,0.0,33.912590541175966,7.528545994557908e-07,0.0,1.1973558704035209e-08,-5.3971554018543096e-11
36,2220.0,2220,33.912589786785006,33.91258978673108,44.303134495592325,0.0,33.912590539617405,7.528863373462777e-07,0.0,1.1973532123862715e-08,-5.3905227187070336e-11
37,2280.0,2280,33.91258978521856,33.9125897851647,44.783562849020754,0.0,33.912590538082284,7.529176035632685e-07,0.0,1.1973506718457281e-08,-5.383759442139465e-11
38,2340.0,2340,33.91258978367566,33.91258978362187,45.26399120242691,0.0,33.91259053657025,7.529484011653854e-07,0.0,1.197348249943939e-08,-5.376951128166237e-11
39,2400.0,2400,33.912589782155955,33.91258978210223,45.74441955581113,0.0,33.912590535080945,7.529787333877512e-07,0.0,1.1973459464159164e-08,-5.370174737327305e-11
40,2460.0,2460,33.912589780659104,33.91258978060545,46.22484790917376,0.0,33.912590533614036,7.530086035299831e-07,0.0,1.1973437597128364e-08,-5.3634974769881296e-11
41,2520.0,2520,33.912589779184806,33.912589779131224,46.7052762625151,0.0,33.91259053216922,7.530380148592746e-07,0.0,1.1973416871644015e-08,-5.3569763515001894e-11
42,2580.0,2580,33.91258977773275,33.91258977767922,47.18570461583549,0.0,33.91259053074617,7.530669705331152e-07,0.0,1.1973397251488163e-08,-5.350658354117847e-11
43,2640.0,2640,33.91258977630265,33.912589776249185,47.666132969135234,0.0,33.91259052934464,7.530954735436691e-07,0.0,1.1973378692596314e-08,-5.3445811871703595e-11
44,2700.0,2700,33.91258977489425,33.91258977484084,48.14656132241465,0.0,33.91259052796435,7.531235266830626e-07,0.0,1.1973361144606428e-08,-5.3387744111522124e-11
45,2760.0,2760,33.912589773507285,33.91258977345393,48.62698967567404,0.0,33.91259052660505,7.53151132527009e-07,0.0,1.1973344552213435e-08,-5.333260904372208e-11
46,2820.0,2820,33.91258977214152,33.912589772088225,49.10741802891372,0.0,33.9125905252665,7.531782934325921e-07,0.0,1.1973328856286016e-08,-5.3280584504881956e-11
47,2880.0,2880,33.91258977079672,33.91258977074348,49.587846382133975,0.0,33.91259052394847,7.532050115459217e-07,0.0,1.1973313994711847e-08,-5.323181424120432e-11
48,2940.0,2940,33.912589769472675,33.91258976941947,50.06827473533511,0.0,33.912590522650746,7.532312888144268e-07,0.0,1.1973299902970226e-08,-5.3186424168082477e-11
49,3000.0,3000,33.91258976816915,33.91258976811598,50.548703088517435,0.0,33.91259052137309,7.53257126999244e-07,0.0,1.1973286514427215e-08,-5.3144537187630114e-11
50,3060.0,3060,33.91258976688592,33.912589766832795,51.02913144168122,0.0,33.91259052011531,7.532825276835687e-07,0.0,1.1973273760386413e-08,-5.310628704282533e-11
51,3120.0,3120,33.91258976562279,33.9125897655697,51.509559794826764,0.0,33.91259051887718,7.533074922740951e-07,0.0,1.197326156990882e-08,-5.307182947543726e-11
52,3180.0,3180,33.91258976437953,33.912589764326476,51.98998814795435,0.0,33.91259051765849,7.533320219934161e-07,0.0,1.1973249869447726e-08,-5.3041351811717476e-11
53,3240.0,3240,33.91258976315592,33.912589763102886,52.470416501064264,0.0,33.91259051645899,7.533561178635069e-07,0.0,1.1973238582321993e-08,-5.301508013301675e-11
54,3300.0,3300,33.912589761951736,33.91258976189872,52.95084485415679,0.0,33.91259051527849,7.533797806837002e-07,0.0,1.197322762807125e-08,-5.299328706890977e-11
55,3360.0,3360,33.91258976076672,33.91258976071373,53.431273207232195,0.0,33.91259051411673,7.534030110088864e-07,0.0,1.1973216921681723e-08,-5.297630019745949e-11
56,3420.0,3420,33.91258975960064,33.91258975954767,53.91170156029076,0.0,33.91259051297346,7.534258091395112e-07,0.0,1.1973206372670127e-08,-5.2964517069186343e-11
57,3480.0,3480,33.912589758453244,33.91258975840026,54.39212991333274,0.0,33.91259051184842,7.534481751410858e-07,0.0,1.1973195883919206e-08,-5.295843033197945e-11
58,3540.0,3540,33.91258975732422,33.91258975727124,54.87255826635841,0.0,33.91259051074134,7.534701089145874e-07,0.0,1.1973185350092536e-08,-5.295867098870079e-11
59,3600.0,3600,33.91258975621329,33.91258975616031,55.35298661936803,0.0,33.9125905096519,7.534916103455509e-07,0.0,1.1973174655331878e-08,-5.296606989539357e-11
60,3660.0,3660,33.912589755120116,33.91258975506712,55.833414972361865,0.0,33.91259050857979,7.535126795604361e-07,0.0,1.1973163669923208e-08,-5.298173323231694e-11
61,3720.0,3720,33.912589754044355,33.91258975399133,56.31384332534015,0.0,33.91259050752462,7.535333173299664e-07,0.0,1.1973152245708864e-08,-5.300711053777532e-11
62,3780.0,3780,33.912589752985575,33.91258975293251,56.794271678303154,0.0,33.91259050648602,7.535535256884289e-07,0.0,1.1973140210363515e-08,-5.30440187456896e-11
63,3840.0,3840,33.91258975194336,33.91258975189024,57.2747000312511,0.0,33.912590505463534,7.535733089474422e-07,0.0,1.197312736126174e-08,-5.309461035260923e-11
64,3900.0,3900,33.91258975091716,33.91258975086398,57.755128384184246,0.0,33.91259050445664,7.535926755268136e-07,0.0,1.1973113459879812e-08,-5.3161421962135524e-11
65,3960.0,3960,33.91258974990636,33.91258974985308,58.23555673710279,0.0,33.91259050346471,7.536116414279882e-07,0.0,1.1973098225373865e-08,-5.3248110863875655e-11
66,4020.0,4020,33.912589748910165,33.91258974885678,58.71598509000697,0.0,33.912590502487,7.536302364408637e-07,0.0,1.1973081315878885e-08,-5.336260680609354e-11
