,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost",E_Shift,P_Shift
0,60.0,60,18.710768744991682,18.710773516642494,172.54908340052762,0.0,18.71077386253769,3.458952019624202e-07,206.47794401151816,1.1572468098114233e-10,4.771650820274699e-06
1,120.0,120,18.710768744954535,18.71076916695904,172.8141526911462,0.0,18.71076951285339,3.458943588630698e-07,0.4931506849315068,7.964367723081386e-08,4.220045126034763e-07
2,180.0,180,18.710768744951128,18.710768787116628,173.07922192014425,0.0,18.710769133010828,3.4589420718092925e-07,0.04323985936321764,8.667753059148088e-08,4.216550591278573e-08
3,240.0,240,18.710768744951856,18.71076874916612,173.3442911437612,0.0,18.71076909506026,3.458941486106177e-07,0.023148148148148147,8.738073362064243e-08,4.214273479271831e-09
4,300.0,300,18.710768744953416,18.71076874534928,173.60936036684052,0.0,18.710769091243385,3.4589411144045773e-07,0.009341992564003648,8.745141587843705e-08,3.958737689772103e-10
5,360.0,360,18.71076874495524,18.710768744968576,173.8744295898658,0.0,18.710769090862648,3.4589408128038047e-07,0.12,8.745845804492194e-08,1.3343548402876206e-11
6,420.0,420,18.71076874495718,18.71076874493303,174.13949881288565,0.0,18.71076909082708,3.458940540297725e-07,1.0,8.745912465809762e-08,-2.4137296731640938e-11
7,480.0,480,18.71076874495919,18.71076874493178,174.40456803590502,0.0,18.710769090825803,3.458940281634766e-07,0.0,8.745916655402965e-08,-2.7398648622076684e-11
8,540.0,540,18.710768744961243,18.710768744933777,174.66963725892433,0.0,18.71076909082777,3.4589400300555897e-07,0.0,8.745915406059531e-08,-2.7458424333830624e-11
9,600.0,600,18.710768744963335,18.710768744936015,174.93470648194372,0.0,18.710769090829984,3.458939782189148e-07,0.0,8.745914053724666e-08,-2.7312505381287768e-11
10,660.0,660,18.71076874496546,18.710768744938246,175.19977570496312,0.0,18.71076909083219,3.458939536192216e-07,0.0,8.745912941108676e-08,-2.7205373407251492e-11
11,720.0,720,18.71076874496761,18.710768744940466,175.46484492798257,0.0,18.710769090834386,3.458939290971165e-07,0.0,8.745912003425556e-08,-2.7134576601790836e-11
12,780.0,780,18.710768744969783,18.71076874494269,175.72991415100205,0.0,18.710769090836585,3.458939045826393e-07,0.0,8.745911179975303e-08,-2.708628243063244e-11
13,840.0,840,18.710768744971983,18.710768744944925,175.99498337402153,0.0,18.710769090838795,3.4589388002786466e-07,0.0,8.745910433121464e-08,-2.7051899397440513e-11
14,900.0,900,18.710768744974207,18.71076874494717,176.26005259704107,0.0,18.71076909084102,3.45893855397963e-07,0.0,8.745909739559629e-08,-2.7026546809371937e-11
15,960.0,960,18.710768744976452,18.710768744949437,176.52512182006066,0.0,18.71076909084326,3.458938306663876e-07,0.0,8.745909084132953e-08,-2.7007377620279884e-11
16,1020.0,1020,18.710768744978722,18.71076874495172,176.79019104308023,0.0,18.710769090845517,3.458938058121043e-07,0.0,8.745908456442327e-08,-2.6992651475418093e-11
17,1080.0,1080,18.71076874498101,18.710768744954024,177.05526026609985,0.0,18.710769090847794,3.45893780817952e-07,0.0,8.745907849000691e-08,-2.6981249833297808e-11
18,1140.0,1140,18.710768744983323,18.71076874495634,177.32032948911953,0.0,18.71076909085009,3.458937556695699e-07,0.0,8.74590725619545e-08,-2.697241864913182e-11
19,1200.0,1200,18.710768744985657,18.71076874495868,177.5853987121392,0.0,18.710769090852406,3.4589373035471253e-07,0.0,8.74590667367973e-08,-2.6965626765494875e-11
20,1260.0,1260,18.710768744988012,18.710768744961044,177.85046793515892,0.0,18.71076909085474,3.4589370486272563e-07,0.0,8.74590609799996e-08,-2.6960486252765592e-11
21,1320.0,1320,18.71076874499039,18.710768744963424,178.1155371581787,0.0,18.710769090857095,3.458936791841793e-07,0.0,8.745905526355968e-08,-2.6956705374682678e-11
22,1380.0,1380,18.710768744992787,18.710768744965826,178.3806063811985,0.0,18.71076909085947,3.458936533105807e-07,0.0,8.745904956439957e-08,-2.6954060205504883e-11
23,1440.0,1440,18.71076874499521,18.710768744968252,178.6456756042183,0.0,18.71076909086187,3.458936272341509e-07,0.0,8.745904386322663e-08,-2.6952376193192216e-11
24,1500.0,1500,18.710768744997655,18.710768744970693,178.91074482723818,0.0,18.71076909086429,3.458936009476493e-07,0.0,8.745903814370518e-08,-2.6951516197699676e-11
25,1560.0,1560,18.710768745000124,18.710768744973166,179.17581405025808,0.0,18.71076909086673,3.458935744442224e-07,0.0,8.745903239182606e-08,-2.6951371618945908e-11
26,1620.0,1620,18.710768745002614,18.710768744975653,179.44088327327802,0.0,18.710769090869192,3.458935477173138e-07,0.0,8.745902659542711e-08,-2.695185676167762e-11
27,1680.0,1680,18.710768745005126,18.710768744978164,179.705952496298,0.0,18.71076909087168,3.4589352076054484e-07,0.0,8.745902074380704e-08,-2.695290369670436e-11
28,1740.0,1740,18.710768745007666,18.7107687449807,179.971021719318,0.0,18.710769090874187,3.458934935676603e-07,0.0,8.745901482742681e-08,-2.6954459104162538e-11
