,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost",E_Shift,P_Shift
0,60.0,60,22.87425343053402,22.874253467843264,14.495351682992467,0.0,22.874253525992255,5.814899193551548e-08,142.04333345037347,4.59449711993841e-13,3.7309247286477954e-08
1,120.0,120,22.62902218356545,22.629022186854677,14.819403606975586,0.0,22.629022245045856,5.819118113678515e-08,0.1643835616438356,6.228126136049578e-10,3.289228515651579e-09
2,180.0,180,22.47982066517126,22.4798206654753,15.139981421144594,0.0,22.479820723672944,5.819764308475854e-08,0.04323985936321764,6.781190633299765e-10,3.0404100920694154e-10
3,240.0,240,22.345327853251586,22.345327853256563,15.458445547094044,0.0,22.34532791145581,5.819924695878316e-08,0.023148148148148147,6.836696728394983e-10,4.979104267754433e-12
4,300.0,300,22.215851978422357,22.215851978397023,15.775004358203725,0.0,22.215852036597173,5.8200149902739746e-08,0.009341992564003648,6.842357810419087e-10,-2.533172010529651e-11
5,360.0,360,22.08980211055933,22.089802110530872,16.089728927752894,0.0,22.089802168731833,5.8200957622426e-08,0.12,6.842967101262506e-10,-2.8459126414880373e-11
6,420.0,420,21.966821688195033,21.966821688166206,16.40266779084062,0.0,21.96682174636796,5.8201750788653736e-08,20.0,6.843055221834906e-10,-2.8823020980868427e-11
7,480.0,480,21.84674841889534,21.846748418866444,16.713864431278182,0.0,21.846748477068978,5.820253402270639e-08,0.0,6.843082743078708e-10,-2.889651748672966e-11
8,540.0,540,21.729449509950115,21.72944950992119,17.023360033733997,0.0,21.72944956812449,5.820330438265333e-08,0.0,6.843098043528201e-10,-2.8931303325545496e-11
9,600.0,600,21.614800708762615,21.614800708733664,17.33119390164642,0.0,21.614800766937726,5.820406069583479e-08,0.0,6.843107552995151e-10,-2.895478990261543e-11
10,660.0,660,21.50268615158811,21.50268615155914,17.637403578208676,0.0,21.502686209763944,5.820480375995478e-08,0.0,6.843113134563824e-10,-2.8971649729252432e-11
11,720.0,720,21.392999024171772,21.39299902414279,17.942024965210962,0.0,21.392999082348325,5.820553546287948e-08,0.0,6.843115875564112e-10,-2.8983867520311843e-11
12,780.0,780,21.285641181612885,21.28564118158389,18.24509245124152,0.0,21.28564123979015,5.8206258062309466e-08,0.0,6.843116535829561e-10,-2.89927415936164e-11
13,840.0,840,21.180522356800992,21.18052235677199,18.546639034502483,0.0,21.180522414978963,5.820697373695067e-08,0.0,6.843115661898566e-10,-2.899917630516814e-11
14,900.0,900,21.077559379358735,21.07755937932973,18.84669643441195,0.0,21.077559437537417,5.820768434897284e-08,0.0,6.843113652176113e-10,-2.9003806838286995e-11
15,960.0,960,20.976675468825984,20.976675468796977,19.145295192140978,0.0,20.976675527005366,5.82083913509949e-08,0.0,6.843110801144984e-10,-2.9007080366154025e-11
16,1020.0,1020,20.877799532727384,20.877799532698376,19.442464761137458,0.0,20.87779959090747,5.8209095787129105e-08,0.0,6.843107330024083e-10,-2.9009309209500512e-11
17,1080.0,1080,20.780865421726844,20.780865421697833,19.738233587705878,0.0,20.780865479907632,5.82097983498327e-08,0.0,6.843103408665038e-10,-2.901070737696052e-11
18,1140.0,1140,20.685811156748123,20.68581115671911,20.032629181035112,0.0,20.685811214929608,5.8210499462373534e-08,0.0,6.843099171532311e-10,-2.9011418235723145e-11
19,1200.0,1200,20.59257818353151,20.5925781835025,20.32567817227715,0.0,20.5925782417137,5.821119936330206e-08,0.0,6.843094729270177e-10,-2.9011536769176304e-11
20,1260.0,1260,20.50111071478361,20.5011107147546,20.61740636306529,0.0,20.5011107729665,5.8211898177272494e-08,0.0,6.843090176735869e-10,-2.9011127417964305e-11
21,1320.0,1320,20.41135520111324,20.411355201084227,20.907838764712828,0.0,20.411355259296823,5.8212595964924726e-08,0.0,6.843085598180513e-10,-2.9010237793377285e-11
22,1380.0,1380,20.3232599461022,20.323259946073193,21.1969996299167,0.0,20.323260004286485,5.821329275200133e-08,0.0,6.843081070206918e-10,-2.9008908746435905e-11
23,1440.0,1440,20.236774859323578,20.23677485929457,21.48491247900792,0.0,20.23677491750856,5.821398854244087e-08,0.0,6.843076663049301e-10,-2.900718134071014e-11
24,1500.0,1500,20.151851327297,20.151851327267995,21.771600122703102,0.0,20.151851385482676,5.82146833219547e-08,0.0,6.843072440661161e-10,-2.9005101252861495e-11
