,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost",E_Shift,P_Shift
0,60.0,60,2.1959185971401033e-07,2.4532956819105014e-07,1.791067010516887e-05,0.0,2.936823556789597e-07,4.835278782980737e-08,2.2184927365729625e-05,7.461350085026932e-14,2.5737708813382523e-08
1,120.0,120,2.282991530124614e-07,2.30692571576842e-07,1.791402468743662e-05,0.0,2.79514809289507e-07,4.882223801644665e-08,0.06575342465753424,4.2905735840911924e-10,2.393418891124982e-09
2,180.0,180,2.291763393680734e-07,2.2942651672870845e-07,1.7917170738858386e-05,0.0,2.7829729064776894e-07,4.887077423234691e-08,0.04323985936321764,4.689646715963825e-10,2.5017766923435074e-10
3,240.0,240,2.293006965943192e-07,2.2932630552221338e-07,1.7920298733393286e-05,0.0,2.7820418023323906e-07,4.8877875020793315e-08,0.023148148148148147,4.73150568417111e-10,2.5609234924330914e-11
4,300.0,300,2.293453565298201e-07,2.2934722107229085e-07,1.7923425290749402e-05,0.0,2.782277288442039e-07,4.888050806635534e-08,0.009341992564003648,4.735935276895615e-10,1.864859542254855e-12
5,360.0,360,2.2938231652875872e-07,2.2938166952313136e-07,1.792655213805941e-05,0.0,2.782637354056798e-07,4.888206618015938e-08,0.12,4.736407101629797e-10,-6.466965601773834e-13
6,420.0,420,2.2942001214991577e-07,2.2941910821151844e-07,1.7929679469727452e-05,0.0,2.7830148538140643e-07,4.8882377475140966e-08,20.0,4.73646002524527e-10,-9.036420395365157e-13
7,480.0,480,2.2945945734614074e-07,2.2945856204569866e-07,1.7932807331233492e-05,0.0,2.7833986862097186e-07,4.888130687828152e-08,0.0,4.736469715317098e-10,-8.950070113383493e-13
8,540.0,540,2.2950043970871325e-07,2.2949960494112317e-07,1.7935935754580014e-05,0.0,2.7837868940323595e-07,4.8879084746934925e-08,0.0,4.736480270716838e-10,-8.344603468980115e-13
9,600.0,600,2.2954246086687348e-07,2.295416985381615e-07,1.7939064765158984e-05,0.0,2.7841782935852833e-07,4.8876131109235115e-08,0.0,4.736500163744481e-10,-7.620299896921202e-13
10,660.0,660,2.2958503318957377e-07,2.295843328833592e-07,1.794219437968534e-05,0.0,2.784571882511191e-07,4.8872855662330465e-08,0.0,4.736531220719515e-10,-7.000177975573801e-13
11,720.0,720,2.2962779824046938e-07,2.2962713609171113e-07,1.7945324606623673e-05,0.0,2.7849669126399944e-07,4.8869555464673686e-08,0.0,4.73657159274119e-10,-6.618624778625104e-13
12,780.0,780,2.296705472785841e-07,2.2966989519034112e-07,1.79484554484295e-05,0.0,2.785362966678734e-07,4.886640175114649e-08,0.0,4.736617227224951e-10,-6.51787584638012e-13
13,840.0,840,2.2971319563787156e-07,2.2971252839552746e-07,1.7951586904113865e-05,0.0,2.785759965144562e-07,4.886346839915917e-08,0.0,4.736663389530977e-10,-6.669532948516389e-13
14,900.0,900,2.2975574508042902e-07,2.2975504411141168e-07,1.7954718971341777e-05,0.0,2.786158107283975e-07,4.886076689011856e-08,0.0,4.736705828173276e-10,-7.006774874775463e-13
15,960.0,960,2.297982497005356e-07,2.2979750423508725e-07,1.795785164786986e-05,0.0,2.7865577768643763e-07,4.885827372682021e-08,0.0,4.736741409096319e-10,-7.451808605151836e-13
16,1020.0,1020,2.298407898278878e-07,2.2983999621128023e-07,1.7960984932390947e-05,0.0,2.786959444932066e-07,4.885594855273685e-08,0.0,4.736768297299153e-10,-7.933320394265058e-13
17,1080.0,1080,2.2988345381375318e-07,2.298826140552169e-07,1.7964118824936987e-05,0.0,2.787363590008904e-07,4.885374522115623e-08,0.0,4.736785850007229e-10,-8.394834216577289e-13
18,1140.0,1140,2.2992632628724664e-07,2.2992544631773783e-07,1.796725332698749e-05,0.0,2.78777064330301e-07,4.885161827801207e-08,0.0,4.736794370951087e-10,-8.796891551573419e-13
19,1200.0,1200,2.2996948132134295e-07,2.2996856946637786e-07,1.79703884413888e-05,0.0,2.7881809578315044e-07,4.8849526583842935e-08,0.0,4.736794827729288e-10,-9.115806749943828e-13
20,1260.0,1260,2.3001297911723377e-07,2.3001204474892619e-07,1.7973524172176298e-05,0.0,2.7885947962673107e-07,4.884743513732556e-08,0.0,4.736788589122812e-10,-9.340913455637699e-13
