,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost",E_Shift,P_Shift
0,60.0,60,10.141287501095926,10.1412882700074,49.829315176711646,0.0,10.141289219283768,9.492763676075621e-07,122.23810051014782,2.0478384747288001e-13,7.689114728049717e-07
1,120.0,120,10.141287597049923,10.141287670981901,49.972983424830275,0.0,10.141288641781804,9.707999018135957e-07,0.1643835616438356,1.28152837683732e-08,7.393197570608827e-08
2,180.0,180,10.141287614748748,10.14128762380036,50.11665166440889,0.0,10.141288599024927,9.75224566132002e-07,0.04323985936321764,1.4047375143572548e-08,9.051609791682939e-09
3,240.0,240,10.141287619952088,10.141287621409194,50.26031990330805,0.0,10.141288597773315,9.763641196919455e-07,0.023148148148148147,1.419812777451195e-08,1.4571057409655555e-09
4,300.0,300,10.141287622736622,10.141287623130852,50.40398814217047,0.0,10.141288599897354,9.767665007958564e-07,0.009341992564003648,1.4222305904277013e-08,3.9422974047381544e-10
5,360.0,360,10.141287625158467,10.141287625340604,50.54765638105629,0.0,10.141288602297758,9.769571537175487e-07,0.12,1.4228769943761764e-08,1.8213551039049794e-10
6,420.0,420,10.141287627666816,10.141287627776642,50.69132461997293,0.0,10.141288604848633,9.77071990469794e-07,15.0,1.4231699544818533e-08,1.098252193804849e-10
7,480.0,480,10.141287630337457,10.141287630408915,50.8349928589238,0.0,10.141288607562917,9.771540022722493e-07,0.0,1.4233424410098451e-08,7.14550676264126e-11
8,540.0,540,10.141287633171059,10.141287633216981,50.97866109791175,0.0,10.14128861043543,9.772184468983313e-07,0.0,1.4234510188877648e-08,4.592225228002503e-11
9,600.0,600,10.141287636159399,10.14128763618659,51.12232933693933,0.0,10.141288613457794,9.772712054630447e-07,0.0,1.4235170823543815e-08,2.7188312139611544e-11
10,660.0,660,10.141287639293589,10.141287639306524,51.265997576008836,0.0,10.141288616621472,9.77314947300864e-07,0.0,1.4235519619822176e-08,1.2934210036918862e-11
11,720.0,720,10.141287642562657,10.141287642564697,51.40966581512243,0.0,10.141288619916006,9.773513088199746e-07,0.0,1.423563123581625e-08,2.038770801639323e-12
12,780.0,780,10.141287645952502,10.141287645946317,51.55333405428209,0.0,10.141288623327934,9.773816185169573e-07,0.0,1.4235561645448534e-08,-6.18676485097426e-12
13,840.0,840,10.141287649445736,10.14128764943348,51.697002293489575,0.0,10.141288626840565,9.774070868222596e-07,0.0,1.423535534470606e-08,-1.2259619625488083e-11
14,900.0,900,10.141287653022061,10.141287653005458,51.84067053274641,0.0,10.141288630434275,9.774288143379256e-07,0.0,1.4235048210025203e-08,-1.6603995986192322e-11
15,960.0,960,10.141287656659086,10.141287656639522,51.98433877205378,0.0,10.141288634087278,9.77447757031822e-07,0.0,1.4234669048183158e-08,-1.956728067156218e-11
16,1020.0,1020,10.141287660333543,10.141287660312118,52.12800701141259,0.0,10.141288637776821,9.774647005410936e-07,0.0,1.4234240876236688e-08,-2.1423599721451335e-11
17,1080.0,1080,10.141287664022695,10.141287664000313,52.27167525082339,0.0,10.141288641480573,9.774802580922664e-07,0.0,1.4233782142339678e-08,-2.2381529873541664e-11
18,1140.0,1140,10.14128766770571,10.141287667683114,52.4153434902864,0.0,10.141288645178005,9.774948894424925e-07,0.0,1.4233307818168572e-08,-2.259763492821379e-11
19,1200.0,1200,10.141287671364703,10.141287671342512,52.559011729801554,0.0,10.141288648851447,9.775089316390782e-07,0.0,1.4232830265828335e-08,-2.2192217613905675e-11
20,1260.0,1260,10.141287674985332,10.141287674964069,52.702679969368496,0.0,10.1412886524867,9.775226319156848e-07,0.0,1.4232359842287991e-08,-2.1263458809285234e-11
21,1320.0,1320,10.141287678556978,10.141287678537081,52.846348208986726,0.0,10.14128865607326,9.775361758613736e-07,0.0,1.4231905268179876e-08,-1.9897806824153416e-11
22,1380.0,1380,10.141287682072585,10.14128768205441,52.99001644865553,0.0,10.14128865960412,9.775497077625113e-07,0.0,1.4231473823428057e-08,-1.8176257968867982e-11
23,1440.0,1440,10.141287685528265,10.14128768551209,53.13368468837413,0.0,10.141288663075434,9.77563343103264e-07,0.0,1.4231071438178346e-08,-1.6177251371622357e-11
24,1500.0,1500,10.141287688922809,10.141287688908832,53.277352928141674,0.0,10.141288666486007,9.775771749177574e-07,0.0,1.423070273544595e-08,-1.397723396275466e-11
25,1560.0,1560,10.141287692257148,10.1412876922455,53.421021167957306,0.0,10.141288669836776,9.77591276165009e-07,0.0,1.4230371064326914e-08,-1.1649831094485113e-11
26,1620.0,1620,10.141287695533869,10.141287695524605,53.564689407820175,0.0,10.141288673130306,9.776057000497347e-07,0.0,1.4230078547009125e-08,-9.264313360978987e-12
27,1680.0,1680,10.14128769875674,10.141287698749856,53.70835764772947,0.0,10.141288676370337,9.7762047970453e-07,0.0,1.4229826151331168e-08,-6.883836716646348e-12
28,1740.0,1740,10.141287701930322,10.14128770192576,53.852025887684405,0.0,10.141288679561388,9.776356281387934e-07,0.0,1.4229613792668907e-08,-4.563804106036607e-12
29,1800.0,1800,10.14128770505961,10.14128770505726,53.995694127684295,0.0,10.141288682708401,9.776511389409121e-07,0.0,1.42294404631235e-08,-2.3506032147148996e-12
30,1860.0,1860,10.14128770814976,10.14128770814948,54.139362367728516,0.0,10.14128868581647,9.77666987889059e-07,0.0,1.4229304381757383e-08,-2.80877899068647e-13
31,1920.0,1920,10.141287711205855,10.141287711207475,54.2830306078165,0.0,10.141288688890612,9.776831353925774e-07,0.0,1.4229203156968963e-08,1.6186025514576658e-12
32,1980.0,1980,10.141287714232742,10.141287714236075,54.42669884794776,0.0,10.141288691935605,9.77699529536122e-07,0.0,1.4229133951053138e-08,3.3305131072506564e-12
33,2040.0,2040,10.141287717234906,10.141287717239752,54.57036708812189,0.0,10.141288694955863,9.777161094321474e-07,0.0,1.422909363759408e-08,4.84608630909503e-12
34,2100.0,2100,10.14128772021638,10.141287720222545,54.714035328338525,0.0,10.141288697955355,9.777328085880579e-07,0.0,1.4229078944079285e-08,6.163913317556408e-12
35,2160.0,2160,10.14128772318072,10.141287723188011,54.85770356859737,0.0,10.14128870093757,9.777495580444235e-07,0.0,1.4229086574537115e-08,7.288584945000522e-12
36,2220.0,2220,10.141287726130981,10.141287726139213,55.0013718088982,0.0,10.141288703905502,9.777662891091713e-07,0.0,1.4229113309522266e-08,8.229306322925571e-12
37,2280.0,2280,10.141287729069719,10.141287729078718,55.14504004924078,0.0,10.141288706861653,9.777829355919666e-07,0.0,1.422915608302263e-08,8.998588185381792e-12
38,2340.0,2340,10.141287731999014,10.141287732008628,55.288708289624964,0.0,10.141288709808062,9.777994355061775e-07,0.0,1.4229212037542017e-08,9.611083728234755e-12
39,2400.0,2400,10.141287734920516,10.141287734930598,55.43237653005062,0.0,10.14128871274633,9.77815732260566e-07,0.0,1.422927855981306e-08,1.008260641258656e-11
40,2460.0,2460,10.141287737835466,10.141287737845895,55.576044770517626,0.0,10.141288715677671,9.778317753917065e-07,0.0,1.422935330012779e-08,1.0429340454527748e-11
41,2520.0,2520,10.141287740744758,10.141287740755427,55.7197130110259,0.0,10.141288718602947,9.778475209111665e-07,0.0,1.4229434178521177e-08,1.0667235114540091e-11
42,2580.0,2580,10.141287743648963,10.141287743659776,55.86338125157535,0.0,10.14128872152271,9.778629313430338e-07,0.0,1.4229519380849918e-08,1.0811564778699226e-11
43,2640.0,2640,10.141287746548391,10.14128774655927,56.0070494921659,0.0,10.141288724437246,9.77877975527978e-07,0.0,1.4229607347547182e-08,1.0876629543926e-11
44,2700.0,2700,10.141287749443112,10.141287749453989,56.15071773279749,0.0,10.141288727346616,9.778926282604427e-07,0.0,1.4229696757385576e-08,1.0875570629369527e-11
45,2760.0,2760,10.14128775233301,10.14128775234383,56.29438597347004,0.0,10.1412887302507,9.779068698163858e-07,0.0,1.4229786508158867e-08,1.08202754124456e-11
46,2820.0,2820,10.141287755217801,10.141287755228523,56.438054214183516,0.0,10.14128873314921,9.779206854180745e-07,0.0,1.4229875695788758e-08,1.0721350317437855e-11
47,2880.0,2880,10.141287758097084,10.141287758107671,56.58172245493781,0.0,10.141288736041737,9.779340646711575e-07,0.0,1.4229963592970926e-08,1.0588142362020595e-11
48,2940.0,2940,10.141287760970341,10.141287760980772,56.725390695732855,0.0,10.141288738927773,9.779470010022592e-07,0.0,1.4230049628191488e-08,1.042879487450628e-11
49,3000.0,3000,10.141287763836988,10.14128776384724,56.86905893656858,0.0,10.141288741806733,9.779594911149766e-07,0.0,1.4230133365658413e-08,1.0250324207975502e-11
50,3060.0,3060,10.141287766696378,10.141287766706435,57.01272717744489,0.0,10.14128874467797,9.779715344779617e-07,0.0,1.423021448652508e-08,1.0058709563046965e-11
51,3120.0,3120,10.141287769547816,10.141287769557676,57.15639541836165,0.0,10.141288747540811,9.779831328527462e-07,0.0,1.4230292771600459e-08,9.858988348096185e-12
52,3180.0,3180,10.141287772390593,10.141287772400249,57.30006365931879,0.0,10.141288750394539,9.779942898655035e-07,0.0,1.4230368085652167e-08,9.655352957278763e-12
53,3240.0,3240,10.141287775223981,10.141287775233435,57.443731900316166,0.0,10.141288753238445,9.780050106250078e-07,0.0,1.423044036332635e-08,9.451244478484376e-12
54,3300.0,3300,10.141287778047246,10.141287778056498,57.58740014135364,0.0,10.1412887560718,9.78015301385007e-07,0.0,1.423050959662275e-08,9.249442853722092e-12
55,3360.0,3360,10.14128778085967,10.141287780868721,57.7310683824311,0.0,10.141288758893891,9.78025169250646e-07,0.0,1.423057582387698e-08,9.052150629683867e-12
56,3420.0,3420,10.141287783660532,10.141287783669394,57.874736623548365,0.0,10.141288761704017,9.780346219252079e-07,0.0,1.4230639120136667e-08,8.861070114859173e-12
57,3480.0,3480,10.141287786449142,10.141287786457822,58.01840486470529,0.0,10.141288764501489,9.780436674947603e-07,0.0,1.4230699588824522e-08,8.677474029960429e-12
58,3540.0,3540,10.141287789224828,10.141287789233331,58.16207310590169,0.0,10.141288767285648,9.780523142469906e-07,0.0,1.423075735457693e-08,8.502269167173019e-12
59,3600.0,3600,10.141287791986944,10.141287791995282,58.305741347137385,0.0,10.141288770055853,9.780605705204817e-07,0.0,1.4230812557147215e-08,8.336053239582399e-12
60,3660.0,3660,10.141287794734872,10.141287794743054,58.44940958841219,0.0,10.1412887728115,9.780684445817802e-07,0.0,1.4230865346252084e-08,8.179166013526034e-12
61,3720.0,3720,10.141287797468022,10.141287797476057,58.5930778297259,0.0,10.141288775552002,9.780759445262404e-07,0.0,1.4230915877275591e-08,8.0317336630749e-12
62,3780.0,3780,10.141287800185838,10.141287800193732,58.73674607107831,0.0,10.14128877827681,9.780830782002234e-07,0.0,1.4230964307704329e-08,7.893708693157105e-12
63,3840.0,3840,10.141287802887788,10.141287802895556,58.8804143124692,0.0,10.141288780985409,9.780898531408291e-07,0.0,1.4231010794237311e-08,7.764903909330542e-12
64,3900.0,3900,10.141287805573379,10.141287805581024,59.024082553898346,0.0,10.141288783677302,9.780962765321697e-07,0.0,1.42310554904546e-08,7.64502247056448e-12
65,3960.0,3960,10.141287808242144,10.141287808249677,59.16775079536552,0.0,10.141288786352032,9.78102355174085e-07,0.0,1.4231098544992261e-08,7.533683757744844e-12
66,4020.0,4020,10.14128781089364,10.141287810901073,59.31141903687049,0.0,10.141288789009167,9.781080954626992e-07,0.0,1.4231140100143456e-08,7.430445160089513e-12
67,4080.0,4080,10.141287813527462,10.141287813534797,59.455087278413,0.0,10.1412887916483,9.78113503379479e-07,0.0,1.4231180290826453e-08,7.334821006017837e-12
68,4140.0,4140,10.141287816143224,10.14128781615047,59.59875551999281,0.0,10.141288794269055,9.78118584488988e-07,0.0,1.4231219243867638e-08,7.246298042264841e-12
69,4200.0,4200,10.141287818740572,10.141287818747738,59.74242376160965,0.0,10.14128879687108,9.781233439417218e-07,0.0,1.4231257077538357e-08,7.164349065422906e-12
70,4260.0,4260,10.141287821319171,10.14128782132626,59.88609200326328,0.0,10.141288799454049,9.781277864828746e-07,0.0,1.4231293901326715e-08,7.088443147343248e-12
71,4320.0,4320,10.141287823878713,10.141287823885731,60.029760244953444,0.0,10.141288802017646,9.7813191646404e-07,0.0,1.4231329815873369e-08,7.0180548042901096e-12
72,4380.0,4380,10.141287826418907,10.14128782642586,60.173428486679846,0.0,10.141288804561597,9.78135737858796e-07,0.0,1.4231364913060733e-08,6.952671053893307e-12
73,4440.0,4440,10.141287828939486,10.14128782894638,60.31709672844222,0.0,10.141288807085635,9.781392542796103e-07,0.0,1.4231399276223843e-08,6.891796566329971e-12
74,4500.0,4500,10.1412878314402,10.141287831447036,60.46076497024029,0.0,10.141288809589506,9.781424689961053e-07,0.0,1.4231432980441898e-08,6.834958182728479e-12
75,4560.0,4560,10.141287833920817,10.141287833927601,60.604433212073786,0.0,10.141288812072988,9.781453849552165e-07,0.0,1.4231466092911322e-08,6.781707766458129e-12
76,4620.0,4620,10.14128783638112,10.141287836387853,60.74810145394241,0.0,10.141288814535859,9.781480048005673e-07,0.0,1.4231498673357648e-08,6.731624072593476e-12
77,4680.0,4680,10.141287838820904,10.14128783882759,60.89176969584588,0.0,10.141288816977921,9.781503308924306e-07,0.0,1.4231530774488804e-08,6.684314502915627e-12
78,4740.0,4740,10.141287841239981,10.141287841246621,61.03543793778391,0.0,10.141288819398987,9.781523653273695e-07,0.0,1.4231562442469035e-08,6.6394152130020514e-12
79,4800.0,4800,10.141287843638171,10.141287843644768,61.179106179756204,0.0,10.141288821798879,9.781541099576386e-07,0.0,1.4231593717398708e-08,6.596591288363009e-12
80,4860.0,4860,10.14128784601531,10.141287846021866,61.322774421762475,0.0,10.141288824177433,9.781555664089164e-07,0.0,1.4231624633797431e-08,6.555536455637186e-12
81,4920.0,4920,10.141287848371238,10.141287848377754,61.466442663802404,0.0,10.141288826534492,9.7815673609836e-07,0.0,1.4231655221080368e-08,6.515972179943093e-12
82,4980.0,4980,10.141287850705812,10.141287850712288,61.61011090587571,0.0,10.14128882886991,9.78157620251201e-07,0.0,1.4231685504020527e-08,6.477646572474209e-12
