,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost",E_Shift,P_Shift
0,60.0,60,2.2207311334623712e-08,3.822018647542025e-08,6.569421700644967e-07,0.0,4.288937662359983e-08,4.669190167796109e-09,9.8648033212562e-07,-4.121431551509326e-16,1.6012875162107735e-08
1,120.0,120,2.5989985796284455e-08,2.8716195738656104e-08,6.574719473142855e-07,0.0,3.3534971088901544e-08,4.818775363778953e-09,0.06575342465753424,2.6688211513754217e-10,2.726209958646362e-09
2,180.0,180,2.6833908096368564e-08,2.739965168348483e-08,6.578667107669784e-07,0.0,3.2247129553543485e-08,4.8474778813583554e-09,0.04323985936321764,3.123198425901347e-10,5.65743602165705e-10
3,240.0,240,2.702237544547749e-08,2.7143535004698858e-08,6.582427514573144e-07,0.0,3.1996955981472787e-08,4.8534209886638726e-09,0.023148148148148147,3.217496689942565e-10,1.2115957241906773e-10
4,300.0,300,2.7069103119631587e-08,2.7095248402893728e-08,6.586151490050009e-07,0.0,3.19497792209324e-08,4.8545308289401715e-09,0.009341992564003648,3.2376971349202114e-10,2.6145296669193274e-11
5,360.0,360,2.7085384965023417e-08,2.7091009319521124e-08,6.589868597526623e-07,0.0,3.194558469591838e-08,4.854575387497213e-09,0.12,3.2420616245612115e-10,5.624367148523983e-12
6,420.0,420,2.7095167671491033e-08,2.7096338033444184e-08,6.593585103701021e-07,0.0,3.1950715463059186e-08,4.854377439602093e-09,3.0,3.2430057776858947e-10,1.1703751074015892e-12
7,480.0,480,2.7103598224307338e-08,2.7103800352347844e-08,6.597302370074029e-07,0.0,3.195792126061773e-08,4.854120918234408e-09,0.0,3.2432074301974614e-10,2.0214066861005693e-13
8,540.0,540,2.7111779435368884e-08,2.711177286207213e-08,6.601020700371773e-07,0.0,3.196562118472332e-08,4.853848332335217e-09,0.0,3.24324754332135e-10,-6.560912834906216e-15
9,600.0,600,2.7119944325980225e-08,2.7119894826082103e-08,6.604740167273014e-07,0.0,3.197346493574403e-08,4.853570119180254e-09,0.0,3.243252705307778e-10,-4.948796548447928e-14
10,660.0,660,2.712813972805021e-08,2.7128083185210374e-08,6.608460792092195e-07,0.0,3.198137231377809e-08,4.8532891379189536e-09,0.0,3.243250544476875e-10,-5.6531235272710236e-14
11,720.0,720,2.7136373396222493e-08,2.71363172537298e-08,6.612182584304411e-07,0.0,3.198932356474048e-08,4.853006319839209e-09,0.0,3.243247040799479e-10,-5.6130990786772154e-14
12,780.0,780,2.7144645431544607e-08,2.7144590986189473e-08,6.615905550432115e-07,0.0,3.1997313018767824e-08,4.852722041027302e-09,0.0,3.24324343430857e-10,-5.4434004301239266e-14
13,840.0,840,2.7152954804298186e-08,2.7152902103438175e-08,6.619629696131258e-07,0.0,3.200533858176073e-08,4.8524364868204945e-09,0.0,3.2432399406453983e-10,-5.269012991750084e-14
14,900.0,900,2.7161300580238613e-08,2.7161249474508533e-08,6.623355026730599e-07,0.0,3.20133992293188e-08,4.852149762755311e-09,0.0,3.243236567186244e-10,-5.1095034223293594e-14
