,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost",E_Shift,P_Shift
0,60.0,60,1.4433578973361608e-06,4.7410780640275e-06,4.2454679297809304e-05,0.0,5.1731709430661855e-06,4.3209287973865245e-07,9.406559811283111e-05,-5.470784817863422e-13,3.297720167476253e-06
1,120.0,120,1.7252272349978877e-06,2.8290638354680072e-06,4.252076426051353e-05,0.0,3.283455271534686e-06,4.5439143669311637e-07,0.06575342465753424,5.496150513231294e-08,1.1038366011473655e-06
2,180.0,180,1.86925921380171e-06,2.402427990962781e-06,4.2559706608460766e-05,0.0,2.8662768781860683e-06,4.6384888779404437e-07,0.04323985936321764,7.335882296677961e-08,5.33168777774721e-07
3,240.0,240,1.9483807549643675e-06,2.230289161112984e-06,4.259258130485797e-05,0.0,2.698893328797556e-06,4.686041682176345e-07,0.023148148148148147,8.224500604215998e-08,2.81908406721291e-07
4,300.0,300,1.9926805998932e-06,2.1471478097157037e-06,4.262300547950663e-05,0.0,2.6182985319182835e-06,4.7115072271053576e-07,0.009341992564003648,8.694351352896225e-08,1.5446721036837674e-07
5,360.0,360,2.0176226052771065e-06,2.103694184354568e-06,4.2652245451832786e-05,0.0,2.5762499673949677e-06,4.7255578353196834e-07,0.12,8.951799930735851e-08,8.607157960609065e-08
6,420.0,420,2.0316739339407734e-06,2.080050556382177e-06,4.2680866318358506e-05,0.0,2.5533946126070705e-06,4.733440567062164e-07,1.0,9.095255677138431e-08,4.837662295924331e-08
7,480.0,480,2.0395693762133865e-06,2.0668862020947514e-06,4.270915026268178e-05,0.0,2.5406775651847746e-06,4.737913635652754e-07,0.0,9.175886424829542e-08,2.731682639271893e-08
8,540.0,540,2.0439780029458367e-06,2.059442140868117e-06,4.273724659359715e-05,0.0,2.533489978976078e-06,4.740478385799329e-07,0.0,9.221417469057293e-08,1.546413843011484e-08
9,600.0,600,2.0464096762229517e-06,2.0551755907476053e-06,4.2765236825670675e-05,0.0,2.5293723553768776e-06,4.741967650997677e-07,0.0,9.247194009611408e-08,8.765915030888815e-09
10,660.0,660,2.047719960607709e-06,2.0526916658509827e-06,4.2793166242514236e-05,0.0,2.5269764979865006e-06,4.7428483260562955e-07,0.0,9.261806832960287e-08,4.971705749017511e-09
11,720.0,720,2.0483941064886962e-06,2.0512136209680716e-06,4.2821060250134216e-05,0.0,2.5255519935075513e-06,4.743383730100107e-07,0.0,9.270095970406093e-08,2.8195149854393252e-09
12,780.0,780,2.048707482104997e-06,2.050305196214702e-06,4.2848933184816754e-05,0.0,2.524677484318518e-06,4.743722885751209e-07,0.0,9.274798124333188e-08,1.59771461660155e-09
13,840.0,840,2.048816406843143e-06,2.049720149612341e-06,4.287679316524259e-05,0.0,2.5241151796079975e-06,4.7439503046803323e-07,0.0,9.277463948359656e-08,9.037432770779867e-10
14,900.0,900,2.0488096404960877e-06,2.0493190897960485e-06,4.2904644800537645e-05,0.0,2.523730486824568e-06,4.7441139750210335e-07,0.0,9.278973159283378e-08,5.094498089677471e-10
15,960.0,960,2.0487375905752414e-06,2.0490229740998994e-06,4.29324907131188e-05,0.0,2.5234470904819086e-06,4.744241168568141e-07,0.0,9.279825221212329e-08,2.8538403502416043e-10
16,1020.0,1020,2.048628887532451e-06,2.0487869326089606e-06,4.2960332398816055e-05,0.0,2.523221671455076e-06,4.7443473932229083e-07,0.0,9.280303847486403e-08,1.580455880627036e-10
17,1080.0,1080,2.0484997941354756e-06,2.0485854759242045e-06,4.2988170713923096e-05,0.0,2.5230296226098535e-06,4.744441471631023e-07,0.0,9.280570250544989e-08,8.568230161063044e-11
18,1140.0,1140,2.048359548193553e-06,2.0484041166210524e-06,4.301600615142882e-05,0.0,2.522856958666167e-06,4.744528425239098e-07,0.0,9.28071605571018e-08,4.456894165922002e-11
19,1200.0,1200,2.0482133967790713e-06,2.048234616896318e-06,4.3043838997829464e-05,0.0,2.5226957277384173e-06,4.744611113220878e-07,0.0,9.28079334614631e-08,2.122063266826146e-11
20,1260.0,1260,2.0480643196894172e-06,2.048072290645493e-06,4.30716694222013e-05,0.0,2.5225414065943893e-06,4.744691164301913e-07,0.0,9.280831730166454e-08,7.971472692291872e-12
21,1320.0,1320,2.0479140085270966e-06,2.0479144709497447e-06,4.3099497526829585e-05,0.0,2.522391421143765e-06,4.7447695067649377e-07,0.0,9.28084803954886e-08,4.629404594395997e-13
22,1380.0,1380,2.047763422976676e-06,2.047759639186091e-06,4.312732337598655e-05,0.0,2.522244305704274e-06,4.744846670018203e-07,0.0,9.280851841854111e-08,-3.783271536076027e-12
23,1440.0,1440,2.047613106894905e-06,2.047606929948371e-06,4.3155147012295684e-05,0.0,2.5220992250874998e-06,4.74492295623981e-07,0.0,9.28084857412404e-08,-6.176426441659736e-12
24,1500.0,1500,2.0474633679406624e-06,2.0474558495136917e-06,4.318296846604683e-05,0.0,2.5219557028394217e-06,4.7449985381168946e-07,0.0,9.280841324627418e-08,-7.517905719703988e-12
25,1560.0,1560,2.0473143796705473e-06,2.0473061156817376e-06,4.3210787760491856e-05,0.0,2.5218134666469325e-06,4.7450735145222655e-07,0.0,9.280831845999422e-08,-8.263466417737113e-12
26,1620.0,1620,2.0471662395841877e-06,2.0471575666017658e-06,4.323860491485972e-05,0.0,2.5216723603393706e-06,4.745147942257869e-07,0.0,9.280821131283288e-08,-8.672459020906094e-12
27,1680.0,1680,2.0470190021554294e-06,2.0470101087972108e-06,4.326641994607368e-05,0.0,2.521532293726204e-06,4.7452218541816214e-07,0.0,9.280809741276329e-08,-8.892833733923716e-12
28,1740.0,1740,2.0468726976863116e-06,2.0468636874257843e-06,4.3294232869724205e-05,0.0,2.5213932138955484e-06,4.745295269599769e-07,0.0,9.28079799019664e-08,-9.009735028146037e-12
29,1800.0,1800,2.0467273431716364e-06,2.0467182690785084e-06,4.332204370061698e-05,0.0,2.521255088616663e-06,4.745368200293614e-07,0.0,9.280786050359349e-08,-9.073566602170596e-12
