,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost",E_Shift,P_Shift
0,60.0,60,41.70264727889247,41.70264777780056,2.3580609166640907e-07,0.0,41.7026485502652,7.724646340464463e-07,297.0026768437548,6.053439748736913e-12,4.989080660126275e-07
1,120.0,120,41.702574655988386,41.70257470048937,0.5907877440594983,0.0,41.70257547298547,7.724960805981164e-07,0.3287671232876712,8.31850752578756e-09,4.450097053781914e-08
2,180.0,180,41.70251905868282,41.70251906328242,1.1815742170509425,0.0,41.70251983577956,7.724971176713152e-07,0.04323985936321764,9.057722054469845e-09,4.599594500382533e-09
3,240.0,240,41.70247489527462,41.70247489587378,1.772359901848647,0.0,41.70247566837124,7.724974466248673e-07,0.023148148148148147,9.13192471848977e-09,5.991385332525033e-10
4,300.0,300,41.70244129450817,41.7024412947015,2.363144960941333,0.0,41.70244206719953,7.724980160392064e-07,0.009341992564003648,9.13945055999691e-09,1.9330718438943858e-10
5,360.0,360,41.70241645518232,41.7024164553335,2.9539295440174933,0.0,41.70241722783217,7.724986456250279e-07,0.12,9.140210802796771e-09,1.5115983555632587e-10
6,420.0,420,41.702398546008496,41.70239854615475,3.544713775202668,0.0,41.70239931865396,7.724991918980154e-07,20.0,9.140268119856883e-09,1.4623395823768168e-10
7,480.0,480,41.702385984811386,41.702385984956834,4.135497752674262,0.0,41.702386757456466,7.724996117691111e-07,0.0,9.140243554632802e-09,1.4543393785884832e-10
8,540.0,540,41.70237748642958,41.70237748657492,4.726281552195689,0.0,41.70237825907487,7.724999285565613e-07,0.0,9.140206095814804e-09,1.4532255346104572e-10
9,600.0,600,41.702372038371195,41.70237203851667,5.31706523132337,0.0,41.70237281101688,7.725001893895017e-07,0.0,9.140167192391146e-09,1.4546356823900616e-10
10,660.0,660,41.70236885815627,41.70236885830202,5.907848833270142,0.0,41.70236963080247,7.7250043725462e-07,0.0,9.14013093988825e-09,1.457339743825449e-10
11,720.0,720,41.702367349539976,41.70236734968605,6.498632390163934,0.0,41.70236812218676,7.725007016542142e-07,0.0,9.140099399891078e-09,1.4605778957820656e-10
12,780.0,780,41.70236706294529,41.70236706309169,7.089415925685714,0.0,41.70236783559271,7.725009995342069e-07,0.0,9.140073415915827e-09,1.4638222757879626e-10
13,840.0,840,41.702367661876934,41.70236766202362,7.680199457147243,0.0,41.702368434524985,7.7250133864317e-07,0.0,9.14005299319874e-09,1.466751604811167e-10
14,900.0,900,41.70236889568002,41.702368895826964,8.270982997093766,0.0,41.7023696683287,7.725017203922962e-07,0.0,9.140037624562926e-09,1.4692157737257843e-10
15,960.0,960,41.70237057819388,41.70237057834101,8.861766554519225,0.0,41.702371350843165,7.725021420516785e-07,0.0,9.140026559981066e-09,1.4711840799727337e-10
16,1020.0,1020,41.70237257142433,41.70237257157161,9.45255013578015,0.0,41.70237334407423,7.725025985732519e-07,0.0,9.140018996291455e-09,1.4726943881473043e-10
17,1080.0,1080,41.70237477324593,41.70237477339333,10.043333745278613,0.0,41.70237554589644,7.725030841000775e-07,0.0,9.140014187549862e-09,1.4738143389925762e-10
18,1140.0,1140,41.702377108222024,41.7023771083695,10.634117385969583,0.0,41.7023778808731,7.725035930983529e-07,0.0,9.140011494018263e-09,1.474616952487014e-10
19,1200.0,1200,41.702379520783566,41.7023795209311,11.224901059739304,0.0,41.70238029343524,7.725041210764507e-07,0.0,9.140010392080372e-09,1.4751680450763194e-10
20,1260.0,1260,41.70238197016969,41.702381970317255,11.815684767687024,0.0,41.70238274282194,7.725046649266679e-07,0.0,9.140010463715194e-09,1.4755215420302738e-10
21,1320.0,1320,41.702384426674364,41.70238442682195,12.406468510334383,0.0,41.70238519932719,7.725052229686598e-07,0.0,9.140011378140829e-09,1.4757192472553305e-10
22,1380.0,1380,41.70238686885838,41.702386869005984,12.997252287782139,0.0,41.7023876415118,7.725057947894528e-07,0.0,9.14001287281036e-09,1.4757926823938226e-10
23,1440.0,1440,41.70238928147356,41.70238928162116,13.588036099827592,0.0,41.702390054127555,7.725063809690092e-07,0.0,9.140014737157887e-09,1.475765528601415e-10
24,1500.0,1500,41.70239165391284,41.70239165406043,14.178819946051744,0.0,41.70239242656742,7.725069827611769e-07,0.0,9.140016800123116e-09,1.475655928010703e-10
25,1560.0,1560,41.7023939790493,41.70239397919686,14.769603825885449,0.0,41.70239475170448,7.725076017841717e-07,0.0,9.14001892128421e-09,1.4754783082236404e-10
26,1620.0,1620,41.702396252363776,41.70239625251131,15.360387738658616,0.0,41.70239702501957,7.725082397528288e-07,0.0,9.140020984870462e-09,1.47524467551246e-10
27,1680.0,1680,41.7023984712874,41.702398471434925,15.95117168363704,0.0,41.70239924394383,7.72508898268635e-07,0.0,9.140022895823241e-09,1.4749654414886547e-10
28,1740.0,1740,41.70240063470501,41.702400634852495,16.541955660050206,0.0,41.70240140736209,7.725095786718489e-07,0.0,9.140024577170979e-09,1.474649894266446e-10
29,1800.0,1800,41.70240274257927,41.70240274272672,17.132739667111814,0.0,41.70240351523701,7.725102819520774e-07,0.0,9.140025968142255e-09,1.4743064343569083e-10
30,1860.0,1860,41.70240479566613,41.70240479581355,17.723523704034903,0.0,41.70240556832457,7.725110087056956e-07,0.0,9.140027022642671e-09,1.4739426863208133e-10
31,1920.0,1920,41.70240679529904,41.702406795446414,18.31430777004339,0.0,41.70240756795819,7.725117591320366e-07,0.0,9.140027707887278e-09,1.4735655326561813e-10
32,1980.0,1980,41.70240874322534,41.70240874337268,18.90509186438007,0.0,41.70240951588523,7.72512533054825e-07,0.0,9.140028003068451e-09,1.4731811460541044e-10
33,2040.0,2040,41.70241064148203,41.702410641629335,19.495875986312296,0.0,41.70241141414268,7.725133299608085e-07,0.0,9.140027898052268e-09,1.4727950035364585e-10
34,2100.0,2100,41.70241249230138,41.70241249244864,20.086660135136533,0.0,41.7024132649628,7.725141490474967e-07,0.0,9.14002739208711e-09,1.4724119157535858e-10
