,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost",E_Shift,P_Shift
0,60.0,60,6.076792711808607e-07,7.582872389370978e-07,1.5878871695326895e-05,0.0,9.036297654353445e-07,1.453425411122129e-07,3.1417703088429315e-05,3.9560075689015407e-13,1.506079823119066e-07
1,120.0,120,6.540391592227684e-07,6.694971965504483e-07,1.588924927289487e-05,0.0,8.173513054625922e-07,1.4785412214868675e-07,0.06575342465753424,2.5113791689320204e-09,1.5458050133006935e-08
2,180.0,180,6.593218587789578e-07,6.610853967554552e-07,1.589836271267675e-05,0.0,8.092096213123091e-07,1.481242375576921e-07,0.04323985936321764,2.7697846244013857e-09,1.7635506304855363e-09
3,240.0,240,6.599360715722985e-07,6.601038812708909e-07,1.5907356310087248e-05,0.0,8.082600651434925e-07,1.4815619660180226e-07,0.023148148148148147,2.799932778733853e-09,1.678225720987327e-10
4,300.0,300,6.600003294033783e-07,6.599802120680368e-07,1.5916335922881896e-05,0.0,8.081404552591918e-07,1.4816025594182398e-07,0.009341992564003648,2.803482749025549e-09,-2.0104491446757627e-11
5,360.0,360,6.600000750171782e-07,6.59957825302621e-07,1.592531377362974e-05,0.0,8.081188469886471e-07,1.481610346370559e-07,0.12,2.8039001542457025e-09,-4.2237072969715746e-11
6,420.0,420,6.5999251080954e-07,6.599476657373908e-07,1.5934291305361615e-05,0.0,8.081090842896449e-07,1.4816143159017624e-07,10.0,2.8039485893335205e-09,-4.483251880955335e-11
7,480.0,480,6.599843577117268e-07,6.599392146522937e-07,1.594326869225464e-05,0.0,8.081009858505596e-07,1.481617840118228e-07,0.0,2.803953723927951e-09,-4.513028282039895e-11
8,540.0,540,6.599763945758837e-07,6.599312220483595e-07,1.5952245958628704e-05,0.0,8.080933373694447e-07,1.4816212848004408e-07,0.0,2.80395385903333e-09,-4.5160097738002827e-11
9,600.0,600,6.599687051941482e-07,6.599235323517596e-07,1.596122311099132e-05,0.0,8.080859869575707e-07,1.4816246718742076e-07,0.0,2.8039534605913565e-09,-4.515983664324563e-11
10,660.0,660,6.599612948272983e-07,6.599161254771013e-07,1.597020015365942e-05,0.0,8.080789113286037e-07,1.4816279890316027e-07,0.0,2.803953029200895e-09,-4.5156815383132035e-11
11,720.0,720,6.599541615768621e-07,6.599089951836828e-07,1.5979177090645263e-05,0.0,8.080721045390732e-07,1.4816312241297075e-07,0.0,2.803952610140928e-09,-4.515386551666622e-11
