,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost",E_Shift,P_Shift
0,60.0,60,7.100273309775863e-06,7.270551011522782e-06,1.630068773694567e-05,0.0,7.337162306881486e-06,6.661130083224475e-08,0.00011677884368547337,3.7428267780973173e-13,1.7027770706267123e-07
1,120.0,120,7.156818237774955e-06,7.171992698286029e-06,1.6403519843817852e-05,0.0,7.238622420342707e-06,6.662972743159853e-08,0.06575342465753424,2.8386341043320816e-09,1.5174465704978964e-08
2,180.0,180,7.144755107491631e-06,7.146267985064386e-06,1.6504955659923063e-05,0.0,7.2129021578497e-06,6.663417809050995e-08,0.04323985936321764,3.09183773494478e-09,1.5128828405629486e-09
3,240.0,240,7.126874936398022e-06,7.127012884048962e-06,1.660602702955435e-05,0.0,7.1936496821180125e-06,6.663680315544462e-08,0.023148148148148147,3.1173483593849477e-09,1.379531623135879e-10
4,300.0,300,7.1086187459646305e-06,7.108616784333411e-06,1.6706825610131336e-05,0.0,7.175255885206957e-06,6.66391062855701e-08,0.009341992564003648,3.1199441770267587e-09,-1.956417284311502e-12
5,360.0,360,7.090527474014311e-06,7.0905111470735335e-06,1.68073635716511e-05,0.0,7.157152474134333e-06,6.664133246363429e-08,0.12,3.1202089642797637e-09,-1.632169084405244e-11
6,420.0,420,7.072651407060013e-06,7.0726335479747025e-06,1.6907645029213472e-05,0.0,7.139277071514919e-06,6.664352881922698e-08,5.0,3.120235135397692e-09,-1.785368408799793e-11
7,480.0,480,7.054991485738414e-06,7.054973421135746e-06,1.7007673213450743e-05,0.0,7.121619121756999e-06,6.664570589617349e-08,0.0,3.1202365729634554e-09,-1.8059169507250037e-11
8,540.0,540,7.0375438515893705e-06,7.0375257225127555e-06,1.7107451205279374e-05,0.0,7.104173583710309e-06,6.664786648783194e-08,0.0,3.1202353782571466e-09,-1.8123634464234105e-11
9,600.0,600,7.02030430769102e-06,7.0202861306037446e-06,1.7206982014159982e-05,0.0,7.08693613666662e-06,6.665001154600652e-08,0.0,3.1202338943699884e-09,-1.817181227240145e-11
10,660.0,660,7.003268746332548e-06,7.003250523515141e-06,1.7306268588318954e-05,0.0,7.0699026595842845e-06,6.665214153360936e-08,0.0,3.120232385631799e-09,-1.8217495197322812e-11
11,720.0,720,6.986433179634434e-06,6.986414911816285e-06,1.7405313817598877e-05,0.0,7.053069163190432e-06,6.665425676494805e-08,0.0,3.1202308866480335e-09,-1.8262397719395522e-11
12,780.0,780,6.969793734928041e-06,6.969775422842671e-06,1.750412053532018e-05,0.0,7.036431774794509e-06,6.665635749972588e-08,0.0,3.120229403599927e-09,-1.8306798219332968e-11
13,840.0,840,6.953346648852297e-06,6.953328292720298e-06,1.760269151993365e-05,0.0,7.019986731191292e-06,6.665844397207026e-08,0.0,3.1202279381798317e-09,-1.835077137479712e-11
14,900.0,900,6.937088262461363e-06,6.937069862648712e-06,1.7701029496572e-05,0.0,7.00373037362222e-06,6.666051640072324e-08,0.0,3.1202264909844756e-09,-1.839435243942884e-11
