,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost",E_Shift,P_Shift
0,60.0,60,39.015933719159605,39.015933988504244,245.38861022851268,0.0,39.0159340881345,9.963025010279333e-08,343.6942638099126,-6.122179251311516e-13,2.69344640504454e-07
1,120.0,120,39.0159337191556,39.01593374304185,245.94133595976737,0.0,39.015933842672155,9.96303012111973e-08,0.26301369863013696,4.488486790495584e-09,2.3886256088427777e-08
2,180.0,180,39.0159337191552,39.01593372154685,246.49406168754473,0.0,39.015933821177185,9.963033225402773e-08,0.04323985936321764,4.886613288388205e-09,2.391657738706627e-09
3,240.0,240,39.015933719155186,39.015933719395456,247.04678741501755,0.0,39.0159338190258,9.963034665618297e-08,0.023148148148148147,4.926496138856825e-09,2.4026985169839576e-10
4,300.0,300,39.01593371915524,39.01593371917837,247.59951314245987,0.0,39.01593381880871,9.963035313129635e-08,0.009341992564003648,4.930522525180764e-09,2.312667658405237e-11
5,360.0,360,39.01593371915532,39.015933719156486,248.15223886989915,0.0,39.01593381878684,9.96303558337052e-08,0.12,4.930929924124606e-09,1.1774562911765127e-12
6,420.0,420,39.015933719155406,39.01593371915435,248.70496459733806,0.0,39.01593381878471,9.963035663436519e-08,5.0,4.9309715556698835e-09,-1.0513783935933646e-12
7,480.0,480,39.01593371915549,39.01593371915421,249.25769032477697,0.0,39.01593381878457,9.963035641346809e-08,0.0,4.930976073591882e-09,-1.283788316042523e-12
8,540.0,540,39.01593371915558,39.01593371915427,249.8104160522159,0.0,39.01593381878463,9.963035560886399e-08,0.0,4.930976737771616e-09,-1.311666358407844e-12
9,600.0,600,39.015933719155676,39.01593371915436,250.36314177965485,0.0,39.01593381878471,9.963035444995294e-08,0.0,4.930976948230847e-09,-1.317154205714473e-12
10,660.0,660,39.01593371915577,39.015933719154454,250.91586750709376,0.0,39.01593381878481,9.963035306279531e-08,0.0,4.930977072370154e-09,-1.3193438298845977e-12
11,720.0,720,39.01593371915587,39.01593371915454,251.46859323453268,0.0,39.015933818784895,9.963035151992795e-08,0.0,4.930977161041142e-09,-1.3205598415113256e-12
12,780.0,780,39.01593371915596,39.015933719154646,252.02131896197162,0.0,39.01593381878499,9.963034986499884e-08,0.0,4.930977227229428e-09,-1.321256550971269e-12
13,840.0,840,39.01593371915606,39.01593371915473,252.57404468941056,0.0,39.015933818785086,9.963034812541943e-08,0.0,4.930977276886264e-09,-1.3216016005963763e-12
14,900.0,900,39.01593371915615,39.01593371915482,253.1267704168495,0.0,39.01593381878518,9.963034631899451e-08,0.0,4.930977313584115e-09,-1.321683123817851e-12
15,960.0,960,39.015933719156244,39.01593371915493,253.6794961442884,0.0,39.01593381878528,9.963034445765332e-08,0.0,4.9309773397951975e-09,-1.321556248755407e-12
16,1020.0,1020,39.015933719156344,39.015933719155015,254.23222187172732,0.0,39.015933818785356,9.963034254945347e-08,0.0,4.930977357402229e-09,-1.3212600393808033e-12
17,1080.0,1080,39.015933719156436,39.015933719155115,254.78494759916623,0.0,39.01593381878545,9.963034059986626e-08,0.0,4.930977367910772e-09,-1.3208244239535405e-12
18,1140.0,1140,39.015933719156536,39.01593371915521,255.3376733266052,0.0,39.01593381878555,9.96303386125031e-08,0.0,4.930977372534534e-09,-1.3202729241936466e-12
19,1200.0,1200,39.01593371915662,39.0159337191553,255.8903990540441,0.0,39.01593381878564,9.963033658962288e-08,0.0,4.930977372233672e-09,-1.319623500554833e-12
20,1260.0,1260,39.01593371915671,39.0159337191554,256.44312478148305,0.0,39.01593381878574,9.963033453246028e-08,0.0,4.93097736774547e-09,-1.3188894112939532e-12
