time,ChargingStationID,BaysVehicleIds,BaysChargingPower,TotalChargingPower,BaysChargingDesire,BaysNumberOfVehicles,QueueVehicleIds,QueueChargingDesire,QueueNumberOfVehicles,BtmsPower,BtmsSoc,BtmsEnergy,TotalChargingPowerDesire,GridPower,GridPowerUpper,GridPowerLower,PowerDesire,BtmsPowerDesire,EnergyLagSum,TimeLagSum
60,1304,[],"[0, 0, 0, 0]",0.0,"[nan, nan, nan, nan]",0,[],[],0,9.385101754572203e-06,0.8000000000000002,33.60000144178277,0.0,9.385101754572203e-06,420.0,0,0.0,0.0,0.0,0.0
120,1304,[],"[0, 0, 0, 0]",0.0,"[nan, nan, nan, nan]",0,[],[],0,1.1427708985487697e-05,0.8000000031656096,33.60000157473838,0.0,1.1427708985487697e-05,420.0,0,0.0,504.00001364940493,0.0,0.0
180,1304,[],"[0, 0, 0, 0]",0.0,"[nan, nan, nan, nan]",0,[],[],0,1.176746984619297e-05,0.8000000070201938,33.60000173663092,0.0,1.176746984619297e-05,420.0,0,0.0,504.0000039358523,0.0,0.0
240,1304,[],"[0, 0, 0, 0]",0.0,"[nan, nan, nan, nan]",0,[],[],0,1.163220965843854e-05,0.80000001098938,33.60000190333675,0.0,1.163220965843854e-05,420.0,0,0.0,503.9999939335029,0.0,0.0
300,1304,[],"[0, 0, 0, 0]",0.0,"[nan, nan, nan, nan]",0,[],[],0,1.1419041130960102e-05,0.8000000149129426,33.600002068126386,0.0,1.1419041130960102e-05,420.0,0,0.0,503.9999840461245,0.0,0.0
360,1304,[],"[0, 0, 0, 0]",0.0,"[nan, nan, nan, nan]",0,[],[],0,1.1180157480902233e-05,0.8000000187646031,33.600002229896134,0.0,1.1180157480902233e-05,420.0,0,0.0,503.9999743399396,0.0,0.0
420,1304,[],"[0, 0, 0, 0]",0.0,"[nan, nan, nan, nan]",0,[],[],0,1.0903949913681538e-05,0.8000000225356879,33.6000023882817,0.0,1.0903949913681538e-05,420.0,0,0.0,503.99996483680553,0.0,0.0
480,1304,[],"[0, 0, 0, 0]",0.0,"[nan, nan, nan, nan]",0,[],[],0,1.0630287430252967e-05,0.8000000262136073,33.600002542754325,0.0,1.0630287430252967e-05,420.0,0,0.0,503.9999555684482,0.0,0.0
540,1304,[],"[0, 0, 0, 0]",0.0,"[nan, nan, nan, nan]",0,[],[],0,1.0467912326575982e-05,0.80000002979922,33.60000269335006,0.0,1.0467912326575982e-05,420.0,0,0.0,503.99994653270386,0.0,0.0
600,1304,[],"[0, 0, 0, 0]",0.0,"[nan, nan, nan, nan]",0,[],[],0,1.0214373919258848e-05,0.8000000333300634,33.60000284164549,0.0,1.0214373919258848e-05,420.0,0,0.0,503.9999376349782,0.0,0.0
660,1304,[],"[0, 0, 0, 0]",0.0,"[nan, nan, nan, nan]",0,[],[],0,1.0014187698714857e-05,0.8000000367753879,33.600002986349125,0.0,1.0014187698714857e-05,420.0,0,0.0,503.9999289527602,0.0,0.0
720,1304,[],"[0, 0, 0, 0]",0.0,"[nan, nan, nan, nan]",0,[],[],0,9.79841822120275e-06,0.8000000401531892,33.600003128216784,0.0,9.79841822120275e-06,420.0,0,0.0,503.99992044070063,0.0,0.0
780,1304,[],"[0, 0, 0, 0]",0.0,"[nan, nan, nan, nan]",0,[],[],0,9.627829348502555e-06,0.800000043458211,33.60000326702771,0.0,9.627829348502555e-06,420.0,0,0.0,503.9999121120451,0.0,0.0
840,1304,[],"[0, 0, 0, 0]",0.0,"[nan, nan, nan, nan]",0,[],[],0,9.474282073526887e-06,0.800000046705693,33.60000340342196,0.0,9.474282073526887e-06,420.0,0,0.0,503.99990392839015,0.0,0.0
