time,ChargingStationID,Status,Iterations,OptimalValue,SetupTime,SolveTime,SolverName,sum_t1,sum_t2,T1,T2
60,135,optimal,21,187.5000001459239,0.0020054,0.0109071,ECOS,"[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]"
120,135,optimal,21,187.5000001459239,0.0007546,0.0208095,ECOS,"[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]"
180,135,optimal,21,187.5000001459239,0.0007077,0.0150117,ECOS,"[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]"
240,135,optimal,21,187.5000001459239,0.0008151,0.0115187,ECOS,"[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]"
300,135,optimal,21,187.5000001459239,0.0005466,0.0104496,ECOS,"[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]"
360,135,optimal,21,187.5000001459239,0.0005564,0.0121194,ECOS,"[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]"
420,135,optimal,21,187.5000001459239,0.0005634,0.0154586,ECOS,"[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]"
480,135,optimal,21,187.5000001459239,0.0006171,0.0119216,ECOS,"[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]"
540,135,optimal,21,187.5000001459239,0.0003966,0.0107761,ECOS,"[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]"
600,135,optimal,21,187.5000001459239,0.0005718,0.0109244,ECOS,"[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
 4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
 5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
 5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
 4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
 5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
 5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
 4.48398137e-06 4.79367869e-06]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]","[[4.89284331e-06 4.89756084e-06 4.90305319e-06 4.91298310e-06
  4.92839610e-06 4.94860567e-06 4.97156967e-06 4.99440351e-06
  5.01395542e-06 5.02729984e-06 5.03213130e-06 5.02705929e-06
  5.01204889e-06 4.98871148e-06 4.96077028e-06 4.93431416e-06
  4.91768501e-06 4.92104849e-06 4.95496940e-06 5.02807446e-06
  5.14360998e-06 5.29598325e-06 5.46848747e-06 5.62930656e-06
  5.69374148e-06 5.41463622e-06 3.91023139e-06 2.76591135e-06
  4.48398137e-06 4.79367869e-06]]"
