time,ChargingStationID,Status,Iterations,OptimalValue,SetupTime,SolveTime,SolverName,sum_t1,sum_t2,T1,T2
60,435,optimal,31,4.67794083914603e-10,0.0005877,0.014834,ECOS,"[2.29316310e-07 2.29393417e-07 2.29319261e-07 2.29353879e-07
 2.29382382e-07 2.29359047e-07 2.29316063e-07 2.29277240e-07
 2.29272860e-07 2.29289229e-07 2.29325539e-07 2.29309780e-07
 2.29294944e-07 2.29291485e-07 2.29280281e-07 2.29312441e-07
 2.29251401e-07 2.29336672e-07 2.29326519e-07 2.29330564e-07
 2.29341158e-07 2.29329650e-07 2.29289118e-07 2.29365723e-07
 2.29381571e-07 2.29282222e-07 2.29308545e-07 2.29374026e-07
 2.29282475e-07 2.29286156e-07]","[2.29316310e-07 2.29393417e-07 2.29319261e-07 2.29353879e-07
 2.29382382e-07 2.29359047e-07 2.29316063e-07 2.29277240e-07
 2.29272860e-07 2.29289229e-07 2.29325539e-07 2.29309780e-07
 2.29294944e-07 2.29291485e-07 2.29280281e-07 2.29312441e-07
 2.29251401e-07 2.29336672e-07 2.29326519e-07 2.29330564e-07
 2.29341158e-07 2.29329650e-07 2.29289118e-07 2.29365723e-07
 2.29381571e-07 2.29282222e-07 2.29308545e-07 2.29374026e-07
 2.29282475e-07 2.29286156e-07]","[[2.29316310e-07 2.29393417e-07 2.29319261e-07 2.29353879e-07
  2.29382382e-07 2.29359047e-07 2.29316063e-07 2.29277240e-07
  2.29272860e-07 2.29289229e-07 2.29325539e-07 2.29309780e-07
  2.29294944e-07 2.29291485e-07 2.29280281e-07 2.29312441e-07
  2.29251401e-07 2.29336672e-07 2.29326519e-07 2.29330564e-07
  2.29341158e-07 2.29329650e-07 2.29289118e-07 2.29365723e-07
  2.29381571e-07 2.29282222e-07 2.29308545e-07 2.29374026e-07
  2.29282475e-07 2.29286156e-07]]","[[2.29316310e-07 2.29393417e-07 2.29319261e-07 2.29353879e-07
  2.29382382e-07 2.29359047e-07 2.29316063e-07 2.29277240e-07
  2.29272860e-07 2.29289229e-07 2.29325539e-07 2.29309780e-07
  2.29294944e-07 2.29291485e-07 2.29280281e-07 2.29312441e-07
  2.29251401e-07 2.29336672e-07 2.29326519e-07 2.29330564e-07
  2.29341158e-07 2.29329650e-07 2.29289118e-07 2.29365723e-07
  2.29381571e-07 2.29282222e-07 2.29308545e-07 2.29374026e-07
  2.29282475e-07 2.29286156e-07]]"
120,435,optimal,31,4.6522269695595643e-10,0.0004948,0.0130179,ECOS,"[2.28676815e-07 2.28678777e-07 2.28642583e-07 2.28638883e-07
 2.28621428e-07 2.28626929e-07 2.28690902e-07 2.28640567e-07
 2.28634658e-07 2.28659151e-07 2.28735969e-07 2.28659387e-07
 2.28548019e-07 2.28681148e-07 2.28700826e-07 2.28650085e-07
 2.28671691e-07 2.28690417e-07 2.28709552e-07 2.28675988e-07
 2.28661365e-07 2.28674261e-07 2.28669112e-07 2.28532150e-07
 2.28638811e-07 2.28692716e-07 2.28660623e-07 2.28642494e-07
 2.28611518e-07 2.28686695e-07]","[2.28676815e-07 2.28678777e-07 2.28642583e-07 2.28638883e-07
 2.28621428e-07 2.28626929e-07 2.28690902e-07 2.28640567e-07
 2.28634658e-07 2.28659151e-07 2.28735969e-07 2.28659387e-07
 2.28548019e-07 2.28681148e-07 2.28700826e-07 2.28650085e-07
 2.28671691e-07 2.28690417e-07 2.28709552e-07 2.28675988e-07
 2.28661365e-07 2.28674261e-07 2.28669112e-07 2.28532150e-07
 2.28638811e-07 2.28692716e-07 2.28660623e-07 2.28642494e-07
 2.28611518e-07 2.28686695e-07]","[[2.28676815e-07 2.28678777e-07 2.28642583e-07 2.28638883e-07
  2.28621428e-07 2.28626929e-07 2.28690902e-07 2.28640567e-07
  2.28634658e-07 2.28659151e-07 2.28735969e-07 2.28659387e-07
  2.28548019e-07 2.28681148e-07 2.28700826e-07 2.28650085e-07
  2.28671691e-07 2.28690417e-07 2.28709552e-07 2.28675988e-07
  2.28661365e-07 2.28674261e-07 2.28669112e-07 2.28532150e-07
  2.28638811e-07 2.28692716e-07 2.28660623e-07 2.28642494e-07
  2.28611518e-07 2.28686695e-07]]","[[2.28676815e-07 2.28678777e-07 2.28642583e-07 2.28638883e-07
  2.28621428e-07 2.28626929e-07 2.28690902e-07 2.28640567e-07
  2.28634658e-07 2.28659151e-07 2.28735969e-07 2.28659387e-07
  2.28548019e-07 2.28681148e-07 2.28700826e-07 2.28650085e-07
  2.28671691e-07 2.28690417e-07 2.28709552e-07 2.28675988e-07
  2.28661365e-07 2.28674261e-07 2.28669112e-07 2.28532150e-07
  2.28638811e-07 2.28692716e-07 2.28660623e-07 2.28642494e-07
  2.28611518e-07 2.28686695e-07]]"
180,435,optimal,31,4.6493275892578935e-10,0.0004696,0.0125939,ECOS,"[2.27847474e-07 2.27887765e-07 2.27850767e-07 2.27858566e-07
 2.27900260e-07 2.27841024e-07 2.27846125e-07 2.27830664e-07
 2.27813481e-07 2.27883548e-07 2.27782568e-07 2.27881521e-07
 2.27887369e-07 2.27908004e-07 2.27825336e-07 2.27846769e-07
 2.27809178e-07 2.27832016e-07 2.27938980e-07 2.27854551e-07
 2.27841188e-07 2.27943896e-07 2.27901609e-07 2.27899734e-07
 2.27838391e-07 2.27849295e-07 2.27804566e-07 2.27917950e-07
 2.27866727e-07 2.27908815e-07]","[2.27847474e-07 2.27887765e-07 2.27850767e-07 2.27858566e-07
 2.27900260e-07 2.27841024e-07 2.27846125e-07 2.27830664e-07
 2.27813481e-07 2.27883548e-07 2.27782568e-07 2.27881521e-07
 2.27887369e-07 2.27908004e-07 2.27825336e-07 2.27846769e-07
 2.27809178e-07 2.27832016e-07 2.27938980e-07 2.27854551e-07
 2.27841188e-07 2.27943896e-07 2.27901609e-07 2.27899734e-07
 2.27838391e-07 2.27849295e-07 2.27804566e-07 2.27917950e-07
 2.27866727e-07 2.27908815e-07]","[[2.27847474e-07 2.27887765e-07 2.27850767e-07 2.27858566e-07
  2.27900260e-07 2.27841024e-07 2.27846125e-07 2.27830664e-07
  2.27813481e-07 2.27883548e-07 2.27782568e-07 2.27881521e-07
  2.27887369e-07 2.27908004e-07 2.27825336e-07 2.27846769e-07
  2.27809178e-07 2.27832016e-07 2.27938980e-07 2.27854551e-07
  2.27841188e-07 2.27943896e-07 2.27901609e-07 2.27899734e-07
  2.27838391e-07 2.27849295e-07 2.27804566e-07 2.27917950e-07
  2.27866727e-07 2.27908815e-07]]","[[2.27847474e-07 2.27887765e-07 2.27850767e-07 2.27858566e-07
  2.27900260e-07 2.27841024e-07 2.27846125e-07 2.27830664e-07
  2.27813481e-07 2.27883548e-07 2.27782568e-07 2.27881521e-07
  2.27887369e-07 2.27908004e-07 2.27825336e-07 2.27846769e-07
  2.27809178e-07 2.27832016e-07 2.27938980e-07 2.27854551e-07
  2.27841188e-07 2.27943896e-07 2.27901609e-07 2.27899734e-07
  2.27838391e-07 2.27849295e-07 2.27804566e-07 2.27917950e-07
  2.27866727e-07 2.27908815e-07]]"
240,435,optimal,31,4.740706833172113e-10,0.0003552,0.0087491,ECOS,"[2.29296814e-07 2.29274118e-07 2.29276383e-07 2.29347917e-07
 2.29250875e-07 2.29306100e-07 2.29289544e-07 2.29333251e-07
 2.29275841e-07 2.29277492e-07 2.29307689e-07 2.29294760e-07
 2.29289589e-07 2.29442148e-07 2.29342859e-07 2.29343965e-07
 2.29322572e-07 2.29311103e-07 2.29332890e-07 2.29326496e-07
 2.29277163e-07 2.29303581e-07 2.29355187e-07 2.29283124e-07
 2.29406648e-07 2.29303472e-07 2.29308752e-07 2.29279875e-07
 2.29275970e-07 2.29423305e-07]","[2.29296814e-07 2.29274118e-07 2.29276383e-07 2.29347917e-07
 2.29250875e-07 2.29306100e-07 2.29289544e-07 2.29333251e-07
 2.29275841e-07 2.29277492e-07 2.29307689e-07 2.29294760e-07
 2.29289589e-07 2.29442148e-07 2.29342859e-07 2.29343965e-07
 2.29322572e-07 2.29311103e-07 2.29332890e-07 2.29326496e-07
 2.29277163e-07 2.29303581e-07 2.29355187e-07 2.29283124e-07
 2.29406648e-07 2.29303472e-07 2.29308752e-07 2.29279875e-07
 2.29275970e-07 2.29423305e-07]","[[2.29296814e-07 2.29274118e-07 2.29276383e-07 2.29347917e-07
  2.29250875e-07 2.29306100e-07 2.29289544e-07 2.29333251e-07
  2.29275841e-07 2.29277492e-07 2.29307689e-07 2.29294760e-07
  2.29289589e-07 2.29442148e-07 2.29342859e-07 2.29343965e-07
  2.29322572e-07 2.29311103e-07 2.29332890e-07 2.29326496e-07
  2.29277163e-07 2.29303581e-07 2.29355187e-07 2.29283124e-07
  2.29406648e-07 2.29303472e-07 2.29308752e-07 2.29279875e-07
  2.29275970e-07 2.29423305e-07]]","[[2.29296814e-07 2.29274118e-07 2.29276383e-07 2.29347917e-07
  2.29250875e-07 2.29306100e-07 2.29289544e-07 2.29333251e-07
  2.29275841e-07 2.29277492e-07 2.29307689e-07 2.29294760e-07
  2.29289589e-07 2.29442148e-07 2.29342859e-07 2.29343965e-07
  2.29322572e-07 2.29311103e-07 2.29332890e-07 2.29326496e-07
  2.29277163e-07 2.29303581e-07 2.29355187e-07 2.29283124e-07
  2.29406648e-07 2.29303472e-07 2.29308752e-07 2.29279875e-07
  2.29275970e-07 2.29423305e-07]]"
300,435,optimal,31,4.669132303450983e-10,0.0005317,0.0095775,ECOS,"[2.26634270e-07 2.26659481e-07 2.26611225e-07 2.26613730e-07
 2.26577460e-07 2.26621928e-07 2.26611115e-07 2.26575530e-07
 2.26697389e-07 2.26659069e-07 2.26614565e-07 2.26598311e-07
 2.26712301e-07 2.26657546e-07 2.26594726e-07 2.26560601e-07
 2.26527704e-07 2.26559237e-07 2.26625147e-07 2.26606803e-07
 2.26590761e-07 2.26621649e-07 2.26659519e-07 2.26653580e-07
 2.26608439e-07 2.26535383e-07 2.26640908e-07 2.26667413e-07
 2.26651803e-07 2.26601781e-07]","[2.26634270e-07 2.26659481e-07 2.26611225e-07 2.26613730e-07
 2.26577460e-07 2.26621928e-07 2.26611115e-07 2.26575530e-07
 2.26697389e-07 2.26659069e-07 2.26614565e-07 2.26598311e-07
 2.26712301e-07 2.26657546e-07 2.26594726e-07 2.26560601e-07
 2.26527704e-07 2.26559237e-07 2.26625147e-07 2.26606803e-07
 2.26590761e-07 2.26621649e-07 2.26659519e-07 2.26653580e-07
 2.26608439e-07 2.26535383e-07 2.26640908e-07 2.26667413e-07
 2.26651803e-07 2.26601781e-07]","[[2.26634270e-07 2.26659481e-07 2.26611225e-07 2.26613730e-07
  2.26577460e-07 2.26621928e-07 2.26611115e-07 2.26575530e-07
  2.26697389e-07 2.26659069e-07 2.26614565e-07 2.26598311e-07
  2.26712301e-07 2.26657546e-07 2.26594726e-07 2.26560601e-07
  2.26527704e-07 2.26559237e-07 2.26625147e-07 2.26606803e-07
  2.26590761e-07 2.26621649e-07 2.26659519e-07 2.26653580e-07
  2.26608439e-07 2.26535383e-07 2.26640908e-07 2.26667413e-07
  2.26651803e-07 2.26601781e-07]]","[[2.26634270e-07 2.26659481e-07 2.26611225e-07 2.26613730e-07
  2.26577460e-07 2.26621928e-07 2.26611115e-07 2.26575530e-07
  2.26697389e-07 2.26659069e-07 2.26614565e-07 2.26598311e-07
  2.26712301e-07 2.26657546e-07 2.26594726e-07 2.26560601e-07
  2.26527704e-07 2.26559237e-07 2.26625147e-07 2.26606803e-07
  2.26590761e-07 2.26621649e-07 2.26659519e-07 2.26653580e-07
  2.26608439e-07 2.26535383e-07 2.26640908e-07 2.26667413e-07
  2.26651803e-07 2.26601781e-07]]"
360,435,optimal,31,4.828335774088752e-10,0.0003355,0.0106866,ECOS,"[2.29605467e-07 2.29714567e-07 2.29611259e-07 2.29608338e-07
 2.29632348e-07 2.29603826e-07 2.29626636e-07 2.29621903e-07
 2.29648610e-07 2.29651448e-07 2.29686810e-07 2.29634283e-07
 2.29615743e-07 2.29640478e-07 2.29598793e-07 2.29616194e-07
 2.29642183e-07 2.29662490e-07 2.29648672e-07 2.29658643e-07
 2.29628635e-07 2.29566280e-07 2.29641868e-07 2.29601975e-07
 2.29667453e-07 2.29650673e-07 2.29693942e-07 2.29596435e-07
 2.29611966e-07 2.29683199e-07]","[2.29605467e-07 2.29714567e-07 2.29611259e-07 2.29608338e-07
 2.29632348e-07 2.29603826e-07 2.29626636e-07 2.29621903e-07
 2.29648610e-07 2.29651448e-07 2.29686810e-07 2.29634283e-07
 2.29615743e-07 2.29640478e-07 2.29598793e-07 2.29616194e-07
 2.29642183e-07 2.29662490e-07 2.29648672e-07 2.29658643e-07
 2.29628635e-07 2.29566280e-07 2.29641868e-07 2.29601975e-07
 2.29667453e-07 2.29650673e-07 2.29693942e-07 2.29596435e-07
 2.29611966e-07 2.29683199e-07]","[[2.29605467e-07 2.29714567e-07 2.29611259e-07 2.29608338e-07
  2.29632348e-07 2.29603826e-07 2.29626636e-07 2.29621903e-07
  2.29648610e-07 2.29651448e-07 2.29686810e-07 2.29634283e-07
  2.29615743e-07 2.29640478e-07 2.29598793e-07 2.29616194e-07
  2.29642183e-07 2.29662490e-07 2.29648672e-07 2.29658643e-07
  2.29628635e-07 2.29566280e-07 2.29641868e-07 2.29601975e-07
  2.29667453e-07 2.29650673e-07 2.29693942e-07 2.29596435e-07
  2.29611966e-07 2.29683199e-07]]","[[2.29605467e-07 2.29714567e-07 2.29611259e-07 2.29608338e-07
  2.29632348e-07 2.29603826e-07 2.29626636e-07 2.29621903e-07
  2.29648610e-07 2.29651448e-07 2.29686810e-07 2.29634283e-07
  2.29615743e-07 2.29640478e-07 2.29598793e-07 2.29616194e-07
  2.29642183e-07 2.29662490e-07 2.29648672e-07 2.29658643e-07
  2.29628635e-07 2.29566280e-07 2.29641868e-07 2.29601975e-07
  2.29667453e-07 2.29650673e-07 2.29693942e-07 2.29596435e-07
  2.29611966e-07 2.29683199e-07]]"
420,435,optimal,31,4.785062774983953e-10,0.0003918,0.0088501,ECOS,"[2.27429146e-07 2.27419089e-07 2.27423816e-07 2.27391572e-07
 2.27429194e-07 2.27410203e-07 2.27405739e-07 2.27461317e-07
 2.27403344e-07 2.27472574e-07 2.27325036e-07 2.27435986e-07
 2.27382404e-07 2.27449802e-07 2.27482663e-07 2.27431184e-07
 2.27374607e-07 2.27325970e-07 2.27415371e-07 2.27413983e-07
 2.27445722e-07 2.27433879e-07 2.27482698e-07 2.27435038e-07
 2.27454970e-07 2.27417566e-07 2.27334920e-07 2.27396356e-07
 2.27430443e-07 2.27410111e-07]","[2.27429146e-07 2.27419089e-07 2.27423816e-07 2.27391572e-07
 2.27429194e-07 2.27410203e-07 2.27405739e-07 2.27461317e-07
 2.27403344e-07 2.27472574e-07 2.27325036e-07 2.27435986e-07
 2.27382404e-07 2.27449802e-07 2.27482663e-07 2.27431184e-07
 2.27374607e-07 2.27325970e-07 2.27415371e-07 2.27413983e-07
 2.27445722e-07 2.27433879e-07 2.27482698e-07 2.27435038e-07
 2.27454970e-07 2.27417566e-07 2.27334920e-07 2.27396356e-07
 2.27430443e-07 2.27410111e-07]","[[2.27429146e-07 2.27419089e-07 2.27423816e-07 2.27391572e-07
  2.27429194e-07 2.27410203e-07 2.27405739e-07 2.27461317e-07
  2.27403344e-07 2.27472574e-07 2.27325036e-07 2.27435986e-07
  2.27382404e-07 2.27449802e-07 2.27482663e-07 2.27431184e-07
  2.27374607e-07 2.27325970e-07 2.27415371e-07 2.27413983e-07
  2.27445722e-07 2.27433879e-07 2.27482698e-07 2.27435038e-07
  2.27454970e-07 2.27417566e-07 2.27334920e-07 2.27396356e-07
  2.27430443e-07 2.27410111e-07]]","[[2.27429146e-07 2.27419089e-07 2.27423816e-07 2.27391572e-07
  2.27429194e-07 2.27410203e-07 2.27405739e-07 2.27461317e-07
  2.27403344e-07 2.27472574e-07 2.27325036e-07 2.27435986e-07
  2.27382404e-07 2.27449802e-07 2.27482663e-07 2.27431184e-07
  2.27374607e-07 2.27325970e-07 2.27415371e-07 2.27413983e-07
  2.27445722e-07 2.27433879e-07 2.27482698e-07 2.27435038e-07
  2.27454970e-07 2.27417566e-07 2.27334920e-07 2.27396356e-07
  2.27430443e-07 2.27410111e-07]]"
480,435,optimal,31,4.87973493644245e-10,0.0004872,0.0113758,ECOS,"[2.28775722e-07 2.28806522e-07 2.28816873e-07 2.28774238e-07
 2.28862081e-07 2.28807276e-07 2.28797171e-07 2.28905203e-07
 2.28828091e-07 2.28808376e-07 2.28851146e-07 2.28741540e-07
 2.28817627e-07 2.28786513e-07 2.28890573e-07 2.28766189e-07
 2.28862703e-07 2.28838104e-07 2.28844903e-07 2.28883904e-07
 2.28786786e-07 2.28793304e-07 2.28825230e-07 2.28775256e-07
 2.28820307e-07 2.28871451e-07 2.28827749e-07 2.28737839e-07
 2.28810442e-07 2.28810975e-07]","[2.28775722e-07 2.28806522e-07 2.28816873e-07 2.28774238e-07
 2.28862081e-07 2.28807276e-07 2.28797171e-07 2.28905203e-07
 2.28828091e-07 2.28808376e-07 2.28851146e-07 2.28741540e-07
 2.28817627e-07 2.28786513e-07 2.28890573e-07 2.28766189e-07
 2.28862703e-07 2.28838104e-07 2.28844903e-07 2.28883904e-07
 2.28786786e-07 2.28793304e-07 2.28825230e-07 2.28775256e-07
 2.28820307e-07 2.28871451e-07 2.28827749e-07 2.28737839e-07
 2.28810442e-07 2.28810975e-07]","[[2.28775722e-07 2.28806522e-07 2.28816873e-07 2.28774238e-07
  2.28862081e-07 2.28807276e-07 2.28797171e-07 2.28905203e-07
  2.28828091e-07 2.28808376e-07 2.28851146e-07 2.28741540e-07
  2.28817627e-07 2.28786513e-07 2.28890573e-07 2.28766189e-07
  2.28862703e-07 2.28838104e-07 2.28844903e-07 2.28883904e-07
  2.28786786e-07 2.28793304e-07 2.28825230e-07 2.28775256e-07
  2.28820307e-07 2.28871451e-07 2.28827749e-07 2.28737839e-07
  2.28810442e-07 2.28810975e-07]]","[[2.28775722e-07 2.28806522e-07 2.28816873e-07 2.28774238e-07
  2.28862081e-07 2.28807276e-07 2.28797171e-07 2.28905203e-07
  2.28828091e-07 2.28808376e-07 2.28851146e-07 2.28741540e-07
  2.28817627e-07 2.28786513e-07 2.28890573e-07 2.28766189e-07
  2.28862703e-07 2.28838104e-07 2.28844903e-07 2.28883904e-07
  2.28786786e-07 2.28793304e-07 2.28825230e-07 2.28775256e-07
  2.28820307e-07 2.28871451e-07 2.28827749e-07 2.28737839e-07
  2.28810442e-07 2.28810975e-07]]"
540,435,optimal,31,4.908912391289063e-10,0.0003233,0.0103452,ECOS,"[2.28271661e-07 2.28271238e-07 2.28234607e-07 2.28295085e-07
 2.28209522e-07 2.28334152e-07 2.28284485e-07 2.28185047e-07
 2.28229868e-07 2.28228050e-07 2.28327112e-07 2.28207023e-07
 2.28131089e-07 2.28292131e-07 2.28279093e-07 2.28179576e-07
 2.28281258e-07 2.28252397e-07 2.28240645e-07 2.28290325e-07
 2.28310116e-07 2.28266224e-07 2.28287603e-07 2.28265735e-07
 2.28270979e-07 2.28212790e-07 2.28320631e-07 2.28251993e-07
 2.28262634e-07 2.28289018e-07]","[2.28271661e-07 2.28271238e-07 2.28234607e-07 2.28295085e-07
 2.28209522e-07 2.28334152e-07 2.28284485e-07 2.28185047e-07
 2.28229868e-07 2.28228050e-07 2.28327112e-07 2.28207023e-07
 2.28131089e-07 2.28292131e-07 2.28279093e-07 2.28179576e-07
 2.28281258e-07 2.28252397e-07 2.28240645e-07 2.28290325e-07
 2.28310116e-07 2.28266224e-07 2.28287603e-07 2.28265735e-07
 2.28270979e-07 2.28212790e-07 2.28320631e-07 2.28251993e-07
 2.28262634e-07 2.28289018e-07]","[[2.28271661e-07 2.28271238e-07 2.28234607e-07 2.28295085e-07
  2.28209522e-07 2.28334152e-07 2.28284485e-07 2.28185047e-07
  2.28229868e-07 2.28228050e-07 2.28327112e-07 2.28207023e-07
  2.28131089e-07 2.28292131e-07 2.28279093e-07 2.28179576e-07
  2.28281258e-07 2.28252397e-07 2.28240645e-07 2.28290325e-07
  2.28310116e-07 2.28266224e-07 2.28287603e-07 2.28265735e-07
  2.28270979e-07 2.28212790e-07 2.28320631e-07 2.28251993e-07
  2.28262634e-07 2.28289018e-07]]","[[2.28271661e-07 2.28271238e-07 2.28234607e-07 2.28295085e-07
  2.28209522e-07 2.28334152e-07 2.28284485e-07 2.28185047e-07
  2.28229868e-07 2.28228050e-07 2.28327112e-07 2.28207023e-07
  2.28131089e-07 2.28292131e-07 2.28279093e-07 2.28179576e-07
  2.28281258e-07 2.28252397e-07 2.28240645e-07 2.28290325e-07
  2.28310116e-07 2.28266224e-07 2.28287603e-07 2.28265735e-07
  2.28270979e-07 2.28212790e-07 2.28320631e-07 2.28251993e-07
  2.28262634e-07 2.28289018e-07]]"
600,435,optimal,31,5.008731021358187e-10,0.0004691,0.0120618,ECOS,"[2.29428286e-07 2.29423753e-07 2.29440963e-07 2.29448770e-07
 2.29412531e-07 2.29479721e-07 2.29479576e-07 2.29463369e-07
 2.29403877e-07 2.29380519e-07 2.29481478e-07 2.29409696e-07
 2.29441645e-07 2.29531831e-07 2.29404906e-07 2.29559980e-07
 2.29453249e-07 2.29407044e-07 2.29453714e-07 2.29507151e-07
 2.29397382e-07 2.29461907e-07 2.29545780e-07 2.29519848e-07
 2.29455526e-07 2.29499547e-07 2.29535224e-07 2.29494826e-07
 2.29523371e-07 2.29542673e-07]","[2.29428286e-07 2.29423753e-07 2.29440963e-07 2.29448770e-07
 2.29412531e-07 2.29479721e-07 2.29479576e-07 2.29463369e-07
 2.29403877e-07 2.29380519e-07 2.29481478e-07 2.29409696e-07
 2.29441645e-07 2.29531831e-07 2.29404906e-07 2.29559980e-07
 2.29453249e-07 2.29407044e-07 2.29453714e-07 2.29507151e-07
 2.29397382e-07 2.29461907e-07 2.29545780e-07 2.29519848e-07
 2.29455526e-07 2.29499547e-07 2.29535224e-07 2.29494826e-07
 2.29523371e-07 2.29542673e-07]","[[2.29428286e-07 2.29423753e-07 2.29440963e-07 2.29448770e-07
  2.29412531e-07 2.29479721e-07 2.29479576e-07 2.29463369e-07
  2.29403877e-07 2.29380519e-07 2.29481478e-07 2.29409696e-07
  2.29441645e-07 2.29531831e-07 2.29404906e-07 2.29559980e-07
  2.29453249e-07 2.29407044e-07 2.29453714e-07 2.29507151e-07
  2.29397382e-07 2.29461907e-07 2.29545780e-07 2.29519848e-07
  2.29455526e-07 2.29499547e-07 2.29535224e-07 2.29494826e-07
  2.29523371e-07 2.29542673e-07]]","[[2.29428286e-07 2.29423753e-07 2.29440963e-07 2.29448770e-07
  2.29412531e-07 2.29479721e-07 2.29479576e-07 2.29463369e-07
  2.29403877e-07 2.29380519e-07 2.29481478e-07 2.29409696e-07
  2.29441645e-07 2.29531831e-07 2.29404906e-07 2.29559980e-07
  2.29453249e-07 2.29407044e-07 2.29453714e-07 2.29507151e-07
  2.29397382e-07 2.29461907e-07 2.29545780e-07 2.29519848e-07
  2.29455526e-07 2.29499547e-07 2.29535224e-07 2.29494826e-07
  2.29523371e-07 2.29542673e-07]]"
