time,Event,ChargingStationId,VehicleId,QueueOrBay,ChargingDesire,VehicleType,VehicleArrival,VehicleDesiredEnd,VehicleEnergy,VehicleDesiredEnergy,VehicleSoc,VehicleMaxEnergy,VehicleMaxPower,ChargingBayMaxPower
2700,ArrivalEvent,877,rideHailVehicle-3426887@GlobalRHM,,1.0577249575551781,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,2666,3289.0,0.0,51.916666666666664,0.0,83.95390333333333,400.0,
2700,ReparkEvent,877,rideHailVehicle-3426887@GlobalRHM,Bay,1.0577249575551781,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,2666,3289.0,0.0,51.916666666666664,0.0,83.95390333333333,400.0,300.0
3360,ReleaseEvent,877,rideHailVehicle-3426887@GlobalRHM,,,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,2666,3289.0,51.916666666666664,51.916666666666664,0.6183949120332741,83.95390333333333,400.0,
28500,ArrivalEvent,877,rideHailVehicle-7383174@GlobalRHM,,0.6987048398091342,ev-L1-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,28453,29478.0,0.0,56.94444444444444,0.0,83.95390333333333,400.0,
28500,ReparkEvent,877,rideHailVehicle-7383174@GlobalRHM,Bay,0.6987048398091342,ev-L1-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,28453,29478.0,0.0,56.94444444444444,0.0,83.95390333333333,400.0,300.0
29520,ReleaseEvent,877,rideHailVehicle-7383174@GlobalRHM,,,ev-L1-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,28453,29478.0,56.94444444444444,56.94444444444444,0.6782822737657636,83.95390333333333,400.0,
30360,ArrivalEvent,877,rideHailVehicle-7391498@GlobalRHM,,1.0,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-300,30360,30954.0,0.0,49.5,0.0,83.95390333333333,300.0,
30360,ReparkEvent,877,rideHailVehicle-7391498@GlobalRHM,Bay,1.0,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-300,30360,30954.0,0.0,49.5,0.0,83.95390333333333,300.0,300.0
30960,ReleaseEvent,877,rideHailVehicle-7391498@GlobalRHM,,,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-300,30360,30954.0,49.5,49.5,0.5896092740734589,83.95390333333333,300.0,
32280,ArrivalEvent,877,rideHailVehicle-5271288@GlobalRHM,,1.0139275766016713,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300-150,32265,33357.0,0.0,45.5,0.0,83.95390333333333,150.0,
32280,ArrivalEvent,877,rideHailVehicle-3154186@GlobalRHM,,1.0136363636363637,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300-150,32265,33380.0,0.0,46.458333333333336,0.0,83.95390333333333,150.0,
32280,ReparkEvent,877,rideHailVehicle-5271288@GlobalRHM,Bay,1.0139275766016713,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300-150,32265,33357.0,0.0,45.5,0.0,83.95390333333333,150.0,300.0
32280,ReparkEvent,877,rideHailVehicle-3154186@GlobalRHM,Bay,1.0136363636363637,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300-150,32265,33380.0,0.0,46.458333333333336,0.0,83.95390333333333,150.0,300.0
