time,VehicleId,ChargingStationId,QueueOrBay,ChargingPower,possiblePower,ChargingDesire,VehicleDesiredEnd,VehicleEnergy,VehicleDesiredEnergy,VehicleSoc,EnergyLag,TimeLag
28080,rideHailVehicle-543270@GlobalRHM,999,Bay,282.34519240635234,400.0,1.027538726333907,28661.0,0.0,49.75,0.0,-1.3333333333333333,0.0
28140,rideHailVehicle-543270@GlobalRHM,999,Bay,283.09415071840397,400.0,1.0374874501319185,28661.0,4.705753206772539,49.75,0.05605163095381834,-1.6275801265607939,-521.0
28200,rideHailVehicle-543270@GlobalRHM,999,Bay,283.8464864202045,400.0,1.049700935737633,28661.0,9.423989052079271,49.75,0.11225194634086227,-1.9093442812540609,-461.0
28260,rideHailVehicle-543270@GlobalRHM,999,Bay,284.6004450097553,400.0,1.065194099977576,28661.0,14.154763825749345,49.75,0.16860161664608742,-2.178569507583987,-401.0
28320,rideHailVehicle-543270@GlobalRHM,999,Bay,285.3542969124795,400.0,1.0856971996746534,28661.0,18.898104575911933,49.75,0.22510096404783325,-2.435228757421399,-341.0
28380,rideHailVehicle-543270@GlobalRHM,999,Bay,286.10633731603826,400.0,1.1144195220874054,28661.0,23.654009524453258,49.75,0.2817499673664559,-2.679323808880074,-281.0
28440,rideHailVehicle-543270@GlobalRHM,999,Bay,286.85488557421877,400.0,1.1580570961237704,28661.0,28.42244847972056,49.75,0.33854826698016816,-2.910884853612771,-221.0
28500,rideHailVehicle-543270@GlobalRHM,999,Bay,287.5982855199598,400.0,1.2332896964503697,28661.0,33.20336323929087,49.75,0.3954951696225386,-3.1299700940424557,-161.0
28560,rideHailVehicle-543270@GlobalRHM,999,Bay,288.33490463411295,400.0,1.396435485391263,28661.0,37.99666799795687,49.75,0.4525896532421328,-3.336665335376459,-101.0
28620,rideHailVehicle-543270@GlobalRHM,999,Bay,289.06313444572413,400.0,2.033487880431585,28661.0,42.80224974185875,49.75,0.509830371697136,-3.5310835914745766,-41.0
28680,rideHailVehicle-543270@GlobalRHM,999,Bay,126.86767968703478,127.80188104275084,inf,28661.0,47.619968649287486,49.75,0.5672156595294396,-2.130031350712514,0.0
28740,rideHailVehicle-543270@GlobalRHM,999,Bay,0.00029715127548737895,0.9342013557161977,inf,28661.0,49.73442997740473,49.75,0.5924016395037348,-0.015570022595269961,0.0
28800,rideHailVehicle-543270@GlobalRHM,999,Bay,0.0006041440780023262,0.9339042044406654,inf,28661.0,49.73443492992599,49.75,0.5924016984946937,-0.01556507007401109,0.0
28860,rideHailVehicle-543270@GlobalRHM,999,Bay,0.0010322563341730844,0.9333000603625408,inf,28661.0,49.73444499899396,49.75,0.5924018184303675,-0.015555001006042346,0.0
28920,rideHailVehicle-543270@GlobalRHM,999,Bay,0.001271729142574286,0.9322678040281573,inf,28661.0,49.7344622032662,49.75,0.5924020233555891,-0.015537796733802622,0.0
28980,rideHailVehicle-543270@GlobalRHM,999,Bay,0.0022720986705040414,0.9309960748856838,inf,28661.0,49.734483398751905,49.75,0.5924022758213454,-0.01551660124809473,0.0
29040,rideHailVehicle-543270@GlobalRHM,999,Bay,0.002506797439998321,0.9287239762151955,inf,28661.0,49.73452126706308,49.75,0.5924027268821023,-0.015478732936919926,0.0
