time,ChargingStationID,BaysVehicleIds,BaysChargingPower,TotalChargingPower,BaysChargingDesire,BaysNumberOfVehicles,QueueVehicleIds,QueueChargingDesire,QueueNumberOfVehicles,BtmsPower,BtmsSoc,BtmsEnergy,TotalChargingPowerDesire,GridPower,GridPowerUpper,GridPowerLower,PowerDesire,BtmsPowerDesire,EnergyLagSum,TimeLagSum
60,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,8.291395321500908e-06,0.8,120.00001803943124,0.0,8.291395321500908e-06,630.0,0,0.0,0.0,0.0,0.0
120,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.2149270828512821e-05,0.8000000007830762,120.00001815689268,0.0,1.2149270828512821e-05,630.0,0,0.0,900.0,0.0,0.0
180,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.4103790830003197e-05,0.8000000019305071,120.00001832900735,0.0,1.4103790830003197e-05,630.0,0,0.0,900.0,0.0,0.0
240,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.3530439132166898e-05,0.8000000032625316,120.00001852881105,0.0,1.3530439132166898e-05,630.0,0,0.0,900.0,0.0,0.0
300,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.2731570764022651e-05,0.8000000045404063,120.00001872049228,0.0,1.2731570764022651e-05,630.0,0,0.0,900.0,0.0,0.0
360,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.390346990189541e-05,0.8000000057428321,120.00001890085619,0.0,1.390346990189541e-05,630.0,0,0.0,900.0,0.0,0.0
420,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.6076731665885725e-05,0.8000000070559375,120.00001909782202,0.0,1.6076731665885725e-05,630.0,0,0.0,900.0,0.0,0.0
480,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.4596000751365525e-05,0.8000000085742953,120.00001932557572,0.0,1.4596000751365525e-05,630.0,0,0.0,900.0,0.0,0.0
540,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.3153274639770714e-05,0.8000000099528063,120.0000195323524,0.0,1.3153274639770714e-05,630.0,0,0.0,900.0,0.0,0.0
600,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.5301246834046534e-05,0.8000000111950598,120.00001971869045,0.0,1.5301246834046534e-05,630.0,0,0.0,900.0,0.0,0.0
