time,ChargingStationID,Status,Iterations,OptimalValue,SetupTime,SolveTime,SolverName,sum_t1,sum_t2,T1,T2
60,533,optimal,29,3.334478937956668e-10,0.000425411,0.011072595,ECOS,"[1.93509839e-07 1.93654214e-07 1.93642953e-07 1.93573268e-07
 1.93519547e-07 1.93533186e-07 1.93618280e-07 1.93517325e-07
 1.93606500e-07 1.93529087e-07 1.93535081e-07 1.93598970e-07
 1.93631212e-07 1.93558756e-07 1.93603496e-07 1.93588264e-07
 1.93632442e-07 1.93685772e-07 1.93464648e-07 1.93613848e-07
 1.93561200e-07 1.93470341e-07 1.93647746e-07 1.93608375e-07
 1.93434484e-07 1.93645319e-07 1.93457078e-07 1.93615107e-07
 1.93620936e-07 1.93558429e-07]","[1.93509839e-07 1.93654214e-07 1.93642953e-07 1.93573268e-07
 1.93519547e-07 1.93533186e-07 1.93618280e-07 1.93517325e-07
 1.93606500e-07 1.93529087e-07 1.93535081e-07 1.93598970e-07
 1.93631212e-07 1.93558756e-07 1.93603496e-07 1.93588264e-07
 1.93632442e-07 1.93685772e-07 1.93464648e-07 1.93613848e-07
 1.93561200e-07 1.93470341e-07 1.93647746e-07 1.93608375e-07
 1.93434484e-07 1.93645319e-07 1.93457078e-07 1.93615107e-07
 1.93620936e-07 1.93558429e-07]","[[1.93509839e-07 1.93654214e-07 1.93642953e-07 1.93573268e-07
  1.93519547e-07 1.93533186e-07 1.93618280e-07 1.93517325e-07
  1.93606500e-07 1.93529087e-07 1.93535081e-07 1.93598970e-07
  1.93631212e-07 1.93558756e-07 1.93603496e-07 1.93588264e-07
  1.93632442e-07 1.93685772e-07 1.93464648e-07 1.93613848e-07
  1.93561200e-07 1.93470341e-07 1.93647746e-07 1.93608375e-07
  1.93434484e-07 1.93645319e-07 1.93457078e-07 1.93615107e-07
  1.93620936e-07 1.93558429e-07]]","[[1.93509839e-07 1.93654214e-07 1.93642953e-07 1.93573268e-07
  1.93519547e-07 1.93533186e-07 1.93618280e-07 1.93517325e-07
  1.93606500e-07 1.93529087e-07 1.93535081e-07 1.93598970e-07
  1.93631212e-07 1.93558756e-07 1.93603496e-07 1.93588264e-07
  1.93632442e-07 1.93685772e-07 1.93464648e-07 1.93613848e-07
  1.93561200e-07 1.93470341e-07 1.93647746e-07 1.93608375e-07
  1.93434484e-07 1.93645319e-07 1.93457078e-07 1.93615107e-07
  1.93620936e-07 1.93558429e-07]]"
120,533,optimal,29,3.3023020770271234e-10,0.000476813,0.009579456,ECOS,"[1.92894833e-07 1.92823814e-07 1.92795436e-07 1.92887284e-07
 1.92894027e-07 1.92859497e-07 1.92799811e-07 1.92856818e-07
 1.92914221e-07 1.92888920e-07 1.92853608e-07 1.92769509e-07
 1.92811925e-07 1.92780611e-07 1.92682849e-07 1.92766881e-07
 1.92850298e-07 1.92896518e-07 1.92808502e-07 1.92797338e-07
 1.92830010e-07 1.92848614e-07 1.92817028e-07 1.92834439e-07
 1.92836873e-07 1.92860005e-07 1.92849885e-07 1.92854693e-07
 1.92766381e-07 1.92809470e-07]","[1.92894833e-07 1.92823814e-07 1.92795436e-07 1.92887284e-07
 1.92894027e-07 1.92859497e-07 1.92799811e-07 1.92856818e-07
 1.92914221e-07 1.92888920e-07 1.92853608e-07 1.92769509e-07
 1.92811925e-07 1.92780611e-07 1.92682849e-07 1.92766881e-07
 1.92850298e-07 1.92896518e-07 1.92808502e-07 1.92797338e-07
 1.92830010e-07 1.92848614e-07 1.92817028e-07 1.92834439e-07
 1.92836873e-07 1.92860005e-07 1.92849885e-07 1.92854693e-07
 1.92766381e-07 1.92809470e-07]","[[1.92894833e-07 1.92823814e-07 1.92795436e-07 1.92887284e-07
  1.92894027e-07 1.92859497e-07 1.92799811e-07 1.92856818e-07
  1.92914221e-07 1.92888920e-07 1.92853608e-07 1.92769509e-07
  1.92811925e-07 1.92780611e-07 1.92682849e-07 1.92766881e-07
  1.92850298e-07 1.92896518e-07 1.92808502e-07 1.92797338e-07
  1.92830010e-07 1.92848614e-07 1.92817028e-07 1.92834439e-07
  1.92836873e-07 1.92860005e-07 1.92849885e-07 1.92854693e-07
  1.92766381e-07 1.92809470e-07]]","[[1.92894833e-07 1.92823814e-07 1.92795436e-07 1.92887284e-07
  1.92894027e-07 1.92859497e-07 1.92799811e-07 1.92856818e-07
  1.92914221e-07 1.92888920e-07 1.92853608e-07 1.92769509e-07
  1.92811925e-07 1.92780611e-07 1.92682849e-07 1.92766881e-07
  1.92850298e-07 1.92896518e-07 1.92808502e-07 1.92797338e-07
  1.92830010e-07 1.92848614e-07 1.92817028e-07 1.92834439e-07
  1.92836873e-07 1.92860005e-07 1.92849885e-07 1.92854693e-07
  1.92766381e-07 1.92809470e-07]]"
180,533,optimal,29,3.1915703063147823e-10,0.000471613,0.010748987,ECOS,"[1.89609216e-07 1.89626963e-07 1.89563531e-07 1.89572364e-07
 1.89627770e-07 1.89696363e-07 1.89535065e-07 1.89572952e-07
 1.89698948e-07 1.89496982e-07 1.89661179e-07 1.89533147e-07
 1.89501338e-07 1.89680959e-07 1.89599360e-07 1.89452375e-07
 1.89617897e-07 1.89559398e-07 1.89580034e-07 1.89510229e-07
 1.89654531e-07 1.89632948e-07 1.89474387e-07 1.89623971e-07
 1.89546236e-07 1.89361868e-07 1.89541601e-07 1.89498279e-07
 1.89437966e-07 1.89497350e-07]","[1.89609216e-07 1.89626963e-07 1.89563531e-07 1.89572364e-07
 1.89627770e-07 1.89696363e-07 1.89535065e-07 1.89572952e-07
 1.89698948e-07 1.89496982e-07 1.89661179e-07 1.89533147e-07
 1.89501338e-07 1.89680959e-07 1.89599360e-07 1.89452375e-07
 1.89617897e-07 1.89559398e-07 1.89580034e-07 1.89510229e-07
 1.89654531e-07 1.89632948e-07 1.89474387e-07 1.89623971e-07
 1.89546236e-07 1.89361868e-07 1.89541601e-07 1.89498279e-07
 1.89437966e-07 1.89497350e-07]","[[1.89609216e-07 1.89626963e-07 1.89563531e-07 1.89572364e-07
  1.89627770e-07 1.89696363e-07 1.89535065e-07 1.89572952e-07
  1.89698948e-07 1.89496982e-07 1.89661179e-07 1.89533147e-07
  1.89501338e-07 1.89680959e-07 1.89599360e-07 1.89452375e-07
  1.89617897e-07 1.89559398e-07 1.89580034e-07 1.89510229e-07
  1.89654531e-07 1.89632948e-07 1.89474387e-07 1.89623971e-07
  1.89546236e-07 1.89361868e-07 1.89541601e-07 1.89498279e-07
  1.89437966e-07 1.89497350e-07]]","[[1.89609216e-07 1.89626963e-07 1.89563531e-07 1.89572364e-07
  1.89627770e-07 1.89696363e-07 1.89535065e-07 1.89572952e-07
  1.89698948e-07 1.89496982e-07 1.89661179e-07 1.89533147e-07
  1.89501338e-07 1.89680959e-07 1.89599360e-07 1.89452375e-07
  1.89617897e-07 1.89559398e-07 1.89580034e-07 1.89510229e-07
  1.89654531e-07 1.89632948e-07 1.89474387e-07 1.89623971e-07
  1.89546236e-07 1.89361868e-07 1.89541601e-07 1.89498279e-07
  1.89437966e-07 1.89497350e-07]]"
240,533,optimal,29,3.514382451069249e-10,0.000410511,0.010013767,ECOS,"[1.99001390e-07 1.98989670e-07 1.98986714e-07 1.99045893e-07
 1.98955248e-07 1.99044338e-07 1.99052263e-07 1.98989160e-07
 1.99100091e-07 1.98978028e-07 1.98980461e-07 1.99067040e-07
 1.98961816e-07 1.98996688e-07 1.98993554e-07 1.99039046e-07
 1.99098289e-07 1.99074137e-07 1.99115526e-07 1.99078828e-07
 1.99011624e-07 1.99062317e-07 1.99065717e-07 1.99004304e-07
 1.99024840e-07 1.98861163e-07 1.99032279e-07 1.98992586e-07
 1.99002712e-07 1.99073867e-07]","[1.99001390e-07 1.98989670e-07 1.98986714e-07 1.99045893e-07
 1.98955248e-07 1.99044338e-07 1.99052263e-07 1.98989160e-07
 1.99100091e-07 1.98978028e-07 1.98980461e-07 1.99067040e-07
 1.98961816e-07 1.98996688e-07 1.98993554e-07 1.99039046e-07
 1.99098289e-07 1.99074137e-07 1.99115526e-07 1.99078828e-07
 1.99011624e-07 1.99062317e-07 1.99065717e-07 1.99004304e-07
 1.99024840e-07 1.98861163e-07 1.99032279e-07 1.98992586e-07
 1.99002712e-07 1.99073867e-07]","[[1.99001390e-07 1.98989670e-07 1.98986714e-07 1.99045893e-07
  1.98955248e-07 1.99044338e-07 1.99052263e-07 1.98989160e-07
  1.99100091e-07 1.98978028e-07 1.98980461e-07 1.99067040e-07
  1.98961816e-07 1.98996688e-07 1.98993554e-07 1.99039046e-07
  1.99098289e-07 1.99074137e-07 1.99115526e-07 1.99078828e-07
  1.99011624e-07 1.99062317e-07 1.99065717e-07 1.99004304e-07
  1.99024840e-07 1.98861163e-07 1.99032279e-07 1.98992586e-07
  1.99002712e-07 1.99073867e-07]]","[[1.99001390e-07 1.98989670e-07 1.98986714e-07 1.99045893e-07
  1.98955248e-07 1.99044338e-07 1.99052263e-07 1.98989160e-07
  1.99100091e-07 1.98978028e-07 1.98980461e-07 1.99067040e-07
  1.98961816e-07 1.98996688e-07 1.98993554e-07 1.99039046e-07
  1.99098289e-07 1.99074137e-07 1.99115526e-07 1.99078828e-07
  1.99011624e-07 1.99062317e-07 1.99065717e-07 1.99004304e-07
  1.99024840e-07 1.98861163e-07 1.99032279e-07 1.98992586e-07
  1.99002712e-07 1.99073867e-07]]"
300,533,optimal,29,3.440357786941036e-10,0.000458812,0.009964366,ECOS,"[1.95838750e-07 1.95759552e-07 1.95669631e-07 1.95958590e-07
 1.95811769e-07 1.95828012e-07 1.95907041e-07 1.95728166e-07
 1.95788924e-07 1.95777250e-07 1.95809432e-07 1.95853015e-07
 1.95886355e-07 1.95732058e-07 1.95929091e-07 1.95868120e-07
 1.95883122e-07 1.95817163e-07 1.95782521e-07 1.95802401e-07
 1.95770579e-07 1.95835820e-07 1.95785112e-07 1.95700328e-07
 1.95846059e-07 1.95837873e-07 1.95872066e-07 1.95856995e-07
 1.95772286e-07 1.95708468e-07]","[1.95838750e-07 1.95759552e-07 1.95669631e-07 1.95958590e-07
 1.95811769e-07 1.95828012e-07 1.95907041e-07 1.95728166e-07
 1.95788924e-07 1.95777250e-07 1.95809432e-07 1.95853015e-07
 1.95886355e-07 1.95732058e-07 1.95929091e-07 1.95868120e-07
 1.95883122e-07 1.95817163e-07 1.95782521e-07 1.95802401e-07
 1.95770579e-07 1.95835820e-07 1.95785112e-07 1.95700328e-07
 1.95846059e-07 1.95837873e-07 1.95872066e-07 1.95856995e-07
 1.95772286e-07 1.95708468e-07]","[[1.95838750e-07 1.95759552e-07 1.95669631e-07 1.95958590e-07
  1.95811769e-07 1.95828012e-07 1.95907041e-07 1.95728166e-07
  1.95788924e-07 1.95777250e-07 1.95809432e-07 1.95853015e-07
  1.95886355e-07 1.95732058e-07 1.95929091e-07 1.95868120e-07
  1.95883122e-07 1.95817163e-07 1.95782521e-07 1.95802401e-07
  1.95770579e-07 1.95835820e-07 1.95785112e-07 1.95700328e-07
  1.95846059e-07 1.95837873e-07 1.95872066e-07 1.95856995e-07
  1.95772286e-07 1.95708468e-07]]","[[1.95838750e-07 1.95759552e-07 1.95669631e-07 1.95958590e-07
  1.95811769e-07 1.95828012e-07 1.95907041e-07 1.95728166e-07
  1.95788924e-07 1.95777250e-07 1.95809432e-07 1.95853015e-07
  1.95886355e-07 1.95732058e-07 1.95929091e-07 1.95868120e-07
  1.95883122e-07 1.95817163e-07 1.95782521e-07 1.95802401e-07
  1.95770579e-07 1.95835820e-07 1.95785112e-07 1.95700328e-07
  1.95846059e-07 1.95837873e-07 1.95872066e-07 1.95856995e-07
  1.95772286e-07 1.95708468e-07]]"
360,533,optimal,29,3.351055648025238e-10,0.000520214,0.01015257,ECOS,"[1.92654427e-07 1.92621149e-07 1.92624854e-07 1.92581835e-07
 1.92676856e-07 1.92670840e-07 1.92717021e-07 1.92576723e-07
 1.92683907e-07 1.92668218e-07 1.92749482e-07 1.92744895e-07
 1.92629830e-07 1.92577609e-07 1.92614188e-07 1.92577931e-07
 1.92641441e-07 1.92531859e-07 1.92614327e-07 1.92443661e-07
 1.92523011e-07 1.92550524e-07 1.92644259e-07 1.92631049e-07
 1.92667564e-07 1.92601387e-07 1.92724707e-07 1.92645057e-07
 1.92647798e-07 1.92565941e-07]","[1.92654427e-07 1.92621149e-07 1.92624854e-07 1.92581835e-07
 1.92676856e-07 1.92670840e-07 1.92717021e-07 1.92576723e-07
 1.92683907e-07 1.92668218e-07 1.92749482e-07 1.92744895e-07
 1.92629830e-07 1.92577609e-07 1.92614188e-07 1.92577931e-07
 1.92641441e-07 1.92531859e-07 1.92614327e-07 1.92443661e-07
 1.92523011e-07 1.92550524e-07 1.92644259e-07 1.92631049e-07
 1.92667564e-07 1.92601387e-07 1.92724707e-07 1.92645057e-07
 1.92647798e-07 1.92565941e-07]","[[1.92654427e-07 1.92621149e-07 1.92624854e-07 1.92581835e-07
  1.92676856e-07 1.92670840e-07 1.92717021e-07 1.92576723e-07
  1.92683907e-07 1.92668218e-07 1.92749482e-07 1.92744895e-07
  1.92629830e-07 1.92577609e-07 1.92614188e-07 1.92577931e-07
  1.92641441e-07 1.92531859e-07 1.92614327e-07 1.92443661e-07
  1.92523011e-07 1.92550524e-07 1.92644259e-07 1.92631049e-07
  1.92667564e-07 1.92601387e-07 1.92724707e-07 1.92645057e-07
  1.92647798e-07 1.92565941e-07]]","[[1.92654427e-07 1.92621149e-07 1.92624854e-07 1.92581835e-07
  1.92676856e-07 1.92670840e-07 1.92717021e-07 1.92576723e-07
  1.92683907e-07 1.92668218e-07 1.92749482e-07 1.92744895e-07
  1.92629830e-07 1.92577609e-07 1.92614188e-07 1.92577931e-07
  1.92641441e-07 1.92531859e-07 1.92614327e-07 1.92443661e-07
  1.92523011e-07 1.92550524e-07 1.92644259e-07 1.92631049e-07
  1.92667564e-07 1.92601387e-07 1.92724707e-07 1.92645057e-07
  1.92647798e-07 1.92565941e-07]]"
420,533,optimal,29,3.587926263390645e-10,0.000461612,0.009329249,ECOS,"[1.98903864e-07 1.98822130e-07 1.98813759e-07 1.98878338e-07
 1.98964419e-07 1.98950482e-07 1.98886970e-07 1.98777532e-07
 1.98905017e-07 1.98878926e-07 1.98777614e-07 1.98835303e-07
 1.98914997e-07 1.98928820e-07 1.98935456e-07 1.98852536e-07
 1.98830418e-07 1.98902164e-07 1.98754653e-07 1.98764448e-07
 1.98735363e-07 1.98741977e-07 1.98881351e-07 1.98728041e-07
 1.98663264e-07 1.98858088e-07 1.98784578e-07 1.98746302e-07
 1.98726826e-07 1.98896740e-07]","[1.98903864e-07 1.98822130e-07 1.98813759e-07 1.98878338e-07
 1.98964419e-07 1.98950482e-07 1.98886970e-07 1.98777532e-07
 1.98905017e-07 1.98878926e-07 1.98777614e-07 1.98835303e-07
 1.98914997e-07 1.98928820e-07 1.98935456e-07 1.98852536e-07
 1.98830418e-07 1.98902164e-07 1.98754653e-07 1.98764448e-07
 1.98735363e-07 1.98741977e-07 1.98881351e-07 1.98728041e-07
 1.98663264e-07 1.98858088e-07 1.98784578e-07 1.98746302e-07
 1.98726826e-07 1.98896740e-07]","[[1.98903864e-07 1.98822130e-07 1.98813759e-07 1.98878338e-07
  1.98964419e-07 1.98950482e-07 1.98886970e-07 1.98777532e-07
  1.98905017e-07 1.98878926e-07 1.98777614e-07 1.98835303e-07
  1.98914997e-07 1.98928820e-07 1.98935456e-07 1.98852536e-07
  1.98830418e-07 1.98902164e-07 1.98754653e-07 1.98764448e-07
  1.98735363e-07 1.98741977e-07 1.98881351e-07 1.98728041e-07
  1.98663264e-07 1.98858088e-07 1.98784578e-07 1.98746302e-07
  1.98726826e-07 1.98896740e-07]]","[[1.98903864e-07 1.98822130e-07 1.98813759e-07 1.98878338e-07
  1.98964419e-07 1.98950482e-07 1.98886970e-07 1.98777532e-07
  1.98905017e-07 1.98878926e-07 1.98777614e-07 1.98835303e-07
  1.98914997e-07 1.98928820e-07 1.98935456e-07 1.98852536e-07
  1.98830418e-07 1.98902164e-07 1.98754653e-07 1.98764448e-07
  1.98735363e-07 1.98741977e-07 1.98881351e-07 1.98728041e-07
  1.98663264e-07 1.98858088e-07 1.98784578e-07 1.98746302e-07
  1.98726826e-07 1.98896740e-07]]"
480,533,optimal,29,3.291415119435706e-10,0.000486113,0.009916765,ECOS,"[1.90098559e-07 1.90091186e-07 1.90211186e-07 1.90153587e-07
 1.90019395e-07 1.90015118e-07 1.90178362e-07 1.90143230e-07
 1.89969678e-07 1.90250546e-07 1.90214987e-07 1.89898471e-07
 1.90172782e-07 1.90142847e-07 1.90030122e-07 1.90079041e-07
 1.90136489e-07 1.90061080e-07 1.90124690e-07 1.90138228e-07
 1.90144073e-07 1.90060088e-07 1.90151041e-07 1.89974662e-07
 1.90153973e-07 1.90072738e-07 1.90130018e-07 1.90124762e-07
 1.89923442e-07 1.90016060e-07]","[1.90098559e-07 1.90091186e-07 1.90211186e-07 1.90153587e-07
 1.90019395e-07 1.90015118e-07 1.90178362e-07 1.90143230e-07
 1.89969678e-07 1.90250546e-07 1.90214987e-07 1.89898471e-07
 1.90172782e-07 1.90142847e-07 1.90030122e-07 1.90079041e-07
 1.90136489e-07 1.90061080e-07 1.90124690e-07 1.90138228e-07
 1.90144073e-07 1.90060088e-07 1.90151041e-07 1.89974662e-07
 1.90153973e-07 1.90072738e-07 1.90130018e-07 1.90124762e-07
 1.89923442e-07 1.90016060e-07]","[[1.90098559e-07 1.90091186e-07 1.90211186e-07 1.90153587e-07
  1.90019395e-07 1.90015118e-07 1.90178362e-07 1.90143230e-07
  1.89969678e-07 1.90250546e-07 1.90214987e-07 1.89898471e-07
  1.90172782e-07 1.90142847e-07 1.90030122e-07 1.90079041e-07
  1.90136489e-07 1.90061080e-07 1.90124690e-07 1.90138228e-07
  1.90144073e-07 1.90060088e-07 1.90151041e-07 1.89974662e-07
  1.90153973e-07 1.90072738e-07 1.90130018e-07 1.90124762e-07
  1.89923442e-07 1.90016060e-07]]","[[1.90098559e-07 1.90091186e-07 1.90211186e-07 1.90153587e-07
  1.90019395e-07 1.90015118e-07 1.90178362e-07 1.90143230e-07
  1.89969678e-07 1.90250546e-07 1.90214987e-07 1.89898471e-07
  1.90172782e-07 1.90142847e-07 1.90030122e-07 1.90079041e-07
  1.90136489e-07 1.90061080e-07 1.90124690e-07 1.90138228e-07
  1.90144073e-07 1.90060088e-07 1.90151041e-07 1.89974662e-07
  1.90153973e-07 1.90072738e-07 1.90130018e-07 1.90124762e-07
  1.89923442e-07 1.90016060e-07]]"
540,533,optimal,29,3.4129501328038557e-10,0.000430311,0.009648458,ECOS,"[1.92493402e-07 1.92475000e-07 1.92555206e-07 1.92546224e-07
 1.92653413e-07 1.92539984e-07 1.92532089e-07 1.92596930e-07
 1.92519656e-07 1.92473388e-07 1.92485185e-07 1.92540424e-07
 1.92573419e-07 1.92584168e-07 1.92591033e-07 1.92490641e-07
 1.92592253e-07 1.92393127e-07 1.92575981e-07 1.92426481e-07
 1.92506535e-07 1.92499023e-07 1.92474148e-07 1.92521402e-07
 1.92556958e-07 1.92600425e-07 1.92452672e-07 1.92610441e-07
 1.92411741e-07 1.92341532e-07]","[1.92493402e-07 1.92475000e-07 1.92555206e-07 1.92546224e-07
 1.92653413e-07 1.92539984e-07 1.92532089e-07 1.92596930e-07
 1.92519656e-07 1.92473388e-07 1.92485185e-07 1.92540424e-07
 1.92573419e-07 1.92584168e-07 1.92591033e-07 1.92490641e-07
 1.92592253e-07 1.92393127e-07 1.92575981e-07 1.92426481e-07
 1.92506535e-07 1.92499023e-07 1.92474148e-07 1.92521402e-07
 1.92556958e-07 1.92600425e-07 1.92452672e-07 1.92610441e-07
 1.92411741e-07 1.92341532e-07]","[[1.92493402e-07 1.92475000e-07 1.92555206e-07 1.92546224e-07
  1.92653413e-07 1.92539984e-07 1.92532089e-07 1.92596930e-07
  1.92519656e-07 1.92473388e-07 1.92485185e-07 1.92540424e-07
  1.92573419e-07 1.92584168e-07 1.92591033e-07 1.92490641e-07
  1.92592253e-07 1.92393127e-07 1.92575981e-07 1.92426481e-07
  1.92506535e-07 1.92499023e-07 1.92474148e-07 1.92521402e-07
  1.92556958e-07 1.92600425e-07 1.92452672e-07 1.92610441e-07
  1.92411741e-07 1.92341532e-07]]","[[1.92493402e-07 1.92475000e-07 1.92555206e-07 1.92546224e-07
  1.92653413e-07 1.92539984e-07 1.92532089e-07 1.92596930e-07
  1.92519656e-07 1.92473388e-07 1.92485185e-07 1.92540424e-07
  1.92573419e-07 1.92584168e-07 1.92591033e-07 1.92490641e-07
  1.92592253e-07 1.92393127e-07 1.92575981e-07 1.92426481e-07
  1.92506535e-07 1.92499023e-07 1.92474148e-07 1.92521402e-07
  1.92556958e-07 1.92600425e-07 1.92452672e-07 1.92610441e-07
  1.92411741e-07 1.92341532e-07]]"
600,533,optimal,29,3.594512539660368e-10,0.000458712,0.011052995,ECOS,"[1.97275743e-07 1.97122591e-07 1.97246827e-07 1.97141127e-07
 1.97143406e-07 1.97295076e-07 1.97213377e-07 1.97261597e-07
 1.97203260e-07 1.97232050e-07 1.97091081e-07 1.97273018e-07
 1.97383953e-07 1.97256221e-07 1.97351746e-07 1.97096258e-07
 1.97280032e-07 1.97274383e-07 1.97199515e-07 1.97175191e-07
 1.97255003e-07 1.97241578e-07 1.97237097e-07 1.97183014e-07
 1.97127179e-07 1.97201639e-07 1.97178568e-07 1.97100557e-07
 1.97182206e-07 1.97174746e-07]","[1.97275743e-07 1.97122591e-07 1.97246827e-07 1.97141127e-07
 1.97143406e-07 1.97295076e-07 1.97213377e-07 1.97261597e-07
 1.97203260e-07 1.97232050e-07 1.97091081e-07 1.97273018e-07
 1.97383953e-07 1.97256221e-07 1.97351746e-07 1.97096258e-07
 1.97280032e-07 1.97274383e-07 1.97199515e-07 1.97175191e-07
 1.97255003e-07 1.97241578e-07 1.97237097e-07 1.97183014e-07
 1.97127179e-07 1.97201639e-07 1.97178568e-07 1.97100557e-07
 1.97182206e-07 1.97174746e-07]","[[1.97275743e-07 1.97122591e-07 1.97246827e-07 1.97141127e-07
  1.97143406e-07 1.97295076e-07 1.97213377e-07 1.97261597e-07
  1.97203260e-07 1.97232050e-07 1.97091081e-07 1.97273018e-07
  1.97383953e-07 1.97256221e-07 1.97351746e-07 1.97096258e-07
  1.97280032e-07 1.97274383e-07 1.97199515e-07 1.97175191e-07
  1.97255003e-07 1.97241578e-07 1.97237097e-07 1.97183014e-07
  1.97127179e-07 1.97201639e-07 1.97178568e-07 1.97100557e-07
  1.97182206e-07 1.97174746e-07]]","[[1.97275743e-07 1.97122591e-07 1.97246827e-07 1.97141127e-07
  1.97143406e-07 1.97295076e-07 1.97213377e-07 1.97261597e-07
  1.97203260e-07 1.97232050e-07 1.97091081e-07 1.97273018e-07
  1.97383953e-07 1.97256221e-07 1.97351746e-07 1.97096258e-07
  1.97280032e-07 1.97274383e-07 1.97199515e-07 1.97175191e-07
  1.97255003e-07 1.97241578e-07 1.97237097e-07 1.97183014e-07
  1.97127179e-07 1.97201639e-07 1.97178568e-07 1.97100557e-07
  1.97182206e-07 1.97174746e-07]]"
