time,Event,ChargingStationId,VehicleId,QueueOrBay,ChargingDesire,VehicleType,VehicleArrival,VehicleDesiredEnd,VehicleEnergy,VehicleDesiredEnergy,VehicleSoc,VehicleMaxEnergy,VehicleMaxPower,ChargingBayMaxPower
2100,ArrivalEvent,781,rideHailVehicle-2392227@GlobalRHM,,1.000805801772764,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300-150,2099,3341.0,0.0,51.75,0.0,83.95390333333333,150.0,
2100,ReparkEvent,781,rideHailVehicle-2392227@GlobalRHM,Bay,1.000805801772764,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300-150,2099,3341.0,0.0,51.75,0.0,83.95390333333333,150.0,300.0
3120,ArrivalEvent,781,rideHailVehicle-91404@GlobalRHM,,1.0494505494505495,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,3093,3666.0,0.0,47.75,0.0,83.95390333333333,400.0,
3120,ReparkEvent,781,rideHailVehicle-91404@GlobalRHM,Bay,1.0494505494505495,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,3093,3666.0,0.0,47.75,0.0,83.95390333333333,400.0,300.0
3360,ReleaseEvent,781,rideHailVehicle-2392227@GlobalRHM,,,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300-150,2099,3341.0,51.75,51.75,0.6164096956222525,83.95390333333333,150.0,
3660,ArrivalEvent,781,rideHailVehicle-5483909@GlobalRHM,,1.006677796327212,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,3656,4259.0,0.0,50.25,0.0,83.95390333333333,400.0,
3660,ReparkEvent,781,rideHailVehicle-5483909@GlobalRHM,Bay,1.006677796327212,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,3656,4259.0,0.0,50.25,0.0,83.95390333333333,400.0,300.0
3720,ReleaseEvent,781,rideHailVehicle-91404@GlobalRHM,,,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,3093,3666.0,47.75,47.75,0.5687645017577305,83.95390333333333,400.0,
4320,ReleaseEvent,781,rideHailVehicle-5483909@GlobalRHM,,,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,3656,4259.0,50.25,50.25,0.5985427479230567,83.95390333333333,400.0,
27360,ArrivalEvent,781,rideHailVehicle-163833@GlobalRHM,,1.014336917562724,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-300,27352,27918.0,0.0,47.166666666666664,0.0,83.95390333333333,300.0,
27360,ReparkEvent,781,rideHailVehicle-163833@GlobalRHM,Bay,1.014336917562724,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-300,27352,27918.0,0.0,47.166666666666664,0.0,83.95390333333333,300.0,300.0
27960,ReleaseEvent,781,rideHailVehicle-163833@GlobalRHM,,,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-300,27352,27918.0,47.166666666666664,47.166666666666664,0.5618162443191543,83.95390333333333,300.0,
28620,ArrivalEvent,781,rideHailVehicle-2768933@GlobalRHM,,1.018062397372742,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-300,28609,29229.0,0.0,51.666666666666664,0.0,83.95390333333333,300.0,
28620,ReparkEvent,781,rideHailVehicle-2768933@GlobalRHM,Bay,1.018062397372742,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-300,28609,29229.0,0.0,51.666666666666664,0.0,83.95390333333333,300.0,300.0
29280,ReleaseEvent,781,rideHailVehicle-2768933@GlobalRHM,,,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-300,28609,29229.0,51.666666666666664,51.666666666666664,0.6154170874167415,83.95390333333333,300.0,
34560,ArrivalEvent,781,rideHailVehicle-737661@GlobalRHM,,1.0639658848614073,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,34530,35029.0,0.0,41.583333333333336,0.0,83.95390333333333,400.0,
34560,ReparkEvent,781,rideHailVehicle-737661@GlobalRHM,Bay,1.0639658848614073,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,34530,35029.0,0.0,41.583333333333336,0.0,83.95390333333333,400.0,300.0
35100,ReleaseEvent,781,rideHailVehicle-737661@GlobalRHM,,,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,34530,35029.0,41.583333333333336,41.583333333333336,0.4953114945499259,83.95390333333333,400.0,
41100,ArrivalEvent,781,rideHailVehicle-4520629@GlobalRHM,,1.0166666666666666,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,41091,41640.0,0.0,45.75,0.0,83.95390333333333,400.0,
41100,ReparkEvent,781,rideHailVehicle-4520629@GlobalRHM,Bay,1.0166666666666666,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,41091,41640.0,0.0,45.75,0.0,83.95390333333333,400.0,300.0
41700,ReleaseEvent,781,rideHailVehicle-4520629@GlobalRHM,,,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,41091,41640.0,45.75,45.75,0.5449419048254696,83.95390333333333,400.0,
47880,ArrivalEvent,781,rideHailVehicle-3902010@GlobalRHM,,1.0545112781954886,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300-150,47822,48944.0,0.0,46.75,0.0,83.95390333333333,150.0,
47880,ReparkEvent,781,rideHailVehicle-3902010@GlobalRHM,Bay,1.0545112781954886,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300-150,47822,48944.0,0.0,46.75,0.0,83.95390333333333,150.0,300.0
49020,ReleaseEvent,781,rideHailVehicle-3902010@GlobalRHM,,,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300-150,47822,48944.0,46.75,46.75,0.5568532032916,83.95390333333333,150.0,
52140,ArrivalEvent,781,rideHailVehicle-3601455@GlobalRHM,,1.0376344086021505,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300_XFC-400,52119,52698.0,0.0,48.25,0.0,83.95390333333333,400.0,
52140,ReparkEvent,781,rideHailVehicle-3601455@GlobalRHM,Bay,1.0376344086021505,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300_XFC-400,52119,52698.0,0.0,48.25,0.0,83.95390333333333,400.0,300.0
52740,ReleaseEvent,781,rideHailVehicle-3601455@GlobalRHM,,,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300_XFC-400,52119,52698.0,48.25,48.25,0.5747201509907958,83.95390333333333,400.0,
59700,ArrivalEvent,781,rideHailVehicle-5206353@GlobalRHM,,1.021138211382114,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300_XFC-400,59687,60315.0,0.0,52.333333333333336,0.0,83.95390333333333,400.0,
59700,ReparkEvent,781,rideHailVehicle-5206353@GlobalRHM,Bay,1.021138211382114,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300_XFC-400,59687,60315.0,0.0,52.333333333333336,0.0,83.95390333333333,400.0,300.0
60360,ReleaseEvent,781,rideHailVehicle-5206353@GlobalRHM,,,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300_XFC-400,59687,60315.0,52.333333333333336,52.333333333333336,0.6233579530608285,83.95390333333333,400.0,
60840,ArrivalEvent,781,rideHailVehicle-3505045@GlobalRHM,,1.0535405872193437,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,60809,61419.0,0.0,50.833333333333336,0.0,83.95390333333333,400.0,
60840,ReparkEvent,781,rideHailVehicle-3505045@GlobalRHM,Bay,1.0535405872193437,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,60809,61419.0,0.0,50.833333333333336,0.0,83.95390333333333,400.0,300.0
61500,ReleaseEvent,781,rideHailVehicle-3505045@GlobalRHM,,,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,60809,61419.0,50.833333333333336,50.833333333333336,0.6054910053616328,83.95390333333333,400.0,
61860,ArrivalEvent,781,rideHailVehicle-1483735@GlobalRHM,,1.0067681895093064,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,61856,62451.0,0.0,49.583333333333336,0.0,83.95390333333333,400.0,
61860,ReparkEvent,781,rideHailVehicle-1483735@GlobalRHM,Bay,1.0067681895093064,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,61856,62451.0,0.0,49.583333333333336,0.0,83.95390333333333,400.0,300.0
62460,ReleaseEvent,781,rideHailVehicle-1483735@GlobalRHM,,,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,61856,62451.0,49.583333333333336,49.583333333333336,0.5906018822789697,83.95390333333333,400.0,
62640,ArrivalEvent,781,rideHailVehicle-11104@GlobalRHM,,1.1036363636363635,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,62583,63190.0,0.0,50.583333333333336,0.0,83.95390333333333,400.0,
62640,ReparkEvent,781,rideHailVehicle-11104@GlobalRHM,Bay,1.1036363636363635,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,62583,63190.0,0.0,50.583333333333336,0.0,83.95390333333333,400.0,300.0
63240,ArrivalEvent,781,rideHailVehicle-4536518@GlobalRHM,,1.0495238095238095,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,63214,63765.0,0.0,45.916666666666664,0.0,83.95390333333333,400.0,
63240,ReparkEvent,781,rideHailVehicle-4536518@GlobalRHM,Bay,1.0495238095238095,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,63214,63765.0,0.0,45.916666666666664,0.0,83.95390333333333,400.0,300.0
63300,ReleaseEvent,781,rideHailVehicle-11104@GlobalRHM,,,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,62583,63190.0,50.583333333333336,50.583333333333336,0.6025131807451002,83.95390333333333,400.0,
63840,ReleaseEvent,781,rideHailVehicle-4536518@GlobalRHM,,,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,63214,63765.0,45.916666666666664,45.916666666666664,0.5469271212364912,83.95390333333333,400.0,
64920,ArrivalEvent,781,rideHailVehicle-3824781@GlobalRHM,,1.0807248764415156,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,64871,65527.0,0.0,54.666666666666664,0.0,83.95390333333333,400.0,
64920,ReparkEvent,781,rideHailVehicle-3824781@GlobalRHM,Bay,1.0807248764415156,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,64871,65527.0,0.0,54.666666666666664,0.0,83.95390333333333,400.0,300.0
65580,ReleaseEvent,781,rideHailVehicle-3824781@GlobalRHM,,,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,64871,65527.0,54.666666666666664,54.666666666666664,0.651150982815133,83.95390333333333,400.0,
66300,ArrivalEvent,781,rideHailVehicle-4767724@GlobalRHM,,1.010752688172043,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300-150,66288,67416.0,0.0,47.0,0.0,83.95390333333333,150.0,
66300,ReparkEvent,781,rideHailVehicle-4767724@GlobalRHM,Bay,1.010752688172043,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300-150,66288,67416.0,0.0,47.0,0.0,83.95390333333333,150.0,300.0
67140,ArrivalEvent,781,rideHailVehicle-2491020@GlobalRHM,,1.0174757281553397,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,67131,67655.0,0.0,43.666666666666664,0.0,83.95390333333333,400.0,
67140,ReparkEvent,781,rideHailVehicle-2491020@GlobalRHM,Bay,1.0174757281553397,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,67131,67655.0,0.0,43.666666666666664,0.0,83.95390333333333,400.0,300.0
67440,ReleaseEvent,781,rideHailVehicle-4767724@GlobalRHM,,,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300-150,66288,67416.0,47.0,47.0,0.5598310279081327,83.95390333333333,150.0,
67680,ReleaseEvent,781,rideHailVehicle-2491020@GlobalRHM,,,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,67131,67655.0,43.666666666666664,43.666666666666664,0.5201266996876976,83.95390333333333,400.0,
69720,ArrivalEvent,781,rideHailVehicle-1000419@GlobalRHM,,1.0437062937062938,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300-150,69670,70864.0,0.0,49.75,0.0,83.95390333333333,150.0,
69720,ReparkEvent,781,rideHailVehicle-1000419@GlobalRHM,Bay,1.0437062937062938,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300-150,69670,70864.0,0.0,49.75,0.0,83.95390333333333,150.0,300.0
70920,ReleaseEvent,781,rideHailVehicle-1000419@GlobalRHM,,,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300-150,69670,70864.0,49.75,49.75,0.5925870986899915,83.95390333333333,150.0,
71100,ArrivalEvent,781,rideHailVehicle-3500857@GlobalRHM,,1.0508166969147006,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,71072,71651.0,0.0,48.25,0.0,83.95390333333333,400.0,
71100,ReparkEvent,781,rideHailVehicle-3500857@GlobalRHM,Bay,1.0508166969147006,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,71072,71651.0,0.0,48.25,0.0,83.95390333333333,400.0,300.0
71700,ReleaseEvent,781,rideHailVehicle-3500857@GlobalRHM,,,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300_XFC-400,71072,71651.0,48.25,48.25,0.5747201509907958,83.95390333333333,400.0,
72660,ArrivalEvent,781,rideHailVehicle-5067936@GlobalRHM,,1.017304189435337,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300-150,72641,73758.0,0.0,46.541666666666664,0.0,83.95390333333333,150.0,
72660,ReparkEvent,781,rideHailVehicle-5067936@GlobalRHM,Bay,1.017304189435337,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300-150,72641,73758.0,0.0,46.541666666666664,0.0,83.95390333333333,150.0,300.0
73800,ReleaseEvent,781,rideHailVehicle-5067936@GlobalRHM,,,ev-L5-0-to-50000-LowTech-2040-Midsize-BEV_300-150,72641,73758.0,46.541666666666664,46.541666666666664,0.5543716827778228,83.95390333333333,150.0,
79080,ArrivalEvent,781,rideHailVehicle-5814347@GlobalRHM,,1.1024590163934427,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300_XFC-300,79030,79568.0,0.0,44.833333333333336,0.0,83.95390333333333,300.0,
79080,ReparkEvent,781,rideHailVehicle-5814347@GlobalRHM,Bay,1.1024590163934427,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300_XFC-300,79030,79568.0,0.0,44.833333333333336,0.0,83.95390333333333,300.0,300.0
79620,ReleaseEvent,781,rideHailVehicle-5814347@GlobalRHM,,,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300_XFC-300,79030,79568.0,44.833333333333336,44.833333333333336,0.5340232145648499,83.95390333333333,300.0,
82320,ArrivalEvent,781,rideHailVehicle-6279264@GlobalRHM,,1.1182572614107882,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,82263,82802.0,0.0,44.91666666666666,0.0,83.95390333333333,400.0,
82320,ReparkEvent,781,rideHailVehicle-6279264@GlobalRHM,Bay,1.1182572614107882,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,82263,82802.0,0.0,44.91666666666666,0.0,83.95390333333333,400.0,300.0
82860,ReleaseEvent,781,rideHailVehicle-6279264@GlobalRHM,,,ev-L5-100000-to-100000000-LowTech-2040-Midsize-BEV_300_XFC-400,82263,82802.0,44.91666666666666,44.91666666666666,0.5350158227703606,83.95390333333333,400.0,
83700,ArrivalEvent,781,rideHailVehicle-4962010@GlobalRHM,,1.0756756756756756,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300_XFC-400,83658,84255.0,0.0,49.75,0.0,83.95390333333333,400.0,
83700,ReparkEvent,781,rideHailVehicle-4962010@GlobalRHM,Bay,1.0756756756756756,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300_XFC-400,83658,84255.0,0.0,49.75,0.0,83.95390333333333,400.0,300.0
84300,ReleaseEvent,781,rideHailVehicle-4962010@GlobalRHM,,,ev-L5-50000-to-100000-LowTech-2040-Midsize-BEV_300_XFC-400,83658,84255.0,49.75,49.75,0.5925870986899915,83.95390333333333,400.0,
