time,ChargingStationID,BaysVehicleIds,BaysChargingPower,TotalChargingPower,BaysChargingDesire,BaysNumberOfVehicles,QueueVehicleIds,QueueChargingDesire,QueueNumberOfVehicles,BtmsPower,BtmsSoc,BtmsEnergy,TotalChargingPowerDesire,GridPower,GridPowerUpper,GridPowerLower,PowerDesire,BtmsPowerDesire,EnergyLagSum,TimeLagSum
60,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,4.502259624881021e-06,0.8,119.99999996992909,0.0,4.502259624881021e-06,210.0,0,0.0,0.0,0.0,0.0
120,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,6.781425582667678e-06,0.8000000004252135,120.0000000337111,0.0,6.781425582667678e-06,210.0,0,0.0,300.0,0.0,0.0
180,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,8.234610402053236e-06,0.8000000010656815,120.0000001297813,0.0,8.234610402053236e-06,210.0,0,0.0,300.0,0.0,0.0
240,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,9.234218831695347e-06,0.8000000018433946,120.00000024643828,0.0,9.234218831695347e-06,210.0,0,0.0,300.0,0.0,0.0
300,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,9.844035720102106e-06,0.8000000027155153,120.00000037725637,0.0,9.844035720102106e-06,210.0,0,0.0,300.0,0.0,0.0
360,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,1.033259891656401e-05,0.8000000036452297,120.00000051671354,0.0,1.033259891656401e-05,210.0,0,0.0,300.0,0.0,0.0
420,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,1.0722240664842882e-05,0.8000000046210863,120.00000066309202,0.0,1.0722240664842882e-05,210.0,0,0.0,300.0,0.0,0.0
480,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,1.0958126582602075e-05,0.8000000056337423,120.00000081499043,0.0,1.0958126582602075e-05,210.0,0,0.0,300.0,0.0,0.0
540,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,1.1115308214615267e-05,0.8000000066686765,120.00000097023056,0.0,1.1115308214615267e-05,210.0,0,0.0,300.0,0.0,0.0
600,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,1.1205588024268282e-05,0.8000000077184557,120.00000112769743,0.0,1.1205588024268282e-05,210.0,0,0.0,300.0,0.0,0.0
